,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CERN,0.29896628352053517,0.2882402564196422,-0.017819471062660908,-0.01720331449179935,False,False,False,True,False,False,False,True,38,35,0.6532978774832333,0.6530522763975392,0.3191650503893779,0.05701193276246823,-0.2621531176269097,0.37617698315184617,-0.5813181680162877,0.695342033541224,0.09629057875250202,-0.02182574569712603
ORCL,0.3616960138139882,0.3765354383346871,0.06547539724301488,0.06525453700898043,False,False,False,True,False,False,False,True,42,45,0.7602128908607608,0.7494241829984732,0.4368570762535145,0.03142804496152252,-0.405429031291992,0.468285121215037,-0.8422861075455065,0.9051421974685515,0.24656324142217756,0.14193707981659442
SFIX,1.0643883900156872,0.89198119925659,0.07315489405680142,0.10674155632582094,False,False,False,False,False,False,False,False,40,33,2.2506479844583436,2.2756915369667654,1.1587776616410275,-0.05245764697063114,-1.2112353086116585,1.1063200146703964,-2.370012970252686,2.2650976763114237,,
PD,1.0451985434526563,0.8154464973514695,-0.7181840522223726,0.1191581398277054,False,False,False,False,False,False,False,False,30,31,2.830330739712968,2.0999364855573694,1.45989066419318,0.04048521225007801,-1.4194054519431019,1.500375876443258,-2.879296116136282,2.9602665406364377,,
GSKY,0.8188007987362589,0.8812230360061974,0.06088192750845045,0.025930344700375696,False,False,False,True,False,False,False,True,48,48,1.5957733271208958,1.6665371523865087,1.0222491687079198,0.051443254998959194,-0.9708059137089606,1.073692423706879,-1.9930550824168805,2.095941592414799,0.18518432452562017,0.13683111835967965
BOX,0.476433616991848,0.4329842121322394,0.07406774251721748,0.12203622730159969,False,False,False,True,False,False,False,True,46,37,0.926447838297274,0.9712011802439701,0.6649790945347953,0.046748889805202025,-0.6182302047295933,0.7117279843399973,-1.2832092992643886,1.3767070788747926,0.31271354014927377,0.27549069304728635
ZM,0.7761385389823598,0.8318403437686873,0.06772356372351818,0.08166848590474285,False,False,False,False,False,False,False,False,29,40,2.2226507496881296,1.8569568711652997,1.1151493408154534,-0.08016558008853232,-1.1953149209039857,1.034983760726921,-2.310464261719439,2.1501331015423744,0.4459874084497165,0.3627554981175162
PROSY,1.8018953263912934,1.5696162957544548,-0.18837799228557994,0.05162135989374095,False,False,False,False,False,False,False,False,41,43,3.6417665281926386,3.1774142616107617,1.8574661055462531,-0.11567494208537932,-1.9731410476316324,1.7417911634608738,-3.8306071531778856,3.599257269007127,,
GOOGL,0.3863333761856706,0.43461926167293646,0.18246958093480903,0.17396470126468933,False,False,False,True,False,False,False,True,34,36,0.9644060903738793,1.0027578960115442,0.6295148865788887,0.10438183981554525,-0.5251330467633434,0.7338967263944339,-1.1546479333422321,1.3634116129733225,0.4607354746221335,0.4182473633469612
GOOG,0.3601485115270656,0.37773312736168874,0.21813255960571865,0.22996619051741352,False,False,False,True,False,False,False,True,35,36,0.8596524176055614,0.8763056820430174,0.6457544324453496,0.07848683787041284,-0.5672675945749367,0.7242412703157625,-1.2130220270202863,1.369995702761112,0.45152555738164535,0.4117300831585379
FTNT,0.4583344575517528,0.4703908144458849,-0.18770262789932968,0.13779397524241643,False,False,False,True,False,False,False,True,35,42,1.0877015672296326,0.973979295202789,0.7691568712900897,0.138894896095292,-0.6302619751947978,0.9080517673853816,-1.3994188464848873,1.6772086386754714,0.26824367794419646,0.21414268620298837
TME,1.6736752456247852,1.4617308914142613,-0.2253748163735545,0.024230576336103815,False,False,False,False,False,False,False,False,36,44,3.884790100380204,3.0990486018164307,1.6268055674712294,0.3845845030965577,-1.2422210643746716,2.011390070567787,-2.8690266318459012,3.6381956380390164,,
