,NTNX,APPS,ORCL,FOUR,CRWD,EBAY,ALIT,MTTR,NLOK,DDOG,PROSY,FSLY,NFLX,FIVN,GOOG,DBX,GDDY,TTD,SPLK,AI,FISV,ETWO,ROKU,SNOW,ZS,MSFT,PLTR,SQ,CTXS,OKTA,CDNS,SE,MCFE,CTSH,GSKY,UBER,FTCH,LYFT,COUP,SWCH,VMW,BSY,TTWO,ADBE,FIS,SNPS,WDAY,PINS,AMZN,NOW,RNG,CERN,TME,PANW,INTU,ETSY,IBM,ZI,RXT,NET,PD,ATVI,ZEN,CDAY,ZM,ACN,U,CRM,BILL,LAZR,NCR,DNB,AKAM,BIGC,SMAR,XM,SPOT,VEEV,XRX,CHWY,ZNGA,SFIX,BMBL,MDB,ADSK,TEAM,GOOGL,DOCU,FTNT,BOX,SABR,ASAN,EA,TWTR,SNAP,PLAN,AFRM,PAYO,TWLO,DT,RIOT,FEYE,DXC,FLT
NTNX,1,0.2762889012565111,0.46153658496983707,0.3810585648804207,0.41483790059354914,0.06506097573854223,0.322528354630539,0.21373215455962455,-0.0039031499268644054,0.2132412039922255,0.1308112420265291,0.07479399545197853,0.40361865182685064,0.16489164274659404,0.8532437088377687,0.6965725112484684,0.19098785366672813,0.26579126496321315,0.2832856070729981,0.17067967326184658,0.6089323933147383,0.2648274835079368,0.24143900145923633,0.2809684074292157,0.3106650955494693,0.9277585757646567,0.2528862294947149,0.4447406626103169,-0.05552449563534832,0.29442660341961313,0.5862822487529582,0.32048475592181336,0.07511678984791698,0.14861046767555564,0.1879721615007282,0.2675222501008424,0.29737059111425707,0.33353931513799,0.3982081462602887,0.05613053360747733,0.5029000006489365,0.1668290047426817,0.18458332373443392,0.6636857671586174,0.5780808330156483,0.5205977852217799,0.5109834732376671,0.15052817946536604,0.55552434709711,0.30537788136761834,0.4347984677627339,-0.008595351354715336,0.03161210669474632,0.2295129422673173,0.574641682203967,0.187656157141793,0.38289620954507764,0.15303106133204875,0.15909304139790192,0.3195168074496729,0.2717707549586971,0.39327204544348277,0.5525908953181329,0.5891238716903083,0.22614014479791777,0.5787103654728495,0.2854445197143154,0.36272781499609835,0.19039505206952634,0.16212776494895734,0.2907187084395049,0.09037151553772063,0.4716911848065252,0.40099856202011425,0.39193634904953134,0.17694277183716417,0.2604270469359601,0.04269620453644991,0.3931904914432367,0.03912261315071739,0.11530741520167673,0.18745165471241593,0.46952699493551464,0.1493949197197323,0.48635364347893023,0.18268225544343095,0.684285954504446,0.4916719327801633,0.8027779376905776,0.1923318362218998,0.20583976804356413,0.31109601684181354,0.49965928795469416,0.309916141440187,0.10966739549750536,0.15165959332798695,0.08378811665962646,0.1925483109515355,0.3465912939442918,0.4620866750048893,0.07515955426528396,0.247937691257194,0.25522236484833244,0.22030144383705477
APPS,0.9491045210399224,1,0.883498984919467,0.8714900404473879,0.950223935953164,0.7996878792403201,0.70995480275038,0.4429748898051978,-0.22504590816024558,0.5081621763147377,0.43056915857918976,0.2393646942329497,0.8685997424259976,-0.0023658386645713037,1.6194663905256304,1.5932208184627006,0.5235868920049984,0.6024165425938033,0.5931022916418435,0.6069416760267105,1.0249195879476338,0.5055966092420898,0.6132354262407419,0.5650887873558496,0.5987690471108952,1.5922985430272334,0.7336166797513494,1.0390369775081763,-0.029185859056672567,0.8204352343904434,1.2796971479220889,0.7034844762123637,0.23336401060200793,0.540879638334092,0.4196330051823835,0.6069970514098947,0.7396069626212276,0.8186615822599617,0.9055942410365181,0.07724816342488981,0.8263245996637483,0.3871026089508142,0.6277150271213608,1.3329400267150675,1.1523081579580723,1.3321287633041385,1.0047744063619188,0.422450868212885,1.338289634037929,1.0163822864257859,0.7719985452462037,-0.2458105411928638,0.10227431918955561,0.5136005681172768,1.000842471803306,0.6234120547812683,0.7014956356690951,0.4638398837036642,0.4319565785783659,0.8332096598212613,0.6328212757515354,0.5890886385383722,1.2541116234480385,1.0866397661981297,0.07688904329846,1.022868451320043,0.7109106800334664,0.8622794205413464,0.46857215261764873,0.3794401626934749,0.6734625519395543,0.5615400678104134,0.7869199282700278,0.948175133398979,0.9396988680148419,0.5158666679090352,0.6486324971732256,0.7356602954145525,1.0440782918878744,0.37359468713766086,0.2522594454972325,0.4720966265246267,0.9946178466312002,0.35528875094122025,1.0709690973975519,0.33796079209125784,1.3542785849223475,0.8488201861769377,1.728950526917937,0.5136247770655994,0.7584177903171956,0.3915362784677755,0.8487743479045038,0.40997436056886744,0.18830836158328143,0.3733657713132864,0.15364229331343615,0.5031275401497278,0.9186251573616014,1.097327783845555,0.20738657726980678,0.5359499656631337,0.5939237032128619,0.44150491820344384
ORCL,0.14151304071312604,0.06855877137043231,1,0.15093940611767903,0.09157476905229454,0.10209857053809193,0.11560767172089904,0.09795374950152647,0.08979941872333753,0.052803750156378525,0.051216236096039855,0.02022333308982885,0.12660418928227304,0.06106264657757828,0.2523799209704286,0.14742594281137641,0.10304137466998557,0.13824118838856878,0.09100815525971778,0.0771259958303001,0.2919267762736667,0.08327411390178593,0.0743848913884796,0.08932793255507898,0.069800056389403,0.3276429717276299,0.0346008817848196,0.12463707464860742,-0.030236355378019133,0.08808050379205214,0.16868916095562983,0.10931459126528817,0.04037821833205633,0.1428380276478347,0.0828779767629067,0.1113461584384394,0.09423246535693348,0.11981241693832784,0.09631246909727513,0.00572837139412022,0.2218692374050235,0.09750206158830116,0.10930891069671086,0.14741958745166614,0.3182474672985925,0.1641332619854797,0.12991355353584827,0.04509563670873356,0.18388200501621352,0.0938027377526077,0.14946265002032708,-0.11532670490689756,0.02554548368110767,0.0748131226023504,0.22429479955309303,0.06397525296644434,0.30545819682091385,0.06716377809818176,0.0457261801607876,0.08076846156620703,0.04129233186609395,0.1596048122959159,0.1659677703239244,0.22412211362609888,0.06390590420828779,0.46386296047807574,0.12883141516203336,0.17033904026272967,0.044819984076583226,0.06660447421051022,0.1544300283026469,0.05020450177453073,0.17144674359796935,0.12790050508971157,0.10148387890551253,0.03286597275124656,0.07667180788408096,0.06691957433891053,0.29933960980104346,0.04869091042505837,0.0905064268931406,0.056626918326144825,0.13820497593331418,0.04087280255545612,0.14416143389065153,0.03645005129179669,0.24799258144024244,0.1410117012679355,0.25723602900483955,0.06820018374085567,0.13800938982353791,0.055623180840703196,0.1216796284990758,0.08911823678576003,0.04664331363832234,0.02959512979849331,0.022043242186800392,0.08597261175183246,0.10778866352395257,0.13378916579626857,0.019476299726974008,0.053703548944572965,0.1423392365575228,0.15478607705624634
FOUR,0.4733088090031306,0.3238098583984742,0.5951704034532349,1,0.4276217724286336,0.4089949123856082,0.3312712572958336,0.26231105282363676,0.016316567592880717,0.30143242204855014,0.170868159159364,0.12483639706257631,0.39239056079140283,0.1418221241959141,0.8758347419864894,0.7356752940541396,0.22499981883568465,0.27172443966879,0.20594711316827274,0.30032939089665056,0.6873481218045604,0.2908176307344938,0.3218390025755988,0.31817625197498806,0.23287757623505764,0.6378666252953559,0.3174179627258202,0.5692345232230672,0.005693937081844576,0.343173509500066,0.5526950713306437,0.3445404126133365,0.07022001163497724,0.3516588750268029,0.2539831615274309,0.3601623319845834,0.39593636624647355,0.5075712329792639,0.46723166369706903,0.06447903103219595,0.40656710887642195,0.2393598026662503,0.3597291045356725,0.6317241657243493,0.7431061279009618,0.5285208274835117,0.5134079976683366,0.18402788755283997,0.5843819562445712,0.4155279141380988,0.33406340401601337,0.022967016175487028,0.08703557633737141,0.21233578687834023,0.5299088018899092,0.28870314520018675,0.62746977571851,0.20836604533514022,0.1786810535562703,0.4172818425249204,0.276150618883186,0.31987776587935035,0.5513182556963862,0.49342426869730877,0.20304084958708227,0.7256034908367951,0.35074670838257704,0.45554442687757224,0.24432760999677294,0.21081983595025586,0.46036914226306225,0.07634567511254406,0.5186980533197969,0.43586877529566453,0.42375341838513864,0.17379073262525357,0.246257017820181,0.29195194866289537,0.7103891760482139,0.20205012944650025,0.07503844091461112,0.22092602822814944,0.5290983557585138,0.1451923080169871,0.46019435585485985,0.09946245421342942,0.7574555336765123,0.44614580556320294,0.7583950882626982,0.24245315199256257,0.45377195791629477,0.20058696532476603,0.1849894028909455,0.2953151858454932,0.11329330570975536,0.18346060075073128,0.087156694080114,0.2448352786599898,0.47536917473978546,0.4149279915014707,0.08764572190671847,0.20768472597670012,0.38614959677503313,0.3848386723396937
CRWD,0.48151484294193625,0.3014632897950316,0.38860587273619385,0.4402818863837917,1,0.4434939656836238,0.17186421680311675,0.19792715833758498,-0.11584136734361772,0.35294108223567383,0.10022158326173532,0.11932523375113913,0.43400237304501293,0.22828816634918425,0.7871653741802268,0.7281532838152643,0.2809984862957358,0.2991344458186089,0.39933682387428754,0.32434526143896225,0.6121633049559837,0.20815656139318092,0.3473842145776795,0.3456996859131216,0.503334508657127,0.9951376018644428,0.33168724385038256,0.5919007353500648,0.04763238757318925,0.5706645411800225,0.6451547375875198,0.3848188873549394,0.034928853502785004,0.22250456956446277,0.23892302842251673,0.22552612350529277,0.3398943897686981,0.4078859964147172,0.4869284797887164,0.029477499726234944,0.49800754905591127,0.31131824869299835,0.45079418302337987,0.7940286922589187,0.5232674250761791,0.7283608566458779,0.5244644161899247,0.2549783074688294,0.7047503225370919,0.5837636525848794,0.5301909523347741,0.01772991886564028,0.07978719028404978,0.5779288475752197,0.7370558651460456,0.2952926333687086,0.6163681223916005,0.2644607235501724,0.1720672311846083,0.47170770757858854,0.36250427517574263,0.5239951891057559,0.7830518974555116,0.6335408771996383,0.3218648199539287,0.6043017090505863,0.4664565617528114,0.5867304491299807,0.2977201889128656,0.17485312687467242,0.30343788893469725,0.2935726931884712,0.5088888612591402,0.48631046803372746,0.634830158524421,0.18463265934365755,0.35292924482312654,0.37124036062652005,0.34997377265572344,0.22495600313478675,0.14910298081806184,0.2045680584742607,0.4946725389634314,0.24991216306457717,0.608165768659213,0.18511604936641282,0.7325067179812743,0.6386545171820744,0.7477573683791646,0.21646414909106007,0.4235036913523946,0.2113048347535252,0.7048466954286455,0.37379590643478816,0.14475956315949337,0.15323179392518327,0.10167399972971455,0.18180333254685793,0.5168507854846286,0.5137400764304858,0.09014732976827852,0.34127748143735775,0.1464758805151696,0.2379868836237689
EBAY,0.08309872834558192,0.15398611074787524,0.4181449317176244,0.22686588994460735,0.20112111718660827,1,0.10968062948054343,0.14421839709600265,0.010565983410724403,0.08811784193135314,0.09881278353176723,0.050172270325016255,0.2301890976394942,0.09112322646962137,0.5590467144613878,0.3836171077725647,0.20902994007066442,0.17290005531583144,0.16654653058386143,0.15787989073898706,0.3939891648947804,0.12087185324422296,0.09369924279306954,0.19073511443527355,0.16227356816563274,0.5534527975336688,0.13490814797349038,0.258425631890125,0.19130142644415685,0.22042639556033616,0.35304422476450875,0.22841749473251524,0.11421712405987085,0.17565901920072943,0.14522752202147732,0.19341824388256312,0.23242656351313074,0.2096153726065155,0.254003827769534,0.03129074366335684,0.10949010177216822,0.14588079940219167,0.2594230528714157,0.36906190016223,0.4229349427309718,0.35932025075226676,0.26684654212783937,0.1255759673769565,0.47588720959749925,0.6795795805950714,0.2029741656607315,0.05721881475570465,0.08086640940186404,0.1538026846518483,0.3702998314230226,0.17399034003849165,0.3086858673170795,0.09686636192339854,0.12907315576096337,0.18031176223032308,0.1423430500137396,0.20089728408953592,0.38836129860051966,0.3285015612938564,0.12079965377444409,0.4756351591357175,0.20632161272859148,0.34990058890442494,0.09642316595251774,0.0887328520092786,0.23682704079436948,0.2265588659453888,0.10499611955844648,0.226155431861865,0.22974016434903433,0.12168301701121008,0.14326508330024817,0.23350287461503957,0.38491858240968196,0.11221753662735201,0.11154630187180904,0.12287115279431862,0.29098181920351107,0.10095549036025839,0.3003559222392168,0.05366271142546933,0.5020662895035828,0.27965977098480316,0.45669715674121436,0.10211462155105505,0.24340528160478747,0.11268419932643521,0.25877006291985755,0.174954280402671,0.0744159338156725,0.0880642426217735,0.047735725953489315,0.20016305986472235,0.22385970428052046,0.27113437765906523,0.044851571013620806,0.1440896310228013,0.2524171361019151,0.17675134665789788
ALIT,0.14640339676509326,0.10990427741760853,0.13750743441090865,0.16200815869228408,0.05230451192830575,0.15171331369706867,1,0.08009796660890404,0.1954316340240506,0.04417481229896248,0.07209262668022662,0.03839955322073881,0.1397244149633999,0.0360740506141873,0.23904009074738025,0.3129111877714187,0.1195038535227825,0.10104388649058384,0.16766807006877937,0.08113400487135104,0.2071153417246469,0.16620191610343193,0.10799121131658497,0.1395987092028368,0.10875630230085792,0.1618345817093634,0.1561890019932596,0.13968867589920927,-0.0030517007413996653,0.11250513171068767,0.13892526261039329,0.1244414375774184,0.018599258511537833,0.107404227454301,0.02777669047485076,0.12207218143238464,0.1662801243619973,0.11838764133560624,0.15645155406440045,0.027517921060289573,0.12942418587668555,-0.021423625775954674,0.21490579598411585,0.20409949236006417,0.414359974039679,0.20348441027036063,0.14355624010434084,0.07324939472714315,0.24221997057737707,0.16554125322152236,0.1681016287423675,0.0879756573155032,0.0091847394167892,-0.014641587344740721,0.10665715065407481,0.10184612080264978,0.27548788501869637,0.04705571069019713,0.022898662155162418,0.11325459454238622,0.01716614408526386,0.03791159593367013,0.19811623702346107,0.1472020381552838,0.07811280510774656,0.3676906058387137,0.1855113137123481,0.1314191832551274,0.04341234448463662,0.0809782354562605,0.22923725698655673,0.31906452583410955,0.1771358774303625,0.11588863347765836,0.12995746785093015,0.07818244159367113,0.12259433965828116,0.09297143025633237,0.338227210211097,0.08729029027249216,0.019901692678022,0.07339499299910844,0.2058027061939263,-0.008730351933126197,0.12212757316619949,0.008695103121134374,0.17556887761774564,0.1524299699284694,0.2792041611849167,0.06514865457424038,0.15756939748281973,0.05966572063099837,0.14545300208792503,0.06855531994309173,0.046297799656501853,0.03877285589860683,0.013098312002431924,0.04509268197222641,0.1628660070126263,0.1527380991837428,0.026275222410628643,0.09820614938559301,0.2292540269101995,-0.08599737945993023
MTTR,0.6408932052612838,0.3737345393753214,1.0566629276506436,0.5619209467759424,0.5396354101641353,0.33117903010049865,0.3855806793860481,1,0.07150917896837504,0.2947117604742846,0.1918933474738213,0.11997809555924,0.6272111324588844,0.15635049504661952,0.7775731487809078,0.9367228948835673,0.256552313502672,0.3106385076487026,0.3287136306900445,0.3621958273561465,0.7189579811594342,0.5472676560219001,0.2870425575601676,0.3367441233337914,0.35383635277386466,0.9556752376770955,0.30827742712714773,0.6427581839185309,-0.10947976983608299,0.06432386718660676,0.6071350923119663,0.5086782027108654,0.3049505151879526,0.3553882393135087,0.45369486826872046,0.4302908249542659,0.3269638768063534,0.40992854404166573,0.5192515263552183,0.08465760919161641,0.7552572468799718,0.4785058162424952,0.24310113268080139,0.6120702401190291,0.7835995536253451,0.6202520688657489,0.36623958097302584,0.22896845448396014,0.5412151833993253,0.3862231936592359,0.33630997628307524,0.0715152676670965,0.08929829036759025,0.3754802887560392,0.5715188686243845,0.31123634946334167,0.8251532061874428,0.19907996849001802,0.27444250487773886,0.39559728322905935,0.36087123077002053,0.3389104447970757,0.4197185725827946,0.596024231915086,0.2492584719901675,1.0322456438997518,0.39345825640587356,0.6343278343936516,0.1236733348934715,0.19667982164743092,0.4302374498683033,0.3387371113532706,0.4701164612903201,0.4135281152907191,0.4618565878929556,0.2767690792497771,0.3809371644842219,0.38575149503156675,0.8625795922484134,0.24899697334332882,0.13116242933021885,0.34966559151085386,0.5851184299755254,0.1314635818249289,0.35300492667341893,0.19396135786806737,0.657348847645149,0.6158765607413794,0.9222758585032408,0.3134090332154539,0.5465085441909285,0.21734409414191302,0.5522972136543897,0.3097544258785561,0.11927306136206224,-0.011609814611302963,0.10924072953385237,0.5499972011134814,0.45220990707225783,0.5347852348964748,0.1259002123592769,0.32439114204526814,0.4049138026051823,0.415859869648237
NLOK,0.029377385459450085,0.006843622017835376,0.2880072597622834,0.06272321663387981,-0.0029656861883954944,0.05915985121035909,0.3104820084280162,0.0960100413071473,1,0.032013365219905596,0.03410787848804614,0.005087745755296621,-0.00023935731602101352,-0.0005673436753861782,0.1481834173451283,0.008060572039633094,0.09322688255435692,0.0889911987999592,0.13717625260846628,0.04172567761328598,0.3788420259481403,0.08392282588343498,0.030965839713939725,0.081956866463905,0.008018034196082328,0.35187548601687035,-0.015121311834025188,0.0895302187741685,0.024408877691314952,0.0013103536513611323,0.12798737202323976,0.06538384299485824,0.14287705528168299,0.04636989071197768,0.04184647829408804,0.08962888564637962,0.04243766689338062,0.06121176851674179,0.08527442451753207,0.001412039099639346,0.08516834155335423,0.06036171556155796,0.026252061865962253,0.11375928934596315,0.40272364193765303,0.20247885813511507,0.07975013014343245,0.03491336672669565,0.04157591459278466,0.019602058830283476,0.0020709860065248253,0.2225191661656048,0.019535909902888057,0.02520677601326927,0.32035322820965295,0.018849497284963407,0.34611025856579625,0.005201006644920731,-0.033686078856399904,0.04861998073964063,0.04501463583088638,0.13834885833329605,0.13927457478685376,0.08267723778076427,-0.008659728139307953,0.40014966741580993,0.20843318789683438,0.044515928298166585,0.012351393241354092,-0.027495482393182592,0.08201364822302432,0.1773301958252453,0.09397788721017075,0.0519515120189198,0.011636909922970957,0.008818819348301551,0.05314835584958375,0.012650909779054198,0.21944495314399265,0.028509358046316984,0.06189185487521218,0.03145899220632595,0.09847865341140224,0.02205120094888807,0.0662432414021653,0.002937675722308698,0.1208307579483997,0.0443506606294853,0.17947839031175217,0.01730726961766953,0.08208217356987693,0.029437309823539367,0.1810137798047632,0.05523032175024772,0.07000201116973524,-0.013452057160131007,0.0025723097303228058,0.08881458445895349,0.033266144114314986,0.0045205417236507,-0.009311893141175281,0.0952674595457062,0.1457129178640216,-0.1971196327777993
DDOG,0.46655690780930315,0.374602183929813,0.44850626563095053,0.5487159773763128,0.6723901793884003,0.3929500325082023,0.21648378965770518,0.20068530493453146,-0.009160614951400888,1,0.15286850735934143,-0.1611781375762192,0.4563842522821642,0.1754952786568951,0.7680014217680038,0.9046862960173205,-0.5553265765963922,0.3277382076011897,0.3233720987901271,0.32797668708241606,0.6405698590518498,0.23780376844719212,0.28907325457517224,0.42387646228660825,0.37523989441869565,0.9574754274162324,0.3379489700318715,0.7419571832074774,0.0545477601011809,0.6529811222562105,0.71570004793031,0.3578927102820902,0.1549936448309908,0.22778312446097163,0.17919349680380411,0.08485718954855427,0.3690680053058708,0.36442972563828613,0.504961336593931,-0.023115934616734946,0.4168334728752046,0.26228191698589515,0.43924033646684796,1.0323759000405577,0.5073147693736779,0.7390048574554674,0.5545758622724266,0.21988094738102648,0.5366804324161308,0.5394005847739538,0.4798537111637133,0.057584698622292554,0.05025394241090596,0.36822124632700926,0.6668965444987995,-0.015985957932413256,0.3405493700371766,0.322388782494916,0.16897901818279595,0.6521866491054075,0.4125404172770325,0.44914721084375253,0.8717705434790881,0.3343377847898939,0.25713757610853893,0.4825824464247692,0.4261009314424883,0.5609966538738077,0.4564301170341444,0.16632309228592523,0.2229258476974568,0.35110222103614064,0.43351428693249267,0.6056220971604681,0.6623726435608803,0.22167259886098878,0.32363159679832937,0.431182573734641,0.29366603476638353,0.2770198487073014,0.21554296790274058,0.2029968112005663,0.4285730242588216,0.27690091465373096,0.5374344023574456,0.28474580227919705,0.6630468685125912,0.5593221723564575,0.7984420970826471,0.2675176585434537,0.30919060692873834,0.22666858447579077,1.6455529172408254,0.3984605032198663,0.17483508336528059,0.25966073129777884,0.10007553775156344,0.24040648290083919,0.5870460971742936,0.538699857633786,0.08913407565520505,0.2923710913148093,-0.1703078153483163,0.8055221318963808
