,QQQ,XLK,DIA,XLF,SPY,TLT
NTNX,0.6141495751447683,0.6098968249501535,0.36258268307191727,0.1805954665319902,0.4898629530020138,0.1570568221121019
APPS,0.6087474181165273,0.5792424310764168,0.4092909747521087,0.21920086982469575,0.5030532369122862,0.1578183961851505
ORCL,0.38851896262447816,0.3996869082985299,0.45969024378683837,0.3730774003314195,0.44793680993081375,-0.05748200384829852
FOUR,0.5620189949068819,0.530007613131771,0.541023946680863,0.434737101720934,0.5787532233852194,0.0074417067948610435
CRWD,0.6032964978832706,0.5997289369791104,0.3772776236947313,0.11080393398572312,0.5143439994486303,0.05001256111087898
EBAY,0.5412626879749928,0.5299055450893024,0.3915762333684034,0.16279379273304542,0.4987093364488619,0.15352792547664557
ALIT,0.1686354054386832,0.17441932882775635,0.26206457283008605,0.2298653894357872,0.2205364047907249,-0.0033246708811720603
MTTR,0.2639328235190967,0.2736569935468167,0.25130237022843094,0.2096453753742969,0.24713331621886422,0.16379180625591427
NLOK,0.12237776778310362,0.13307676515045436,0.348131158003874,0.22538964262236624,0.2052089962923037,0.11430644700499035
DDOG,0.5522355402848473,0.5408774988808013,0.20724942259436763,-0.013472637214623528,0.39172393195113403,0.20586583536451394
PROSY,0.3872119883257425,0.33379496302869566,0.26567439986016833,0.13640677448588545,0.3080830767426831,0.08444951518077327
FSLY,0.484498899385889,0.4598532841428066,0.30249270589594857,0.1463242900311364,0.37206083887412444,0.13531571674360005
NFLX,0.40388913646474606,0.35494352928911016,0.10642259208319922,-0.0013330581556751384,0.20467217876006805,0.17485129271181934
FIVN,0.621794016453776,0.4678975889082902,0.09710281690374452,-0.13987204369006936,0.30604579639810137,0.3709409383179753
GOOG,0.6611056765109747,0.6496054171824821,0.38879617243170683,0.17244589148800027,0.5300401866399421,0.20212183714395415
DBX,0.5145726443613239,0.5276337094034994,0.3968713512817799,0.26477868889691414,0.4782512886341715,-0.05555509761114656
GDDY,0.6278196975000957,0.6168231624427478,0.3489300616180404,0.08983841834860487,0.508571247434748,0.13397963709609942
TTD,0.5727203226464974,0.5675280834235479,0.385329780299162,0.17976183541811933,0.49638415997203794,0.09921751473160173
SPLK,0.5936638141479361,0.5824310108048092,0.3528078076033504,0.09306210295267209,0.4702208624611867,0.16820422655511272
AI,0.5292726913860659,0.517423867135696,0.3621868776878451,0.10211424133867628,0.46125536661122,0.08774367477268612
FISV,0.4775136215535281,0.4821584718144652,0.5345802638056919,0.3587546325409627,0.5318894594419034,0.02259965699957322
ETWO,0.4390301264400335,0.4550327278093563,0.3732415477465054,0.1784680656904765,0.4214913969933339,0.11091363968875423
ROKU,0.5951596681366149,0.5616911277566485,0.27640978217518647,0.07703593747113034,0.44508969724029457,0.21360960643427626
SNOW,0.37782692788405753,0.3700929081984112,0.2718258519236651,0.11815495359113096,0.32364418656230554,0.04502180044378573
ZS,0.5662914257277917,0.5689348030868161,0.20610511576865073,-0.041272434774006224,0.41083917944131776,0.20393244007355843
MSFT,0.6124516992030778,0.6217527417366902,0.3371088212801159,0.11646223806852968,0.4728689985006773,0.21942745684055862
PLTR,0.523418471158691,0.5024357803308173,0.30394253539739574,0.10432732898517262,0.4200584680222428,0.18965804110094991
