,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BXS,0.3467754275218568,0.408217242064593,0.7638231220623357,0.6945058132770392,True,True,75,81,0.6810655335721555,0.7407624843082662,1.5498336619196975,0.05188200654586219,-1.4979516553738352,1.6017156684655598,-3.047785317293533,3.151549330385257,0.8618648267499467,0.8176445793722644
PNC,0.24700740791860717,0.2926326900762749,0.7659265001867501,0.7282110174899292,True,True,72,75,0.505878605224519,0.5731095489911603,1.6227332419057332,0.04417530473625283,-1.5785579371694805,1.666908546641986,-3.2012911790752137,3.289641788547719,0.9475188593754864,0.9368746500932291
FHN,0.32034572479593915,0.35323740286883887,0.7614947232505164,0.7266243210701078,True,True,76,87,0.625992541150175,0.6501860329372409,1.766685869004797,0.15862403662795196,-1.6080618323768452,1.925309905632749,-3.3747477013816423,3.691995774637546,0.8876920819091274,0.8628756934135902
FNB,0.2503445749011572,0.3166352891092869,0.868556276093662,0.8288207128129472,True,True,78,92,0.48580087193541427,0.5394112895227641,1.8329559852455244,0.07166006204405222,-1.7612959232014722,1.9046160472895766,-3.5942519084469966,3.737572032535101,0.93240881285984,0.9109289175475822
NYCB,0.3586680352534463,0.3696923478916672,0.5323081898481199,0.516125686425894,True,True,73,74,0.7103498141168697,0.7330825544348444,1.2536003977753314,0.0663122269686532,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8484395413795541,0.8435466760955388
RY,0.17775840337892407,0.21553646059727483,0.7168575472415772,0.6171476416257967,True,True,80,78,0.3350229693175356,0.39966552807059713,1.0906947739795205,0.03135625346726431,-1.0593385205122563,1.1220510274467848,-2.150033294491777,2.2127458014263053,0.9022385004626974,0.8765438460364063
JEF,0.35613334050727835,0.35384405428186494,0.6051031994019176,0.6141443728593601,True,True,71,72,0.7497302036077877,0.7335338096476165,1.6302195594368496,0.07018933553764452,-1.560030223899205,1.7004088949744942,-3.190249783336055,3.3306284544113436,0.9194958999638662,0.9084663008505067
JPM,0.23118257610041698,0.24370341324967779,0.8424752761204751,0.8271270174888968,True,True,74,80,0.4621886320482839,0.4746278492856126,1.642052112628316,0.06016406432165826,-1.5818880483066577,1.7022161769499744,-3.223940160934974,3.3442682895782903,0.9526506288829023,0.9484186250429608
FBP,0.36782552398199575,0.34397907519187065,0.789369881935462,0.8286547757312557,True,True,89,90,0.6543852246738077,0.5955681129571292,1.973376517383425,0.053015109474215,-1.92036140790921,2.02639162685764,-3.893737925292635,3.999768144241065,0.8779958421686639,0.8644756972553458
FRC,0.28603598779298745,0.27989312986942044,0.7188156646738075,0.7285342551809562,True,True,84,78,0.5199882419725312,0.5257362411497296,1.3569189602442948,0.05320585496639168,-1.3037131052779032,1.4101248152106864,-2.660632065522198,2.7670437754549813,0.9222817036900366,0.9138635481888141
SBNY,0.5877978277686959,0.5865878192772571,0.47577572143817803,0.4721377314880434,True,True,76,77,1.1326313238950458,1.1314541022908966,1.6567149704173076,0.1456054646620175,-1.5111095057552901,1.8023204350793252,-3.1678244761725978,3.459035405496633,0.8168330551790216,0.8526725176068277
CMA,0.28945734903060144,0.36292621791206925,0.8780317262046923,0.8225382353254133,True,True,84,88,0.5260772237731746,0.6344042838694163,2.044531103407148,0.08936394117871123,-1.9551671622284366,2.133895044585859,-3.9996982656355846,4.178426147993007,0.9140138937433959,0.8850366168950656
UMPQ,0.36906277176651675,0.40154510808731736,0.6752925342197125,0.6384917175695396,True,True,69,72,0.8124392091195725,0.8541793229371617,1.5545776531289786,0.06728682734661288,-1.4872908257823656,1.6218644804755915,-3.0418684789113444,3.17644213360457,0.8967791116529866,0.8903069630063407
