,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BXS,0.36881366278717925,0.4082172420645906,0.7409135519384589,0.6945058132770421,True,True,81,81,0.6885824888787342,0.740762484308262,1.5467626206183103,0.0476183118595206,-1.4991443087587897,1.5943809324778309,-3.0459069293770997,3.1411435530961413,0.8461056151906798,0.8176445793722643
PNC,0.25241329941326707,0.29263269007627457,0.7652979915312411,0.7282110174899294,True,True,70,75,0.5217309178034842,0.5731095489911598,1.622733241905733,0.044175304736252835,-1.5785579371694802,1.6669085466419857,-3.201291179075213,3.2896417885477187,0.9462518366240575,0.9368746500932288
FHN,0.3438501575918478,0.3532374028688462,0.7411179355100876,0.7266243210701016,True,True,81,87,0.6479595819176374,0.650186032937253,1.7636343777875145,0.15397359280381026,-1.6096607849837044,1.9176079705913247,-3.373295162771219,3.6812423483788392,0.880015279038306,0.8628756934135895
FNB,0.26839481035234464,0.3166352891092951,0.8560794949591704,0.8288207128129392,True,True,79,92,0.513930272256805,0.5394112895227782,1.8329559852455244,0.07166006204405219,-1.7612959232014722,1.9046160472895766,-3.5942519084469966,3.737572032535101,0.9308662076499692,0.9109289175475815
NYCB,0.3540575273610099,0.369692347891674,0.5400143998518696,0.5161256864258835,True,True,78,74,0.6854985971842091,0.7330825544348609,1.2536003977753314,0.06631222696865322,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8516641329297496,0.843546676095539
RY,0.1449945254537765,0.21553646059689857,0.8055039445893503,0.6171476416272882,True,True,77,78,0.29040886033271984,0.39966552806981825,1.0915723268764332,0.03360813001380624,-1.057964196862627,1.1251804568902395,-2.1495365237390605,2.2167527837666725,0.9352178243898882,0.8765438460364057
JEF,0.3569397549005448,0.3538440542818599,0.6036336702446163,0.61414437285937,True,True,74,72,0.7352344464552103,0.7335338096475981,1.6302195594368496,0.0701893355376445,-1.5600302238992052,1.700408894974494,-3.190249783336055,3.3306284544113436,0.9193078184384693,0.9084663008505071
JPM,0.23156923905708568,0.24370341324968037,0.8416523565075805,0.8271270174888952,True,True,76,80,0.4576958329715712,0.474627849285613,1.6402347121478142,0.05644188571531413,-1.5837928264325,1.6966765978631284,-3.2240275385803145,3.3369113100109424,0.9525548305187344,0.94841862504296
FBP,0.3598211035419249,0.3439790751918666,0.7991027910363383,0.8286547757312592,True,True,93,90,0.6251364391014465,0.5955681129571232,1.9708956690019208,0.048374024787709906,-1.922521644214211,2.0192696937896306,-3.8934173132161316,3.9901653627915517,0.878975791473173,0.8644756972553449
FRC,0.27840597651074533,0.27989312986942555,0.7250537870358341,0.7285342551809484,True,True,77,78,0.525383252276683,0.5257362411497397,1.3630978700882876,0.04795713057385608,-1.3151407395144317,1.4110550006621436,-2.6782386096027193,2.7741528707504313,0.9170512142186154,0.9138635481888141
SBNY,0.5874737476077438,0.5865878192773345,0.4778758632401775,0.47213773148796534,True,True,77,77,1.1238105652850348,1.1314541022910356,1.6467016128059542,0.1395999087309836,-1.5071017040749706,1.7863015215369378,-3.153803316880925,3.4330031343428917,0.8200838840308298,0.8526725176068264
CMA,0.2974151608821398,0.36292621791205015,0.8742523176414898,0.8225382353254288,True,True,79,88,0.5505633603078169,0.6344042838693869,2.0445311034071483,0.08936394117871124,-1.955167162228437,2.1338950445858593,-3.9996982656355855,4.178426147993008,0.9135644957452128,0.8850366168950646
UMPQ,0.3937334971366277,0.4015451080873235,0.6492014963837419,0.6384917175695307,True,True,69,72,0.8527987094265059,0.8541793229371751,1.5504068521745429,0.0670036771404441,-1.4834031750340988,1.617410529314987,-3.0338100272086415,3.16781738148953,0.8925754921234313,0.8903069630063403
