,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
RY,0.1780845894870606,0.2156768649343529,0.7053596235729924,0.5972297007555454,True,True,78,78,0.34038649315125546,0.40113286521424735,1.0905763452147879,0.03408146704046969,-1.0564948781743182,1.1246578122552575,-2.147071223389106,2.2152341574700456,0.9024004083273972,0.8768340014840721
BNS,0.23648118885187636,0.23664360807477033,0.6290853442075188,0.6249150306356073,True,True,94,95,0.3963783795312281,0.4010245170523676,1.170961730582536,0.0685908374408684,-1.1023708931416676,1.2395525680234043,-2.2733326237242033,2.4105142986059405,0.8981115879931727,0.8954086160125381
FBP,0.33722289293986346,0.3485921045256219,0.8080984977855754,0.8173231368285263,True,True,91,92,0.593475223040754,0.5959740639368605,1.9699337978684681,0.059438057897854994,-1.910495739970613,2.029371855766323,-3.880429537839081,3.9993056536347913,0.889923601321296,0.8636063766646312
USB,0.23434045676027362,0.24232215714259397,0.761615934482567,0.7577316070717903,True,True,80,77,0.4555224963831952,0.4632897037114216,1.6673443426864474,0.06930597892616426,-1.598038363760283,1.7366503216126117,-3.2653827064467307,3.403994664299059,0.9510723610083801,0.9427678421052794
CADE,0.014463658100290263,0.4077641244840258,0.9995830615070783,0.6788227273377098,True,True,78,80,0.027440220573038524,0.7431308215486968,1.5625551518215837,0.07036339903072986,-1.4921917527908537,1.6329185508523136,-3.0547469046124376,3.195473702673897,0.9998175538981955,0.8164794253658132
HBAN,0.3372842668589994,0.3709052950040421,0.7592056404473626,0.7318461099599389,True,True,83,82,0.6375566672058391,0.6753263812775583,1.6938838906752982,0.10006719069622393,-1.5938166999790744,1.793951081371522,-3.2877005906543726,3.4878349720468202,0.9019775701637596,0.8785406426397699
ASB,0.34549065471792106,0.38100116148588725,0.7073446644104137,0.6922852813175471,True,True,72,85,0.6956333995993069,0.672153968742666,1.8466846596515742,0.0828495710087347,-1.7638350886428396,1.929534230660309,-3.6105197482944136,3.7762188903118834,0.9107662599801711,0.8604367908110564
RF,0.28177688997708866,0.3136094611289026,0.7426601232913679,0.71497033272857,True,True,67,76,0.6049559500472896,0.6358042872388324,1.8311233926147223,0.08612868875896178,-1.7449947038557605,1.9172520813736842,-3.576118096470483,3.7483754739884065,0.9335865830219692,0.9137534939129182
MS,0.2916596928795096,0.2928907386393839,0.7635773453929801,0.7607542435642358,True,True,76,78,0.5965427793732472,0.5839260794154265,1.6643952933667614,0.08843041816283538,-1.575964875203926,1.7528257115295969,-3.2403601685706875,3.417221004896358,0.9428192204440236,0.9393354503889225
VLY,0.34401133433755204,0.42989733812008024,0.735324396221053,0.6486565726145869,True,True,69,84,0.7422813828790928,0.7902783915157142,1.5456609163819692,0.08942590546671869,-1.4562350109152504,1.635086821848688,-3.0018959272972197,3.1807477382306573,0.8734023038916546,0.8255263205685317
