,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FRC,0.28152804330669223,0.2766964078742798,0.6894090239694732,0.7035762114995978,True,True,82,79,0.510852915148538,0.5086267502004167,1.3525002140295461,0.05944690985542449,-1.2930533041741217,1.4119471238849706,-2.6455535182036676,2.764447337914517,0.9210817556680342,0.914096312838376
UMPQ,0.38576155128434914,0.39557977157794977,0.6539942763227851,0.6347067322034141,True,True,71,71,0.8121721299958771,0.8448572459360923,1.5536864558363443,0.07310949398537608,-1.4805769618509683,1.6267959498217204,-3.0342634176873124,3.180482405658065,0.895084565574513,0.8915029804802356
CADE,0.3701222336980631,0.4110192536052125,0.7221968461383051,0.6735295900891871,True,True,80,80,0.6943703416487867,0.7435065340281692,1.5457051202340517,0.054300750071038954,-1.4914043701630129,1.6000058703050906,-3.0371094903970643,3.1457109905391425,0.8446434229039803,0.8162904448435514
CFG,0.26818318408656666,0.3320955695558045,0.772896800297635,0.7347626321856584,True,True,68,70,0.591629364386187,0.6784806183614904,1.9999318745103676,0.11375259824438409,-1.8861792762659835,2.1136844727547515,-3.886111150776351,4.113616347265119,0.9372554572330348,0.9166308251120618
USB,0.24261902282475414,0.2596864776119203,0.732773910256346,0.7083195800703243,True,True,68,73,0.509528902205836,0.513341121482293,1.6701110229575664,0.06145966240448879,-1.6086513605530777,1.7315706853620552,-3.278762383510644,3.4016817083196216,0.9509699042826155,0.9425768403640915
RF,0.28718200040009284,0.31719043842939726,0.7315444202617083,0.7091564622570021,True,True,67,75,0.6063950059194647,0.6434398054419708,1.8332225347004039,0.0804594428959179,-1.7527630918044859,1.9136819775963219,-3.5859856265048897,3.7469045122967257,0.9272832180030408,0.9137089970419657
JEF,0.3524161193539313,0.3485109881789575,0.5672093774260023,0.5809476153656508,True,True,69,72,0.7479868071433176,0.7246057028698155,1.6275622497709783,0.08129334253973478,-1.5462689072312434,1.7088555923107132,-3.1738311570022217,3.3364178420816915,0.9203790237861077,0.9080644307517578
BNS,0.23210897343290873,0.23321909512913458,0.6406873068691136,0.6369200165689404,True,True,87,93,0.40151960805120956,0.39822685854505,1.1743385068979084,0.07130520235322628,-1.103033304544682,1.2456437092511348,-2.2773718114425905,2.419982216149043,0.8989513262461435,0.8961821164542121
ASB,0.37119988412186705,0.3835238549898819,0.6710178845866057,0.6835130365510786,True,True,77,84,0.7264131677708191,0.6756121858702384,1.848905151476668,0.07912791918852938,-1.7697772322881384,1.9280330706651974,-3.6186823837648063,3.7769382221418653,0.9003149361740832,0.8601461146290028
FNB,0.2642156752943641,0.32724088320087796,0.8460112325900105,0.8013229866933307,True,True,78,88,0.5126789651235665,0.5669128900707366,1.8336257031852203,0.07728969723640487,-1.7563360059488156,1.910915400421625,-3.5899617091340357,3.7445411036068457,0.9303981702334803,0.910213059388142
BXS,0.3701209931948391,0.41103135417611264,0.7222370197775134,0.6734760718536994,True,True,80,80,0.6941919878505909,0.7437482135961891,1.5457557422946693,0.05409850079215279,-1.4916572415025164,1.5998542430868221,-3.0374129837971857,3.1456099853814914,0.8446402742472359,0.8162593106717924
ONB,0.3919407829834194,0.45242530786434754,0.592054020482079,0.5295040839921272,True,True,72,77,0.8321244644254052,0.8815019174158549,1.3542561765947714,0.05374702394687283,-1.3005091526478985,1.4080032005416443,-2.65476532924267,2.7622593771364157,0.8275004687952473,0.7970073208876134
FITB,0.3169434101247141,0.32987155402040697,0.7801930550957319,0.7707520470728446,True,True,81,77,0.5995013131280038,0.6381811041846264,1.785639462588011,0.11129628793720009,-1.6743431746508108,1.8969357505252111,-3.459982637238822,3.682575213113222,0.9082954039172421,0.9036644007073159
