,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
KEY,0.27223016125434685,0.29856652634911307,0.8473940487741909,0.8302471587652607,True,True,85,85,0.5027307324187116,0.5271027201925285,2.008123559903233,0.09496042248106693,-1.913163137422166,2.1030839823843,-3.921286697325399,4.1112075422875325,0.9578907844942818,0.9426962451666883
FHN,0.3230556037888518,0.36348675145800285,0.7445025333434336,0.7037155843085117,True,True,77,86,0.6345481392468417,0.6718374660718637,1.7681193561202098,0.16445152155493412,-1.6036678345652757,1.9325708776751438,-3.3717871906854855,3.7006902337953536,0.9024241780735398,0.8619886252176892
JPM,0.23387065003948793,0.24869900043283522,0.8394979804225164,0.8188285920265924,True,True,77,78,0.4575869330919442,0.4881979729635322,1.6472458905831944,0.05837738285985842,-1.588868507723336,1.7056232734430528,-3.23611439830653,3.3528691640262474,0.9525349890809617,0.9484813042969753
C,0.29616962266952296,0.27945066047316597,0.7583351763997941,0.774631429270285,True,True,74,77,0.5973122379656087,0.5665794089537954,1.953451414883194,0.11683963115603886,-1.8366117837271552,2.070291046039233,-3.7900631986103495,4.023742460922427,0.9396269420017928,0.939394696006298
CMA,0.3099022252959205,0.36742987137903704,0.8597145498362428,0.8090525997709451,True,True,77,89,0.5743458163596113,0.6355444388060439,2.04911673562925,0.10108770898783792,-1.9480290266414122,2.150204444617088,-3.9971457622706623,4.199321180246338,0.9204035098004111,0.8840829490825874
FRC,0.27987417454064023,0.27780503736967666,0.7016161041554905,0.7092298187305979,True,True,79,80,0.5178169451906736,0.506086161331828,1.353472603374355,0.05948001722127336,-1.2939925861530817,1.4129526205956282,-2.6474651895274364,2.7664252239699834,0.9262375208683579,0.9141008649334781
JEF,0.33582711226192596,0.34048378339285473,0.5929690973450805,0.5967319002150884,True,True,70,77,0.7166652438866209,0.6778548287458706,1.6269744983632466,0.08415707849722498,-1.5428174198660216,1.7111315768604716,-3.169791918229268,3.338106075223718,0.9256722569266342,0.9101517897025626
HBAN,0.3381934411919689,0.37089209996932065,0.7562524576237931,0.7309502046621514,True,True,81,82,0.6401358416253459,0.667881242281499,1.6975514074676028,0.10157972456968463,-1.5959716828979182,1.7991311320372874,-3.293523090365521,3.4966825395048904,0.9021270679915844,0.8789055125560011
PBCT,0.38375568262694226,0.4157093886094697,0.3998086512299672,0.3626922521261746,False,False,65,70,0.8527226540283676,0.8653033828665249,1.4501185307358235,0.07773233714825623,-1.3723861935875674,1.5278508678840796,-2.822504724323391,2.977969398619903,0.8966772180507162,0.8721384319816523
FNB,0.25560606810268327,0.32939759361472365,0.8609775135329015,0.8052024542248594,True,True,82,89,0.4770872192717416,0.5657122562292249,1.8349305979214436,0.0771754604493283,-1.7577551374721154,1.9121060583707719,-3.592685735393559,3.7470366562922157,0.9377830072133865,0.910212844446063
