,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ONB,0.3887221539746039,0.44949929189919224,0.6055012019422292,0.5477354969844623,True,True,75,78,0.812809422803124,0.8823083339731982,1.357454027906455,0.05326470148910312,-1.3041893264173519,1.4107187293955583,-2.661643354323807,2.7681727573020134,0.8325820034273551,0.7991820460103365
VIRT,0.4415724181425709,0.403051239860681,-0.06381434650991236,0.03183517483983167,True,True,77,69,0.8889047477062799,0.8841037051140458,0.6521284609080029,0.08181053465334945,-0.5703179262546535,0.7339389955613523,-1.2224463871626563,1.3860674564693554,0.14495015615961615,0.03538399627519784
CMA,0.2837424203576621,0.3635997289761041,0.8750522006024347,0.8279301302735202,True,True,79,88,0.5488135245686775,0.6414089051640331,2.0449567526553625,0.09756587331504397,-1.9473908793403185,2.1425226259704067,-3.9923476319956808,4.187479378625769,0.9281363905836877,0.884990546834129
JPM,0.23090684169511144,0.24142325076548574,0.8521131388898509,0.8354514337759457,True,True,77,82,0.4428753996392546,0.46478916714824015,1.6368544387060469,0.06167802126916519,-1.5751764174368816,1.698532459975212,-3.2120308561429285,3.335386898681259,0.9537544000437849,0.9483677229560598
BNS,0.24049441377947792,0.23948008007478092,0.620221930754983,0.6188212412275761,True,True,88,93,0.4181670629373151,0.4139141409398537,1.1669155945590923,0.07083854753471303,-1.0960770470243792,1.2377541420938054,-2.262992641583472,2.4046697366528975,0.8983286871765727,0.8939966199149886
ZION,0.42013050040699523,0.4982162937969708,0.674720321099761,0.6240216024330554,True,True,76,81,0.8580370254168663,0.9173009332150844,1.5374774155290722,0.06317236584858937,-1.4743050496804828,1.6006497813776617,-3.011782465209555,3.138127196906734,0.8738409126592559,0.8296987888403736
STL,0.2953317015064037,0.3004590028623388,0.858222605562024,0.8836715763518748,True,True,83,93,0.5513011910636745,0.503119062332313,2.0465862177148,0.11828019261854845,-1.9283060250962516,2.1648664103333486,-3.9748922428110514,4.211452628048148,0.9215049346568204,0.875768477352
SBNY,0.5882643497562207,0.5875957436757754,0.4917683608906379,0.4886206856365488,True,True,74,76,1.1670866417100363,1.1565357605215008,1.6448412168847724,0.14098478909872855,-1.5038564277860438,1.785826005983501,-3.148697644670816,3.4306672228682733,0.8273101621511585,0.8529381391706015
HBAN,0.3382422426039162,0.36246021841856507,0.7693710168484028,0.7593390787529015,True,True,85,80,0.6306642978024036,0.6696384688251585,1.6939754254937007,0.09879710179537528,-1.5951783236983255,1.792772527289076,-3.289153749192026,3.486747952782777,0.9093852641650965,0.8795051844048074
UMPQ,0.3755693814485078,0.39561952797629624,0.664067074828973,0.6503176058979885,True,True,72,72,0.8226846511959833,0.8424594874807464,1.5491387268027215,0.073285670988238,-1.4758530558144836,1.6224243977909594,-3.024991782617205,3.171563124593681,0.8982890951982825,0.8907388278013886
PNC,0.251232593448854,0.2984189337912873,0.7636959272871753,0.7323899537197587,True,True,70,72,0.5484585589352391,0.5992882014057633,1.619997551196407,0.04804577946054803,-1.571951771735859,1.668043330656955,-3.191949322932266,3.2880408818533624,0.9508037108915447,0.9365868079820138
ASB,0.35455222234157296,0.374243367531215,0.7256924987604565,0.7281456841533596,True,True,85,83,0.6721112041486521,0.6743569633458114,1.8468823715132763,0.07584704271827947,-1.771035328794997,1.9227294142315556,-3.617917700308273,3.769611785744832,0.9021514214861567,0.8619722039622882
FBP,0.3673743892849826,0.33665983015722506,0.7829214065032827,0.8394358315485051,True,True,88,89,0.6576897728099486,0.5894037061701931,1.9685706071288476,0.053682608171266154,-1.9148879989575813,2.022253215300114,-3.883458606086429,3.990823822428961,0.884274223055489,0.8650142411344617
JEF,0.3530341683963135,0.35296864191197835,0.6058115737797718,0.616931209962774,True,True,72,72,0.7400879903122952,0.730765638716435,1.6257699232557334,0.07965915259144483,-1.5461107706642887,1.7054290758471782,-3.171880693920022,3.3311989991029116,0.9196792822806993,0.9082909594652886
WFC,0.3155645889589117,0.3040597793919579,0.807915982025905,0.8094121151998162,True,True,75,73,0.6425366769233928,0.6396622942915126,1.693486979444795,0.08078793139258678,-1.6126990480522083,1.7742749108373819,-3.306186027497003,3.467761890282177,0.9109253967491522,0.896637675769218
FITB,0.28246363332842195,0.31239184119955127,0.8291827839507405,0.803853916815666,True,True,82,75,0.5475114868671339,0.6130536720371954,1.7838605023684084,0.11691556154600363,-1.6669449408224049,1.900776063914412,-3.4508054431908133,3.6846365662828204,0.9238607963342772,0.9048727648510582
RF,0.25260842550400947,0.2985518515923149,0.7549977057699129,0.7494279812006411,True,True,65,78,0.5736272626496389,0.5977412147099358,1.8301174673086937,0.08258204458341041,-1.7475354227252833,1.9126995118921042,-3.5776528900339772,3.7428169792007977,0.9453981965713838,0.9147444788394014
BXS,0.35981105108705597,0.40376828463208064,0.7445920604273883,0.7040976692511496,True,True,78,83,0.6992880619580033,0.7269410917234141,1.5471272453455733,0.05548191642257259,-1.4916453289230007,1.602609161768146,-3.0387725742685743,3.149736407113719,0.8536780388776428,0.8185810790177589
KEY,0.2362710958350588,0.29143559040595235,0.8878464931528338,0.8402424064132901,True,True,80,85,0.45101218144240196,0.5196445246151848,2.0030877410598147,0.09447249364834774,-1.908615247411467,2.0975602347081623,-3.9117029884712817,4.100647975767977,0.9617777475000846,0.9390106351626787
FNB,0.25670187361266994,0.3121071394740006,0.8466920710645811,0.8358767294625556,True,True,70,94,0.5500792241456554,0.5329109523199212,1.840738071883656,0.08364134748661735,-1.7570967243970386,1.9243794193702732,-3.5978347962806945,3.765117491253929,0.9312248136095111,0.9112822273613591
TD,0.21737482367136868,0.2204470112441573,0.6948006394375206,0.6999978682840751,True,True,82,86,0.40438785328038584,0.40709865936776657,1.2127783970566122,0.0411346642578116,-1.1716437327988005,1.2539130613144238,-2.384422129855413,2.4666914583710358,0.903941823689328,0.8962012148998582
FRC,0.280439471236139,0.2825740560827397,0.7316151333376636,0.7353062596070175,True,True,79,76,0.526761556565506,0.5409846574541696,1.3557611435766617,0.0578713216621793,-1.2978898219144823,1.413632465238841,-2.653650965491144,2.7693936088155024,0.9234042237779732,0.9137061133478911
C,0.30134729568039476,0.2888739588499628,0.7468475944060633,0.7614090327623082,True,True,72,78,0.635779576549761,0.5932525521891215,1.9436695697168371,0.11546211288689281,-1.8282074568299442,2.05913168260373,-3.7718770265467816,4.002801252320567,0.9396126504342637,0.9376586249409898
GS,0.2836040507010069,0.2857038681796634,0.7999108179431038,0.7951200839335496,True,True,77,83,0.5586019155331677,0.5468045071153662,1.4515652865027524,0.0677288986049374,-1.383836387897815,1.5192941851076898,-2.8354016744005675,2.970859471610442,0.9197142384706349,0.9184758825700595
FHN,0.32385192871412993,0.35859008390435393,0.7002089071473805,0.7373124560064408,True,True,65,86,0.7289405850910714,0.6624889305103635,1.7697854539235012,0.1709460242679834,-1.5988394296555177,1.9407314781914846,-3.368624883579019,3.710516932114986,0.9078715812972878,0.8629244027018317
VLY,0.3722980210193424,0.4239816280340162,0.7113773516979093,0.6789493296676714,True,True,69,86,0.8001811155848547,0.7703005904347675,1.524570584931971,0.08405910660800646,-1.4405114783239645,1.6086296915399776,-2.965082063255936,3.1332002764719484,0.8672860922140182,0.827258657541425
PBCT,0.3887148783265672,0.41166122270928324,0.4702423800137935,0.4311179561706173,False,False,72,70,0.7935341678905777,0.862050594825117,1.4562681480934916,0.07423402381570793,-1.3820341242777836,1.5305021719091996,-2.8383022723712754,2.986770320002691,0.8884544512107995,0.8727333417805077
CADE,0.37808706219150323,0.42003482420226773,0.694771453976341,0.6651837122879015,True,True,75,79,0.7650083312126095,0.7869940235218582,1.549245157743728,0.05672706581641712,-1.4925180919273109,1.6059722235601452,-3.041763249671039,3.1552173813038733,0.8531711042869072,0.8182266005748111
USB,0.22355943936608627,0.24268655964440214,0.788035859595227,0.7735253543718965,True,True,72,75,0.4681874714324331,0.47472188014795175,1.6661601879350252,0.06350429616064675,-1.6026558917743785,1.7296644840956719,-3.2688160797094037,3.395824672030697,0.9533286314354233,0.9421529398091854
NYCB,0.3506178843471237,0.3645357687061682,0.528497585722681,0.5272375282163988,True,True,74,73,0.7067250243893581,0.7361998749342985,1.2585028719107179,0.07637239582474875,-1.1821304760859692,1.3348752677354665,-2.440633347996687,2.5933781396461844,0.8415018849183916,0.8443177501361425
ISBC,0.4730584187607854,0.5003822517445008,0.3104066555005862,0.35341864890868935,False,False,71,71,1.0406377855349662,1.0644630651807823,1.4001547160217829,0.08824472697270586,-1.311909989049077,1.4883994429944887,-2.7120647050708597,2.8885541590162718,0.8470371158541841,0.8221110676718113
MS,0.2890204596409729,0.28879552129610214,0.7768892899587181,0.7736013508588764,True,True,78,80,0.5757827505851448,0.5666189086385058,1.6639813418517824,0.09211346570871054,-1.5718678761430718,1.756094807560493,-3.235849217994854,3.4200761494122753,0.9447370364843904,0.9390248017972556
