,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BXS,0.35725282187345203,0.4082172420646086,0.748655673245733,0.6945058132770205,True,True,77,81,0.6768367711302978,0.7407624843082938,1.5552867463235782,0.054103780064457006,-1.5011829662591212,1.6093905263880353,-3.0564697125826994,3.1646772727116135,0.8569269990157509,0.8176445793722638
PNC,0.23566224322334833,0.2926326900762756,0.7780452363646353,0.7282110174899288,True,True,67,75,0.5169877619536829,0.5731095489911615,1.6227332419057332,0.04417530473625284,-1.5785579371694805,1.666908546641986,-3.2012911790752137,3.289641788547719,0.9514643835059797,0.9368746500932292
FHN,0.3007722443536031,0.3532374028688404,0.7695529531926941,0.7266243210701064,True,True,70,87,0.6289534251759192,0.6501860329372436,1.7636343777875145,0.1539735928038103,-1.6096607849837041,1.917607970591325,-3.373295162771219,3.6812423483788392,0.9071979906229423,0.8628756934135895
FNB,0.2487586202170184,0.31663528910928124,0.8706906574431119,0.8288207128129528,True,True,78,92,0.4686467523645561,0.5394112895227544,1.8329559852455244,0.0716600620440522,-1.7612959232014722,1.9046160472895766,-3.5942519084469966,3.737572032535101,0.9383919732268118,0.9109289175475814
NYCB,0.34784466853411333,0.3696923478916814,0.5489658062949792,0.5161256864258725,True,True,73,74,0.7027728942048826,0.7330825544348786,1.2536003977753314,0.06631222696865322,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8563592147652633,0.8435466760955386
RY,0.1777727738787367,0.21553646059672688,0.7157084657004589,0.6171476416279688,True,True,81,78,0.33517571610927355,0.39966552806946287,1.0906947739795205,0.03135625346726432,-1.0593385205122563,1.1220510274467848,-2.150033294491777,2.2127458014263053,0.9020932297438344,0.8765438460364061
JEF,0.3553566714924395,0.35384405428185844,0.6054729942641026,0.6141443728593732,True,True,71,72,0.7506857382361892,0.7335338096475925,1.6302195594368496,0.0701893355376445,-1.5600302238992052,1.700408894974494,-3.190249783336055,3.3306284544113436,0.9225062376638974,0.9084663008505062
JPM,0.22773936014103596,0.24370341324967804,0.8458052119971327,0.8271270174888967,True,True,74,80,0.4575064931571843,0.4746278492856126,1.6402347121478142,0.056441885715314145,-1.5837928264325,1.6966765978631284,-3.2240275385803145,3.3369113100109424,0.952937564687744,0.9484186250429623
FBP,0.3567612700788053,0.34397907519186655,0.8097986514339128,0.8286547757312593,True,True,89,90,0.6149430742310511,0.595568112957123,1.970895669001921,0.048374024787709885,-1.9225216442142112,2.019269693789631,-3.893417313216132,3.990165362791552,0.8928489045528207,0.8644756972553458
FRC,0.2767513121265998,0.2798931298694344,0.7256803075325235,0.7285342551809347,True,True,79,78,0.5226589194033333,0.5257362411497579,1.3569189602442948,0.05320585496639168,-1.3037131052779032,1.4101248152106864,-2.660632065522198,2.7670437754549813,0.9264487256588059,0.9138635481888167
SBNY,0.5652958606988183,0.5865878192758323,0.49139685101956787,0.4721377314894819,True,True,80,77,1.0814042284279186,1.1314541022883353,1.6467016128059542,0.1395999087309836,-1.5071017040749706,1.7863015215369378,-3.153803316880925,3.4330031343428917,0.8313523720354856,0.8526725176068279
