,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FNB,0.2373850758517237,0.3084367197799511,0.8884177288864705,0.8399608098689274,True,True,74,94,0.4682417199058535,0.5265591323032648,1.8301242223045373,0.0813453200667793,-1.748778902237758,1.9114695423713166,-3.578903124542295,3.741593764675854,0.9409852922642438,0.911232135325088
JEF,0.34654104396133234,0.3537606073164299,0.6157150934321465,0.6183010742839083,True,True,72,73,0.7405765932632824,0.7280663289685885,1.6247379347096909,0.08201193325505618,-1.5427260014546347,1.706749867964747,-3.1674639361643253,3.331487802674438,0.9222403995443408,0.9082882532498637
CFG,0.2717730178254105,0.3242451962619185,0.7916323075389532,0.7634044120974609,True,True,71,73,0.5637168623125326,0.6530191392007829,1.994402527094061,0.11445179263617344,-1.8799507344578876,2.1088543197302343,-3.8743532615519487,4.103256846824296,0.938096824578617,0.9173499455591563
MS,0.28834802261998715,0.2888301648932414,0.775836230593212,0.7730258393302158,True,True,82,80,0.5651578340666507,0.5666191205166442,1.6620798661705285,0.09362814935286734,-1.5684517168176613,1.7557080155233957,-3.2305315829881898,3.4177878816939242,0.9424127848613104,0.9390298752138675
SBNY,0.572275049098557,0.5822849193970652,0.511705044559797,0.49331007923288406,True,True,73,76,1.1394406909172663,1.150263720538399,1.654340665106883,0.15416583766005393,-1.5001748274468292,1.808506502766937,-3.154515492553712,3.46284716787382,0.8239994632393388,0.8530132484863627
USB,0.23007044211160152,0.24359037519720067,0.7869863654569624,0.7706683306952549,True,True,71,75,0.4784047749147675,0.4795395751408576,1.6657325332574264,0.07039954043982569,-1.5953329928176008,1.736132073697252,-3.261065526075027,3.4018646069546787,0.9511881612858968,0.9419541781337607
HBAN,0.3362125654595733,0.36172089570175303,0.7805122236757925,0.759311752469701,True,True,79,80,0.6424097974398855,0.6694903309030442,1.693853196008328,0.10342139379285092,-1.590431802215477,1.797274589801179,-3.2842849982238054,3.491127785809507,0.9003800785605218,0.8790865057570532
UMPQ,0.3774247163323377,0.39475875469328053,0.6644078501404146,0.6496392957982196,True,True,75,72,0.7876247287706913,0.8424237563102106,1.5475434895795397,0.07526083777650457,-1.4722826518030352,1.6228043273560442,-3.0198261413825747,3.170347816935584,0.8994143847394934,0.89074832140129
STL,0.29149523968848384,0.3003106282781222,0.890842126346399,0.883545074567482,True,True,93,95,0.4932580469534057,0.4987635080325301,2.0462009182247103,0.12365784932616217,-1.922543068898548,2.1698587675508723,-3.9687439871232586,4.2160596857755825,0.9069500098844767,0.87572849872486
ASB,0.35302063134392714,0.37055016555322196,0.7273004519046706,0.7317915618783267,True,True,83,85,0.6739757274796219,0.6612353013715103,1.8483796491244409,0.08521185147369047,-1.7631677976507505,1.9335915005981312,-3.6115474467751914,3.781971149722572,0.9020618884164238,0.861898316210123
FITB,0.30176820610782423,0.31313036564951213,0.8110656517552151,0.8036768955952667,True,True,75,76,0.6004757214351479,0.6111751936194307,1.7839326260099977,0.12276761786382416,-1.6611650081461735,1.9067002438738219,-3.445097634156171,3.6906328698838196,0.9115670207840579,0.9043937997778275
GS,0.28230026525161783,0.28326381346684243,0.800876776025477,0.7971138607798426,True,True,79,82,0.5529884445455242,0.54744479169096,1.4500698627046478,0.06946373899271975,-1.380606123711928,1.5195336016973675,-2.830675986416576,2.9696034644020153,0.9191365746443213,0.9185001665948853
TD,0.21481516480792207,0.22037645097470762,0.7042191916649019,0.7011877305113805,True,True,86,87,0.39018161077449537,0.4048183774332904,1.2114161149571967,0.04259422416587466,-1.168821890791322,1.2540103391230715,-2.380238005748519,2.465426454080268,0.9028269785058695,0.8960503853302851
VLY,0.3660662315319974,0.4230789449955452,0.7301228737468232,0.676838111053877,True,True,75,87,0.739821540287617,0.7665965063497749,1.5289528547737048,0.09335566185555381,-1.435597192918151,1.6223085166292586,-2.964550047691856,3.1512613714029634,0.8629514207793711,0.8271403730921407
PNC,0.2574581897704257,0.297630829262544,0.7632115180127255,0.7320239793666905,True,True,74,72,0.5281529421270428,0.6004044560779341,1.619564262236514,0.052694775015042224,-1.566869487221472,1.6722590372515562,-3.186433749457986,3.2918232994880703,0.946147802732404,0.9365013640645166
