,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FNB,0.24445731267564175,0.3134530241408132,0.8690156211509235,0.8363903264336721,True,True,77,95,0.47935443215765616,0.5307056209523219,1.8383715247631494,0.08884189450826804,-1.7495296302548813,1.9272134192714174,-3.587901155018031,3.7655849440345666,0.9296280384663356,0.9115455004069621
VLY,0.3336308540884325,0.41798374568221885,0.7490668017428221,0.680262797746414,True,True,70,84,0.7135108068046797,0.7679125579204619,1.5256378137027737,0.07562758944874806,-1.4500102242540256,1.6012654031515219,-2.9756480379567996,3.1269032168542954,0.8759316832218296,0.8271325058738027
C,0.29478719153887306,0.30342409766159917,0.7368503203567098,0.7356711668742909,True,True,67,78,0.6658210091561975,0.625697573269131,1.9427609493424258,0.11891801878877774,-1.823842930553648,2.0616789681312038,-3.7666038798960737,4.004439917473629,0.934742037017208,0.9339491461247081
TD,0.22773141096249983,0.22798503179418486,0.6773311297125995,0.6836513092369767,True,True,88,88,0.41245549833694556,0.41623899907177386,1.209993534409361,0.04020753672213022,-1.169785997687231,1.2502010711314913,-2.3797795320965918,2.4601946055408526,0.9030105552340034,0.8956133539770367
ASB,0.3422137922616973,0.37598706921709835,0.746131517556217,0.7271199088668336,True,True,83,86,0.643167664989421,0.6641610847216413,1.8442629050007675,0.08088724868814469,-1.7633756563126228,1.9251501536889122,-3.60763856131339,3.76941305868968,0.9004023628738894,0.8601748581741121
CMA,0.2798558981295497,0.3731505326593152,0.8782078486160922,0.8199466950795938,True,True,79,89,0.5549571024324019,0.6556462631756732,2.040582562368092,0.10084620918286709,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9233579754446465,0.8835082883476556
PBCT,0.3787191447613957,0.41352589387516286,0.47867110531929025,0.4311454286994644,False,False,66,69,0.8052607001312018,0.8726378017003327,1.4547989694610914,0.0790257980647801,-1.3757731713963113,1.5338247675258716,-2.8305721408574027,2.988623736986963,0.8898521075085533,0.8714334865291614
FBP,0.3648954510287193,0.33796307176633067,0.7956314372798392,0.8407566856287055,True,True,85,89,0.6659452557384756,0.5918736640683754,1.9698254324216953,0.061318920753048095,-1.9085065116686473,2.0311443531747435,-3.8783319440903425,4.000969785596439,0.8843535564342027,0.864299573206544
STL,0.26860507115425314,0.2999616114463492,0.8767214425402216,0.8828660873459647,True,True,88,93,0.48799679953028563,0.5034287066636626,2.043775487699313,0.12320416260652427,-1.9205713250927887,2.166979650305837,-3.964346812792102,4.21075513800515,0.9288934623300759,0.8749371092678844
KEY,0.2546120272518142,0.29649034574944544,0.8490082696359305,0.8302037576376867,True,True,73,82,0.5166443134564377,0.5432810610138175,1.998470844673183,0.09484981488735589,-1.903621029785827,2.093320659560539,-3.90209187445901,4.091791504233722,0.9537173707301506,0.9363752620511986
