,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BXS,0.3617038555415063,0.40821724206459015,0.7487613814187084,0.6945058132770425,True,True,75,81,0.7002726334658445,0.7407624843082612,1.5498336619196975,0.05188200654586219,-1.4979516553738352,1.6017156684655598,-3.047785317293533,3.151549330385257,0.8552984808810788,0.8176445793722628
PNC,0.2433545427148029,0.2926326900762702,0.7752361029018241,0.7282110174899317,True,True,76,75,0.48560597940058364,0.5731095489911533,1.6227332419057332,0.04417530473625284,-1.5785579371694805,1.666908546641986,-3.2012911790752137,3.289641788547719,0.9487230410029467,0.9368746500932287
FHN,0.3194051087331201,0.35323740286885263,0.7777786905667324,0.7266243210700962,True,True,82,87,0.5995521218951263,0.6501860329372634,1.7682993929381876,0.15482818387123587,-1.6134712090669519,1.9231275768094234,-3.3817706020051395,3.691426969747611,0.9035097289136779,0.86287569341359
FNB,0.2593646308192711,0.31663528910927674,0.8609747718292926,0.8288207128129572,True,True,81,92,0.4935345133344293,0.5394112895227466,1.8329559852455244,0.0716600620440522,-1.7612959232014722,1.9046160472895766,-3.5942519084469966,3.737572032535101,0.9363233138589667,0.9109289175475819
NYCB,0.3518072489057758,0.36969234789167416,0.536551468332225,0.5161256864258834,True,True,73,74,0.700975409422994,0.733082554434861,1.2536003977753314,0.0663122269686532,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8537449967949157,0.8435466760955386
RY,0.17619978199144035,0.2155364605977277,0.718811725323405,0.6171476416240009,True,True,81,78,0.33286102285029673,0.39966552807153494,1.0906947739795205,0.03135625346726432,-1.0593385205122563,1.1220510274467848,-2.150033294491777,2.2127458014263053,0.9026064501258559,0.8765438460364059
JEF,0.3553327538243388,0.35384405428185883,0.6053312935902617,0.6141443728593723,True,True,69,72,0.7609000353631856,0.733533809647594,1.6302195594368496,0.0701893355376445,-1.5600302238992052,1.700408894974494,-3.190249783336055,3.3306284544113436,0.9222974887320153,0.9084663008505067
JPM,0.23031537452897782,0.24370341324967837,0.8431059611282281,0.8271270174888965,True,True,77,80,0.45302027692466323,0.47462784928561275,1.6439230193044907,0.06012753681997503,-1.5837954824845157,1.7040505561244657,-3.227718501789006,3.3479735754289566,0.9527826381502876,0.9484186250429599
FBP,0.38444039877471126,0.3439790751918672,0.7728867610559175,0.8286547757312587,True,True,88,90,0.6783639410023055,0.5955681129571242,1.9751801354980059,0.05723014526585985,-1.917949990232146,2.0324102807638655,-3.893130125730152,4.007590416261872,0.8853044046784567,0.8644756972553453
FRC,0.27898078556016215,0.2798931298694343,0.726064833179199,0.7285342551809347,True,True,81,78,0.5167921262291704,0.5257362411497579,1.358381943355493,0.05626272063922266,-1.3021192227162701,1.4146446639947157,-2.660501166071763,2.7730266073502086,0.9224855055887456,0.9138635481888141
SBNY,0.5761740711089902,0.5865878192766529,0.4791052055366304,0.47213773148865357,True,True,77,77,1.1074771384657387,1.1314541022898106,1.6541659046498147,0.14218687980581746,-1.5119790248439973,1.7963527844556322,-3.1661449294938118,3.450518689105447,0.8297663784235589,0.8526725176068279
CMA,0.28846322555543874,0.3629262179120544,0.8799107857805366,0.8225382353254254,True,True,80,88,0.5376056207957396,0.6344042838693934,2.044531103407148,0.08936394117871124,-1.9551671622284366,2.133895044585859,-3.9996982656355846,4.178426147993007,0.925292493606946,0.8850366168950646
UMPQ,0.372548066416783,0.4015451080873194,0.6571647168642338,0.6384917175695366,True,True,71,72,0.8227362594601406,0.8541793229371661,1.5504068521745429,0.06700367714044413,-1.4834031750340988,1.617410529314987,-3.0338100272086415,3.16781738148953,0.8978599878130533,0.8903069630063414
TD,0.20846306684635282,0.21845945338704068,0.7267448170133798,0.7072294839615947,True,True,81,86,0.3868428356069419,0.3994138608622626,1.2158189545548177,0.03450971721839783,-1.1813092373364198,1.2503286717732156,-2.3971281918912375,2.4661476263280333,0.9042724531113627,0.8970357425300203
HBAN,0.3201587041646768,0.36194840059046385,0.7922669561516414,0.7496839628771121,True,True,89,80,0.5728154491003035,0.6634194079123384,1.6961395537071764,0.09521968545749825,-1.6009198682496781,1.7913592391646747,-3.2970594219568548,3.487498792871851,0.9116443498011823,0.879153490478213
CADE,0.36168144334906643,0.40820545439569733,0.748731672641931,0.6945565628506427,True,True,75,81,0.7004684069617333,0.7405244451047521,1.5497840301084866,0.05208197374543795,-1.4977020563630488,1.6018660038539245,-3.0474860864715354,3.151650033962411,0.855305646960942,0.8176756286885514
PBCT,0.3699326604009785,0.4115159538578539,0.4896804337824796,0.41111550096843263,False,False,71,69,0.7710841513430973,0.8700595186573741,1.4549348487331,0.07368073615620457,-1.3812541125768953,1.5286155848893046,-2.8361889613099955,2.9835504336224044,0.9007287501322369,0.8722765841584498
STL,0.32193554496610055,0.30564409738625603,0.8661258717766318,0.877424253428352,True,True,93,93,0.5360253504587956,0.5107088265581383,2.051002237621122,0.1143441417999875,-1.9366580958211344,2.165346379421109,-3.9876603334422565,4.2163486170422315,0.9197204373870684,0.8750619869728813
ONB,0.3643569046160551,0.4419588253944558,0.6632760241838109,0.5659356845465021,True,True,74,81,0.7529902244414849,0.8441819678553649,1.3631934121062252,0.04229247807149847,-1.3209009340347269,1.4054858901777236,-2.684094346140952,2.768679302283949,0.8412948648706735,0.7980265090367729
RF,0.2816904298987365,0.3068511360350195,0.7690410320350531,0.7400692123971334,True,True,73,78,0.5582140377200614,0.6122513453180489,1.8324352106129334,0.07538371617006238,-1.757051494442871,1.9078189267829957,-3.5894867050558044,3.740254137395929,0.9439153942392328,0.9143593723376079
ISBC,0.47804842562566013,0.5003168853833972,0.3271801837438447,0.3389912355858329,False,False,74,69,1.0125360049753025,1.0827471699901272,1.3892412746898832,0.07947669094576751,-1.3097645837441156,1.4687179656356508,-2.699005858433999,2.857959240325534,0.8753180444439391,0.8228324383890223
ZION,0.40620917417912805,0.5067253783357456,0.7020135937135028,0.6113580944002477,True,True,75,82,0.8220021933913552,0.9278563141231643,1.5415049258087143,0.05237321785489225,-1.489131707953822,1.5938781436636067,-3.0306366337625366,3.135383069472321,0.8763759724730076,0.829938579856
MS,0.28648717238269694,0.28662231028297236,0.7790566626370259,0.7758499731262266,True,True,79,80,0.5675994897760335,0.5609296695537747,1.666194420886556,0.08384531706398425,-1.5823491038225717,1.7500397379505404,-3.248543524709128,3.416234158837096,0.943642630518949,0.9394783934402964
CFG,0.2658902381667324,0.3294005406847179,0.8124136992832061,0.7577372313743429,True,True,81,71,0.5148663770863793,0.6684458814536874,1.999460337881921,0.10734498180321708,-1.8921153560787038,2.106805319685138,-3.8915756939606245,4.106265657567059,0.9491452880713138,0.9172625156110341
C,0.2863370512984654,0.2794893284094004,0.772375420644194,0.7832368688096993,True,True,75,78,0.5869105256762296,0.5664104899020217,1.9499347402406688,0.11272785323711541,-1.8372068870035534,2.0626625934777842,-3.7871416272442224,4.012597333718453,0.9405302623168235,0.9393579117893887
