,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
VLY,0.34190053789153924,0.4179837456822189,0.7507016337249984,0.680262797746414,True,True,76,84,0.6946559326861591,0.7679125579204621,1.5156592841053083,0.07640497443371744,-1.4392543096715908,1.5920642585390257,-2.954913593776899,3.107723542644334,0.8654966483689556,0.8271325058738029
C,0.30810923547684826,0.3034240976619942,0.729600066328581,0.7356711668735003,True,True,69,78,0.6675787540176226,0.6256975732705429,1.9390463707714072,0.11370322522303752,-1.8253431455483697,2.052749595994445,-3.7643895163197767,3.991795966765852,0.9340604604926963,0.9339491461247091
TD,0.2300362738977756,0.22798503179422158,0.6734956477356118,0.6836513092368752,True,True,88,88,0.4127837952740563,0.41623899907183654,1.209993534409361,0.040207536722130205,-1.169785997687231,1.2502010711314913,-2.3797795320965918,2.4601946055408526,0.9039520575373581,0.8956133539770353
ASB,0.346632945178931,0.3759870692170909,0.7414826763236695,0.7271199088668401,True,True,83,86,0.6569428987583523,0.6641610847216285,1.8422805202878745,0.07678400753131277,-1.7654965127565616,1.9190645278191873,-3.607777033044436,3.761345048107062,0.8992625657824536,0.8601748581741127
CMA,0.2845275288367031,0.3731505326593294,0.8774494347361314,0.8199466950795821,True,True,78,89,0.564567764094606,0.6556462631756973,2.040582562368092,0.10084620918286706,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9170295507876932,0.8835082883476562
PBCT,0.38378899085355733,0.4135258938751697,0.47622432071674903,0.4311454286994587,False,False,69,69,0.797370361822184,0.872637801700344,1.4517978480546292,0.07907421426951407,-1.3727236337851152,1.5308720623241432,-2.8245214818397444,2.9826699103787724,0.8926523530764433,0.871433486529161
FBP,0.32845305499438815,0.33796307176630663,0.8356854671160757,0.8407566856287243,True,True,88,89,0.5853431476886786,0.5918736640683427,1.9673858358643528,0.056747673686427774,-1.910638162177925,2.0241335095507806,-3.878023998042278,3.991519345415133,0.9005960387167469,0.8642995732065444
STL,0.26232831733940115,0.2999616114463644,0.9084009894739113,0.8828660873459545,True,True,89,93,0.45207084150302274,0.5034287066636829,2.0417150465713494,0.11877372635104247,-1.922941320220307,2.160488772922392,-3.9646563667916563,4.202203819493741,0.9127626978884479,0.8749371092678843
KEY,0.24825353586221682,0.29649034574944555,0.8566895886258816,0.830203757637687,True,True,77,82,0.4918583827519508,0.5432810610138173,1.9962352092947275,0.09932898008072183,-1.8969062292140058,2.0955641893754495,-3.8931414385087333,4.091799398670177,0.9539896897753541,0.9363752620511984
ISBC,0.39520965645364775,0.45256295469903546,0.5929112512422088,0.5258289062271264,True,True,76,78,0.8017528428447582,0.8883010708833058,1.379480069423378,0.0770566744812268,-1.302423394942151,1.4565367439046049,-2.6819034643655293,2.8360168133279826,0.8731945398260956,0.8211705597301097
WFC,0.30269109792997506,0.30613281633934464,0.8158613416336331,0.8080033244646347,True,True,79,74,0.6068865923441351,0.6391730968003333,1.6920131570265486,0.07883927977119588,-1.6131738772553528,1.7708524367977445,-3.3051870342819014,3.462865593824293,0.9012687766550882,0.8942324765946101
BNS,0.24168608015890689,0.23707356425630272,0.6292960510480958,0.6388727263801135,True,True,86,94,0.4176437012683795,0.40301247004527035,1.1690528404832379,0.07191345950299514,-1.0971393809802428,1.240966299986233,-2.2661922214634806,2.410019140469471,0.8968835746495283,0.8920692650582719
MS,0.288653953134834,0.2851952057976023,0.7723132346467932,0.771150138583089,True,True,81,83,0.5679871857274288,0.5520088577911576,1.6610790098838086,0.09324682889596436,-1.5678321809878444,1.7543258387797729,-3.228911190871653,3.4154048486635817,0.9395286420364768,0.9364288933141565
CFG,0.26972831696175775,0.32847896907158325,0.7908398426382904,0.7572228494961812,True,True,68,73,0.5852546779840656,0.6630419846263282,1.9982781318785965,0.12056711356798105,-1.8777110183106154,2.1188452454465776,-3.875989150189212,4.117123377325174,0.9368548602203652,0.9137963066810784
GS,0.2842741141259443,0.28428227714730603,0.8017523115479683,0.7985794987841609,True,True,77,83,0.5592596476897996,0.544105462922118,1.448204969252877,0.06923312190697559,-1.3789718473459014,1.5174380911598524,-2.827176816598778,2.9656430604127295,0.9186047000070501,0.9181610980871524
NYCB,0.34755084485749027,0.36835058761443507,0.548845492998645,0.5203420606632317,True,True,78,75,0.6747199065743787,0.7258250683947569,1.2488900506133118,0.07211260071955103,-1.1767774498937609,1.3210026513328628,-2.4256675005070725,2.569892701946175,0.8562990719581152,0.845239616669258
