,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
UMPQ,0.3741884366357646,0.3955797715779415,0.6643453948883852,0.6347067322034274,True,True,67,71,0.8220787545731016,0.8448572459360721,1.5536864558363443,0.07310949398537607,-1.4805769618509683,1.6267959498217204,-3.0342634176873124,3.180482405658065,0.8964318534979527,0.8915029804802348
CADE,0.36299264576549645,0.41101925360520836,0.7268702492910195,0.6735295900891922,True,True,81,80,0.6832020647785196,0.7435065340281624,1.5457051202340517,0.05430075007103896,-1.4914043701630129,1.6000058703050906,-3.0371094903970643,3.1457109905391425,0.8524261431816488,0.8162904448435505
CFG,0.2727743107878901,0.33209556955582525,0.7775042042217941,0.7347626321856418,True,True,77,70,0.5486310187578582,0.6784806183615216,1.9999318745103676,0.11375259824438412,-1.8861792762659835,2.113684472754752,-3.886111150776351,4.113616347265119,0.9354325039980205,0.9166308251120608
USB,0.24893251207784728,0.25968647761192165,0.7242595333895676,0.7083195800705915,True,True,71,73,0.5155982825433407,0.5133411214820035,1.6701110229575662,0.06145966240448879,-1.6086513605530774,1.731570685362055,-3.2787623835106436,3.401681708319621,0.9504328109431563,0.9425768403640911
RF,0.2750551517605529,0.3171904384294137,0.744230074104897,0.7091564622569888,True,True,70,75,0.5772114884106654,0.6434398054420016,1.8332225347004039,0.0804594428959179,-1.7527630918044859,1.9136819775963219,-3.5859856265048897,3.7469045122967257,0.9278773241461303,0.9137089970419664
JEF,0.3495526044821172,0.34851098817895776,0.5755236650669378,0.5809476153656502,True,True,71,72,0.7384247411862929,0.7246057028698164,1.6275622497709783,0.08129334253973478,-1.5462689072312434,1.7088555923107132,-3.1738311570022217,3.3364178420816915,0.9213197036871822,0.9080644307517581
BNS,0.23383266962967927,0.23321909512930555,0.6353697119200711,0.636920016568499,True,True,93,93,0.3948405224504889,0.39822685854532436,1.1748573007773102,0.0691698976943994,-1.105687403082911,1.2440271984717095,-2.280544703860221,2.4188844992490197,0.8985852983201849,0.8961821164542112
ASB,0.36443878371047234,0.3835238549898637,0.6730029812591501,0.6835130365510911,True,True,77,84,0.7186848975656072,0.6756121858702142,1.848905151476668,0.07912791918852936,-1.7697772322881384,1.9280330706651974,-3.6186823837648063,3.7769382221418653,0.9020922971520444,0.860146114629002
FNB,0.26438546546204433,0.3272408832008683,0.8440498883174236,0.801322986693342,True,True,72,88,0.5345235496397162,0.5669128900707174,1.8336257031852203,0.07728969723640487,-1.7563360059488156,1.910915400421625,-3.5899617091340357,3.7445411036068457,0.9293663233582292,0.9102130593881418
BXS,0.36300039804396533,0.4110313541761113,0.7269059020066284,0.673476071853701,True,True,81,80,0.6832148787988837,0.7437482135961869,1.5457557422946693,0.05409850079215279,-1.4916572415025164,1.5998542430868221,-3.0374129837971857,3.1456099853814914,0.8524171624970417,0.8162593106717911
C,0.29565640507820323,0.27790446954205233,0.7496366479497804,0.7674100720057115,True,True,77,76,0.5846412705555669,0.5683293425810654,1.952062803882102,0.1167563243161882,-1.8353064795659138,2.06881912819829,-3.7873692834480157,4.020881932080392,0.9395824260007499,0.9393904066303571
ONB,0.3825310737587076,0.4524253078643455,0.6128323421477653,0.5295040839921304,True,True,69,77,0.8233757401736341,0.8815019174158506,1.3639752892502366,0.04727548610484769,-1.316699803145389,1.4112507753550843,-2.6806750923956253,2.775226064605321,0.8262047881085831,0.7970073208876127
FITB,0.30716868637664063,0.32987155402040824,0.7966583388096806,0.7707520470728393,True,True,84,77,0.5728318861956183,0.6381811041846325,1.787919394494297,0.11555724007251822,-1.6723621544217788,1.9034766345668153,-3.460281548916076,3.6913960290611123,0.9083488116801299,0.9036644007073151
VLY,0.3639922400655851,0.4308439037616946,0.7048108671319173,0.6444083228902051,True,True,70,82,0.7723379791146631,0.795662189345272,1.5242758231942628,0.08690401975398362,-1.4373718034402791,1.6111798429482465,-2.961647626634542,3.135455666142509,0.8637237960504613,0.8257428251471199
SBNY,0.6028079331843836,0.6119862478042069,0.4265139707057246,0.4214638297853949,True,True,74,77,1.1862947292460242,1.1710901377431986,1.6505483412670312,0.14095591985314004,-1.5095924214138912,1.7915042611201712,-3.160140762680922,3.4420526023872027,0.8208945680697247,0.851934163149007
HBAN,0.34833697621191073,0.37019732782873976,0.7510627519842734,0.7255475068787128,True,True,87,82,0.6205035900839845,0.6678201883673192,1.696346220658514,0.10143522994014023,-1.5949109907183738,1.7977814505986542,-3.291257211376888,3.4941276712571683,0.8957280534102027,0.8788964298355819
