,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
PBCT,0.38934081974867507,0.41352589387516364,0.46692104478755203,0.4311454286994637,False,False,72,69,0.8014819745029702,0.8726378017003343,1.4517978480546292,0.07907421426951404,-1.3727236337851152,1.5308720623241432,-2.8245214818397444,2.9826699103787724,0.8823575087805006,0.8714334865291624
ASB,0.3522366064303038,0.3759870692170678,0.7293400219328605,0.7271199088668607,True,True,82,86,0.6727672601822756,0.6641610847215889,1.8422805202878745,0.07678400753131279,-1.7654965127565616,1.9190645278191873,-3.607777033044436,3.761345048107062,0.8962652455499975,0.8601748581741122
JEF,0.34062406245244214,0.3527028761463698,0.6294704274120448,0.6185796351273384,True,True,70,74,0.7367177103734335,0.7245751279218651,1.6229984988290052,0.08175825565435998,-1.5412402431746453,1.704756754483365,-3.16423874200365,3.3277552533123704,0.917792308597425,0.906169807019376
RY,0.18382833536055299,0.21882710762462323,0.7167156554555809,0.6267583614128901,True,True,85,78,0.33608831200237405,0.4050567171431281,1.087235306012345,0.03600870414995892,-1.0512266018623861,1.1232440101623038,-2.138461907874731,2.210479316174649,0.8996590577743947,0.8747240365403903
CMA,0.3231170203128333,0.37315053265932935,0.8555390675083814,0.8199466950795822,True,True,78,89,0.6192086106143736,0.6556462631756972,2.040582562368092,0.10084620918286709,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9091792025438435,0.8835082883476554
FHN,0.3440826163353402,0.3619325591004258,0.7498878664728978,0.731765261369524,True,True,84,89,0.6443612035907149,0.6581464819649612,1.759813908507547,0.16204622599061125,-1.5977676825169358,1.9218601344981583,-3.357581591024483,3.6816740430057053,0.8800519349390838,0.8633488420587478
BNS,0.2368892162588304,0.23707356425502887,0.6368713843892664,0.6388727263838728,True,True,96,94,0.39764538415132683,0.40301247004328583,1.169052840483238,0.07191345950299513,-1.097139380980243,1.2409662999862332,-2.266192221463481,2.4100191404694713,0.8954694249510973,0.8920692650582714
FBP,0.3632350049771511,0.3379630717663314,0.800452220003384,0.840756685628705,True,True,89,89,0.6489392492512771,0.5918736640683765,1.9673858358643528,0.05674767368642778,-1.910638162177925,2.0241335095507806,-3.878023998042278,3.991519345415133,0.8761821008997714,0.8642995732065455
FNB,0.27353306804993394,0.3134530241408142,0.8550673280505011,0.8363903264336713,True,True,82,95,0.5245374580389195,0.5307056209523233,1.8282712895555122,0.08123902427627744,-1.7470322652792347,1.9095103138317897,-3.575303554834747,3.737781603387302,0.9284069696638193,0.9115455004069638
ISBC,0.42152928660210903,0.4525629546990259,0.5626640093673708,0.5258289062271395,True,True,73,78,0.8628856081499091,0.8883010708832841,1.379480069423378,0.0770566744812268,-1.302423394942151,1.4565367439046049,-2.6819034643655293,2.8360168133279826,0.8562001686174088,0.8211705597301084
CADE,0.35859593278470187,0.4152306875386181,0.7104903361348436,0.6596237050879741,True,True,71,79,0.7571405901669557,0.7890248107765785,1.5450914568628384,0.05149258865767417,-1.4935988682051642,1.5965840455205127,-3.0386903250680026,3.141675502383351,0.8479528071889816,0.8174654746549136
JPM,0.23292920271149847,0.23547552337338093,0.8417180637383628,0.8403013529181798,True,True,75,81,0.46072159070327356,0.4557030299682685,1.632007867431441,0.05202477510175611,-1.579983092329685,1.6840326425331973,-3.2119909597611263,3.316040509964638,0.949997029603552,0.9464940839516238
USB,0.23664960130562976,0.24432100851992458,0.7679080941826997,0.7674522295695984,True,True,76,74,0.48640901795701713,0.4851290935758901,1.6622633789390222,0.06519965960600928,-1.5970637193330128,1.7274630385450316,-3.2593270982720353,3.3897264174840536,0.9481238501977846,0.9410052948207834
CFG,0.2811832739578279,0.32847896907158336,0.7891410682625399,0.7572228494961812,True,True,74,73,0.5779544036405332,0.6630419846263286,1.9920214750081315,0.11404948008433613,-1.8779719949237954,2.1060709550924677,-3.869993469931927,4.098092430100599,0.9277179324648597,0.9137963066810794
C,0.31466340416777255,0.30342409766260353,0.721946577703414,0.7356711668722812,True,True,75,78,0.6522643325778207,0.6256975732727202,1.9390463707714072,0.11370322522303752,-1.8253431455483697,2.052749595994445,-3.7643895163197767,3.991795966765852,0.9330139768270773,0.9339491461247074
