,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
PNC,0.25740578472307585,0.2993949489042815,0.7691351315852062,0.7324835283600197,True,True,78,73,0.5099264055609598,0.6000766304670472,1.6185386405162272,0.05396374641634091,-1.5645748940998863,1.6725023869325681,-3.1831135346161137,3.291041027448795,0.9494752234436762,0.9369008595266467
CMA,0.3013357966517814,0.3731505326593411,0.8759135021010679,0.8199466950795724,True,True,80,89,0.5745691151044744,0.6556462631757172,2.040582562368092,0.10084620918286706,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9281069272681692,0.8835082883476556
BXS,0.3650591788151099,0.4152421008356331,0.7017510648463073,0.659580802785806,True,True,75,79,0.7402686543862572,0.7892693815508527,1.543129680613878,0.054941760269779726,-1.4881879203440982,1.5980714408836576,-3.031317600957976,3.1412011214975357,0.8589006350152856,0.8174350915236175
FNB,0.24445723956620147,0.31345302414082626,0.875808923355826,0.8363903264336606,True,True,80,95,0.473488929286332,0.530705620952341,1.8282712895555122,0.08123902427627745,-1.7470322652792347,1.9095103138317897,-3.575303554834747,3.737781603387302,0.9382026052692279,0.9115455004069638
NYCB,0.3441183416559481,0.3683505876144321,0.5598557253046387,0.5203420606632354,True,True,70,75,0.6992142004547421,0.7258250683947514,1.2488900506133118,0.07211260071955101,-1.1767774498937609,1.3210026513328628,-2.4256675005070725,2.569892701946175,0.8567975817269312,0.8452396166692572
WFC,0.3405849436596871,0.30613281633704625,0.7880063862585741,0.808003324467254,True,True,79,74,0.659284191826997,0.6391730967967448,1.6920131570265486,0.07883927977119587,-1.6131738772553528,1.7708524367977445,-3.3051870342819014,3.462865593824293,0.9067055564508549,0.8942324765946097
ONB,0.3691985653572381,0.44066156915481813,0.6262959370271433,0.5523520448779289,True,True,72,79,0.7951395824371672,0.864776585260952,1.3523886926112805,0.050922058892322666,-1.3014666337189578,1.4033107515036032,-2.6538553263302385,2.7556994441148834,0.8367567656626228,0.7968493183675435
MS,0.28563906788932014,0.28519520579760377,0.7765030174744725,0.7711501385830857,True,True,77,83,0.5728998606223265,0.5520088577911615,1.663630903167564,0.08909099930158786,-1.5745399038659762,1.7527219024691518,-3.23817080703354,3.416352805636716,0.9395243137839976,0.9364288933141571
RY,0.18283295638599195,0.21882710762366214,0.7210867371230076,0.6267583614167435,True,True,80,78,0.3415758809919531,0.40505671714074715,1.0878222700147495,0.03803159690677198,-1.0497906731079776,1.1258538669215215,-2.137612943122727,2.213676136936271,0.9006200849976783,0.874724036540391
STL,0.3099705483720626,0.29996161144634687,0.8737710916461402,0.8828660873459663,True,True,93,93,0.522545848821744,0.5034287066636596,2.0417150465713494,0.11877372635104244,-1.922941320220307,2.160488772922392,-3.9646563667916563,4.202203819493741,0.917701481900673,0.8749371092678835
PBCT,0.3504787964469265,0.4135258938751716,0.5064687311297558,0.43114542869945727,False,False,72,69,0.7423840404149098,0.8726378017003474,1.4517978480546292,0.07907421426951407,-1.3727236337851152,1.5308720623241432,-2.8245214818397444,2.9826699103787724,0.9018164094533785,0.871433486529161
FBP,0.36498547915603985,0.33796307176633217,0.7977362380645173,0.8407566856287043,True,True,91,89,0.6349235713004918,0.5918736640683776,1.969258978913766,0.06096533040316694,-1.908293648510599,2.030224309316933,-3.877552627424365,3.999483288230699,0.8894223964312883,0.8642995732065444
C,0.31450471788320344,0.30342409766285444,0.7253649050547494,0.7356711668717791,True,True,73,78,0.653765892047305,0.6256975732736165,1.9390463707714072,0.11370322522303752,-1.8253431455483697,2.052749595994445,-3.7643895163197767,3.991795966765852,0.9346227452848898,0.9339491461247084
CADE,0.3651117288538721,0.4152306875386235,0.701713703152685,0.6596237050879685,True,True,75,79,0.7404307763431137,0.7890248107765873,1.5430799281402845,0.05513977248276745,-1.4879401556575171,1.5982197006230519,-3.0310200837978014,3.1412996287633366,0.8588943394542824,0.8174654746549124
