,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ONB,0.39435171830423144,0.4494992918991849,0.5446943080930056,0.5477354969844721,True,True,65,78,0.9291264551958966,0.8823083339731841,1.3790255198931094,0.052667372702626704,-1.3263581471904826,1.4316928925957362,-2.7053836670835922,2.8107184124888454,0.8312804616919636,0.7991820460103368
VIRT,0.43125117528093365,0.4030512398606811,0.013960403641037789,0.03183517483983156,True,True,78,69,0.8523113829547285,0.8841037051140459,0.7028720384272754,0.08518390976593983,-0.6176881286613356,0.7880559481932152,-1.320560167088611,1.4909279866204908,0.15045758030681577,0.03538399627519817
CMA,0.34025460756232406,0.3635997289761206,0.7703397823597178,0.8279301302735074,True,True,67,88,0.7375698759059133,0.6414089051640581,2.0449567526553625,0.09756587331504397,-1.9473908793403185,2.1425226259704067,-3.9923476319956808,4.187479378625769,0.9205801962697062,0.8849905468341276
JPM,0.23048374131029398,0.24142325076548407,0.8498132350010666,0.8354514337759469,True,True,75,82,0.45375761646317575,0.4647891671482392,1.6395520129407652,0.06843096481707817,-1.571121048123687,1.7079829777578435,-3.2106730610644525,3.3475349906986085,0.9528598721586982,0.9483677229560595
BNS,0.24907130855230059,0.23948008007546767,0.5951131584052758,0.6188212412255858,True,True,88,93,0.4331563235657867,0.4139141409409277,1.1689916357868892,0.06901534196973769,-1.0999762938171516,1.238006977756627,-2.268967929604041,2.406998613543516,0.8969909999555674,0.893996619914988
ZION,0.4313320502099616,0.498216293796939,0.6629835993819484,0.6240216024330927,True,True,70,81,0.9151726353766859,0.9173009332150297,1.5466475983532488,0.05949770103312753,-1.4871498973201214,1.6061452993863763,-3.03379749567337,3.152792897739625,0.8725400213926879,0.8296987888403731
STL,0.34496384709949435,0.3004590028622964,0.7219794365423522,0.8836715763519019,True,True,84,93,0.6483300009261387,0.5031190623322604,2.048647482377023,0.12273596305866788,-1.9259115193183551,2.171383445435691,-3.9745590016953782,4.220030927812714,0.912571712258385,0.875768477352
SBNY,0.5915694446924302,0.5875957436767657,0.483353366839651,0.4886206856354447,True,True,78,76,1.141815965551039,1.1565357605235762,1.6578201737794014,0.1484843627776114,-1.50933581100179,1.8063045365570127,-3.1671559847811914,3.464124710336414,0.8224662019900636,0.8529381391706026
HBAN,0.3567368716972708,0.3624602184185604,0.7070690217708102,0.7593390787529061,True,True,78,80,0.6895069484601033,0.6696384688251518,1.697762582111642,0.09917868517078399,-1.5985838969408581,1.7969412672824259,-3.2963464790525,3.494703849394068,0.903796509229618,0.879505184404807
UMPQ,0.39239740687501445,0.3956195279762923,0.6199155147805624,0.6503176058979936,True,True,70,72,0.8671175203233914,0.8424594874807378,1.5509849730024627,0.06971772051550196,-1.4812672524869608,1.6207026935179647,-3.0322522254894233,3.1716876665204277,0.8960961519113788,0.8907388278013875
PNC,0.2761206035482016,0.2984189337912685,0.7309195949195044,0.7323899537197693,True,True,71,72,0.5879860334237736,0.5992882014057321,1.623160811338141,0.05504825828391702,-1.568112553054224,1.6782090696220582,-3.191273364392365,3.3013698809601992,0.9463906354965793,0.9365868079820149
