,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ONB,0.3894414627402982,0.44949929189918864,0.6168554475565935,0.5477354969844672,True,True,75,78,0.7953274289447254,0.8823083339731912,1.357454027906455,0.05326470148910312,-1.3041893264173519,1.4107187293955583,-2.661643354323807,2.7681727573020134,0.8321474296322176,0.799182046010337
VIRT,0.44257041938010827,0.4030512398606816,-0.06696424390614597,0.031835174839830005,True,True,75,69,0.8993057835380633,0.8841037051140469,0.6521284609080029,0.08181053465334946,-0.5703179262546535,0.7339389955613523,-1.2224463871626563,1.3860674564693554,0.12389955077331616,0.03538399627519806
CMA,0.3107719654786149,0.36359972897610077,0.8732613720789482,0.8279301302735227,True,True,80,88,0.5720959777852419,0.6414089051640283,2.0449567526553625,0.09756587331504395,-1.9473908793403185,2.142522625970406,-3.992347631995681,4.187479378625769,0.9153453628215058,0.8849905468341264
JPM,0.22666406689883087,0.2414232507654892,0.8522149239130312,0.8354514337759431,True,True,78,82,0.44302321794174165,0.464789167148242,1.6368544387060469,0.06167802126916519,-1.5751764174368816,1.698532459975212,-3.2120308561429285,3.335386898681259,0.952729782215092,0.9483677229560604
BNS,0.2416127672344068,0.23948008007436997,0.6168889790059211,0.618821241228767,True,True,90,93,0.41622691819267693,0.413914140939211,1.1669155945590923,0.07083854753471303,-1.0960770470243792,1.2377541420938054,-2.262992641583472,2.4046697366528975,0.8965217221392875,0.8939966199149878
ZION,0.4114748281404455,0.49821629379696203,0.7039813501401929,0.6240216024330658,True,True,80,81,0.8110841489298075,0.9173009332150693,1.5374774155290725,0.06317236584858937,-1.474305049680483,1.600649781377662,-3.0117824652095555,3.1381271969067344,0.8700129537385689,0.8296987888403735
STL,0.29631167161456545,0.30045900286233496,0.8875893228833491,0.8836715763518772,True,True,90,93,0.5077369531803687,0.503119062332308,2.0465862177148,0.11828019261854845,-1.9283060250962516,2.1648664103333486,-3.9748922428110514,4.211452628048148,0.9050757260424712,0.8757684773520005
SBNY,0.5919997696624516,0.5875957436755848,0.49059237188899907,0.4886206856367613,True,True,76,76,1.149497376681373,1.156535760521101,1.6448412168847724,0.14098478909872852,-1.5038564277860438,1.785826005983501,-3.148697644670816,3.4306672228682733,0.8206821339150759,0.852938139170601
HBAN,0.3449933844296406,0.362460218418555,0.7719151829351577,0.7593390787529112,True,True,82,80,0.6458535875274052,0.6696384688251442,1.6939754254937007,0.09879710179537528,-1.5951783236983255,1.792772527289076,-3.289153749192026,3.486747952782777,0.8947861913309219,0.879505184404806
UMPQ,0.38068562079714424,0.39561952797629973,0.6627404782443836,0.6503176058979838,True,True,73,72,0.8127764778891585,0.8424594874807538,1.5491387268027215,0.07328567098823799,-1.4758530558144836,1.6224243977909594,-3.024991782617205,3.171563124593681,0.8933676475488579,0.8907388278013884
PNC,0.2628719243162478,0.29841893379127743,0.7607237005276083,0.7323899537197642,True,True,72,72,0.5367875694054897,0.599288201405747,1.619997551196407,0.048045779460548034,-1.571951771735859,1.668043330656955,-3.191949322932266,3.2880408818533624,0.9458742665821013,0.9365868079820129
ASB,0.3585893493029157,0.37424336753122,0.7247394573598371,0.7281456841533558,True,True,82,83,0.6867878416802626,0.674356963345819,1.8468823715132763,0.07584704271827948,-1.7710353287949967,1.9227294142315559,-3.617917700308273,3.769611785744832,0.9013267154740237,0.8619722039622879
FBP,0.3579544343424795,0.33665983015722467,0.8073801216257499,0.8394358315485054,True,True,87,89,0.6431310111324678,0.5894037061701926,1.9685706071288476,0.05368260817126618,-1.9148879989575813,2.022253215300114,-3.883458606086429,3.990823822428961,0.8798364497157737,0.865014241134462
WFC,0.31233485093069363,0.304059779391189,0.8128122548001899,0.8094121152007112,True,True,80,73,0.6123952981895144,0.6396622942902389,1.6953869209201642,0.07693779105023048,-1.6184491298699337,1.7723247119703947,-3.3138360507900977,3.467711632890559,0.905762824869017,0.8966376757692174
FITB,0.3070200983084658,0.31239184119955515,0.811313939723425,0.803853916815658,True,True,84,75,0.5683174474122294,0.6130536720372043,1.7838605023684084,0.11691556154600366,-1.6669449408224049,1.900776063914412,-3.4508054431908133,3.6846365662828204,0.9089539214335276,0.9048727648510586
RF,0.27300935574784707,0.2985518515923153,0.7712293870804596,0.7494279812006409,True,True,77,78,0.536219277681306,0.5977412147099365,1.8301174673086937,0.08258204458341041,-1.7475354227252833,1.9126995118921042,-3.5776528900339772,3.7428169792007977,0.9276344481722196,0.9147444788394016
BXS,0.3588163671431734,0.4037682846320705,0.7568050964585833,0.704097669251161,True,True,77,83,0.6827339965577006,0.7269410917233975,1.5471272453455733,0.05548191642257259,-1.4916453289230007,1.602609161768146,-3.0387725742685743,3.149736407113719,0.8515895633413115,0.8185810790177585
KEY,0.2684832674546818,0.29143559040595274,0.8495147255910787,0.84024240641329,True,True,86,85,0.4899712019098523,0.5196445246151853,2.001422920373959,0.09860781560466568,-1.9028151047692934,2.1000307359786246,-3.9042380251432527,4.101453656352584,0.9504346234792497,0.939010635162679
FNB,0.25909512890785724,0.31210713947400964,0.8665171298559965,0.8358767294625477,True,True,81,94,0.49501946502394223,0.5329109523199358,1.8305614569371413,0.07597803683758961,-1.7545834200995518,1.9065394937747309,-3.585144877036693,3.737100950711872,0.9304792512008631,0.9112822273613596
TD,0.2140305929536136,0.22044701124536512,0.7058331509401349,0.6999978682807331,True,True,87,86,0.3873494093461451,0.40709865936993544,1.2127783970566124,0.04113466425781161,-1.1716437327988007,1.253913061314424,-2.3844221298554134,2.466691458371036,0.9028794872265162,0.8962012148998585
FRC,0.28253852793510326,0.28257405608274866,0.7309319734263389,0.7353062596070039,True,True,77,76,0.5364068617684549,0.5409846574541884,1.3557611435766617,0.0578713216621793,-1.2978898219144823,1.413632465238841,-2.653650965491144,2.7693936088155024,0.9221199161562055,0.9137061133478914
C,0.2941576683571307,0.28887395884987266,0.7509427312476611,0.7614090327624636,True,True,74,78,0.6161670063759204,0.5932525521888629,1.9436695697168371,0.11546211288689283,-1.8282074568299442,2.05913168260373,-3.7718770265467816,4.002801252320567,0.9378623922864512,0.9376586249409893
GS,0.2730972334968893,0.2857038681796644,0.8148695223121969,0.7951200839335484,True,True,77,83,0.5414434771276264,0.5468045071153677,1.4515652865027524,0.06772889860493739,-1.383836387897815,1.5192941851076898,-2.8354016744005675,2.970859471610442,0.9228962635865808,0.9184758825700595
CFG,0.27173296433375055,0.3227486683708786,0.7955801001785551,0.7663631768445466,True,True,71,73,0.5612331836012332,0.646306029978912,1.997101709091494,0.1140337278688485,-1.8830679812226454,2.1111354369603426,-3.8801696903141396,4.108237146051836,0.9346683522940616,0.9176704787652565
FHN,0.3366591089005592,0.3585900839043519,0.7565454513039386,0.7373124560064426,True,True,84,86,0.6354803350199772,0.66248893051036,1.7662064864521605,0.158448273966652,-1.6077582124855085,1.9246547604188124,-3.373964698937669,3.690861246870973,0.8828799292234834,0.8629244027018317
VLY,0.3684773492487296,0.4239816280340057,0.724920354149013,0.6789493296676841,True,True,72,86,0.7673398843847762,0.7703005904347499,1.524570584931971,0.08405910660800645,-1.4405114783239645,1.6086296915399776,-2.965082063255936,3.1332002764719484,0.8604421248123626,0.827258657541425
PBCT,0.38960014810757054,0.4116612227092819,0.47493164217718986,0.43111795617061843,False,False,73,70,0.786453668237031,0.8620505948251141,1.4547322460039938,0.07746502439802577,-1.377267221605968,1.5321972704020195,-2.8319994676099616,2.9869295164060135,0.8850683754737341,0.8727333417805068
CADE,0.3766916558963946,0.42003482420226407,0.7081762889379082,0.6651837122879056,True,True,77,79,0.7328259769900966,0.7869940235218517,1.5492451577437278,0.0567270658164171,-1.4925180919273107,1.605972223560145,-3.0417632496710385,3.155217381303873,0.851150016342932,0.81822660057481
USB,0.2312713694963905,0.242686559644403,0.7870554536266415,0.7735253543720173,True,True,73,75,0.47297995079970656,0.474721880147826,1.6661601879350252,0.06350429616064672,-1.6026558917743785,1.7296644840956719,-3.2688160797094037,3.395824672030697,0.9498496372410715,0.9421529398091854
NYCB,0.35548357882445686,0.36453576870616583,0.544021837903051,0.5272375282164019,True,True,75,73,0.6976391807288377,0.7361998749342938,1.2522807748941671,0.07137241299801803,-1.1809083618961491,1.3236531878921851,-2.433189136790316,2.5759339627863524,0.8501878387165474,0.8443177501361422
ISBC,0.4687651909840818,0.5003822517445073,0.3582149877724591,0.35341864890868335,False,False,68,71,1.039295438656917,1.064463065180798,1.3846100307255078,0.08014169306685462,-1.3044683376586532,1.4647517237923624,-2.689078368384161,2.8493617545178704,0.8583897513390129,0.8221110676718109
MS,0.2858068082566138,0.28879552129610125,0.7824549120268609,0.7736013508588784,True,True,81,80,0.5616284488657092,0.5666189086385032,1.6688130244305928,0.09741309544457279,-1.5713999289860199,1.7662261198751656,-3.240212953416613,3.435039144305758,0.9385042210633865,0.9390248017972554
RY,0.1771587232088758,0.21534059664588293,0.7295487024857136,0.6370049266657674,True,True,82,78,0.3330885433780941,0.3996898459858818,1.088623683430431,0.034642051290331426,-1.0539816321400997,1.1232657347207624,-2.1426053155705307,2.2118894181511934,0.9021370631639053,0.8765272642902345
