,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BXS,0.36988699110803963,0.40821724206461857,0.7398232516903553,0.6945058132770088,True,True,78,81,0.7011783190651694,0.7407624843083117,1.5518389344408203,0.048203452973108726,-1.5036354814677115,1.6000423874139291,-3.055474415908532,3.1518813218547495,0.8459361301803696,0.8176445793722635
PNC,0.24550750330525986,0.29263269007626197,0.7674491459308054,0.7282110174899361,True,True,74,75,0.5035893605540979,0.5731095489911412,1.6227332419057332,0.04417530473625284,-1.5785579371694805,1.666908546641986,-3.2012911790752137,3.289641788547719,0.9468626962706043,0.9368746500932283
FHN,0.3364223155123245,0.3532374028688479,0.7472239820266289,0.7266243210701,True,True,84,87,0.6284124026400849,0.6501860329372559,1.766685869004797,0.15862403662795194,-1.6080618323768452,1.925309905632749,-3.3747477013816423,3.691995774637546,0.8801591690985612,0.8628756934135893
FNB,0.2619319311333179,0.3166352891092759,0.8603692769487179,0.828820712812958,True,True,76,92,0.5127999130059913,0.5394112895227453,1.8329559852455244,0.07166006204405219,-1.7612959232014722,1.9046160472895766,-3.5942519084469966,3.737572032535101,0.929011072778463,0.910928917547582
NYCB,0.3602076784077354,0.369692347891678,0.5315145349038173,0.5161256864258775,True,True,74,74,0.7045414870239245,0.7330825544348702,1.2536003977753314,0.06631222696865322,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8492098155940369,0.8435466760955391
RY,0.18023560866225466,0.21553646059722192,0.7112773988280323,0.6171476416260062,True,True,78,78,0.3426740624392266,0.39966552807048766,1.0906947739795205,0.03135625346726431,-1.0593385205122563,1.1220510274467848,-2.150033294491777,2.2127458014263053,0.9025347654095299,0.8765438460364057
JEF,0.35566285026948374,0.35384405428185817,0.6061736629023438,0.6141443728593734,True,True,72,72,0.7402104150794548,0.7335338096475919,1.6302195594368496,0.07018933553764449,-1.5600302238992052,1.700408894974494,-3.190249783336055,3.3306284544113436,0.9196271398304046,0.9084663008505066
FBP,0.35793402708574756,0.34397907519186843,0.8000934410344904,0.8286547757312577,True,True,94,90,0.619949301691731,0.5955681129571259,1.975180135498006,0.05723014526585986,-1.9179499902321462,2.032410280763866,-3.8931301257301523,4.007590416261872,0.8785238342286522,0.8644756972553466
FRC,0.29163585274322745,0.27989312986942205,0.7105998594831713,0.7285342551809537,True,True,80,78,0.5366745710378374,0.5257362411497329,1.3593498622599567,0.04958982180623194,-1.3097600404537248,1.4089396840661885,-2.6691099027136813,2.7682895463261454,0.9104319589845198,0.9138635481888149
SBNY,0.589445882347219,0.5865878192745939,0.47669464977249576,0.4721377314907321,True,True,77,77,1.1241319215795662,1.1314541022861098,1.6541659046498147,0.14218687980581746,-1.5119790248439973,1.7963527844556322,-3.1661449294938118,3.450518689105447,0.819259320899108,0.8526725176068274
CMA,0.2962312999702502,0.3629262179120646,0.8771593971986874,0.822538235325417,True,True,82,88,0.5374625406426545,0.6344042838694092,2.0445311034071483,0.08936394117871124,-1.955167162228437,2.1338950445858593,-3.9996982656355855,4.178426147993008,0.9113231604309456,0.8850366168950647
UMPQ,0.390208862876661,0.4015451080873152,0.6518148841554463,0.6384917175695426,True,True,70,72,0.8424277745080998,0.8541793229371569,1.5504068521745429,0.06700367714044411,-1.4834031750340988,1.617410529314987,-3.0338100272086415,3.16781738148953,0.8917899748152769,0.8903069630063405
TD,0.20712711034521025,0.21845945338701447,0.7358764109867555,0.7072294839616711,True,True,87,86,0.3674183068578676,0.39941386086221864,1.2158189545548177,0.03450971721839782,-1.1813092373364198,1.2503286717732156,-2.3971281918912375,2.4661476263280333,0.9045448842971806,0.8970357425300203
HBAN,0.34274325340608836,0.3619484005904783,0.7655885406180409,0.7496839628770972,True,True,83,80,0.6357716779953972,0.6634194079123606,1.6961395537071764,0.09521968545749826,-1.6009198682496781,1.7913592391646747,-3.2970594219568543,3.4874987928718513,0.8935305892327082,0.879153490478213
CADE,0.36988876192563014,0.4082054543957251,0.7397696822591627,0.6945565628506096,True,True,78,81,0.7013813151935734,0.7405244451048011,1.5517899107237076,0.04840313852874142,-1.5033867721949663,1.600193049252449,-3.055176682918674,3.1519829599761566,0.8459451635050245,0.8176756286885524
PBCT,0.3932489968514387,0.41151595385785344,0.44276473362343016,0.41111550096843297,False,False,68,69,0.825885398944188,0.8700595186573733,1.4549348487331,0.07368073615620459,-1.3812541125768953,1.5286155848893046,-2.8361889613099955,2.9835504336224044,0.885307879213477,0.8722765841584486
STL,0.30567125938001377,0.305644097386273,0.8793310024467835,0.8774242534283401,True,True,93,93,0.5112179174210397,0.5107088265581619,2.051002237621122,0.1143441417999875,-1.9366580958211344,2.165346379421109,-3.9876603334422565,4.2163486170422315,0.903329516295267,0.8750619869728826
ONB,0.38287805971477873,0.4419588253944445,0.6367687117386247,0.56593568454652,True,True,73,81,0.7875515339729434,0.8441819678553416,1.3600979429045974,0.04625980584968422,-1.3138381370549133,1.4063577487542815,-2.6739360799595104,2.766455691658879,0.8284942637109033,0.7980265090367733
RF,0.2795481832151686,0.3068511360350356,0.7646535671214644,0.7400692123971213,True,True,78,78,0.5435691970441783,0.6122513453180765,1.8324352106129334,0.07538371617006238,-1.757051494442871,1.9078189267829957,-3.5894867050558044,3.740254137395929,0.9263862660265888,0.9143593723376073
ISBC,0.47336502057032875,0.5003168853834092,0.3417569466596776,0.3389912355858218,False,False,68,69,1.0449044233654616,1.0827471699901554,1.3892412746898832,0.07947669094576751,-1.3097645837441156,1.4687179656356508,-2.699005858433999,2.857959240325534,0.8584135421276445,0.8228324383890232
