,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FRC,0.27897716951006946,0.27669640787428645,0.6936161922812386,0.7035762114995876,True,True,80,79,0.5111972433469167,0.5086267502004298,1.3525002140295463,0.05944690985542451,-1.293053304174122,1.4119471238849708,-2.645553518203668,2.7644473379145174,0.9220479605944486,0.9140963128383754
UMPQ,0.3667791198395711,0.39557977157793117,0.6555195364111457,0.6347067322034441,True,True,66,71,0.8334058110725148,0.8448572459360467,1.5536864558363443,0.07310949398537608,-1.4805769618509683,1.6267959498217204,-3.0342634176873124,3.180482405658065,0.9019426262191599,0.891502980480236
CADE,0.3696007779503134,0.41101925360520214,0.7220173769165559,0.6735295900892,True,True,82,80,0.6896269179560816,0.7435065340281518,1.5457051202340517,0.05430075007103896,-1.4914043701630129,1.6000058703050906,-3.0371094903970643,3.1457109905391425,0.8531140488280654,0.8162904448435505
CFG,0.22807309954028118,0.3320955695558117,0.8362014062079363,0.7347626321856526,True,True,76,70,0.46720409776225785,0.6784806183615012,2.0045122604262073,0.10789457815595868,-1.8966176822702487,2.112406838582166,-3.901129942696456,4.116919099008373,0.9533581989786322,0.916630825112063
USB,0.23716659262410322,0.25968647761191976,0.7438990251536675,0.7083195800702125,True,True,74,73,0.47654256599198325,0.5133411214824142,1.6701110229575664,0.06145966240448881,-1.6086513605530777,1.7315706853620552,-3.278762383510644,3.4016817083196216,0.954923379671338,0.9425768403640912
RF,0.25984060771423445,0.3171904384293927,0.7430798645038461,0.7091564622570057,True,True,65,75,0.5806260381929156,0.6434398054419622,1.8332225347004039,0.0804594428959179,-1.7527630918044859,1.9136819775963219,-3.5859856265048897,3.7469045122967257,0.9432937747756986,0.9137089970419646
JEF,0.3516559609081964,0.3485109881789568,0.5673535334523256,0.5809476153656531,True,True,67,72,0.758705811770004,0.7246057028698116,1.627562249770978,0.08129334253973475,-1.5462689072312434,1.7088555923107127,-3.1738311570022213,3.336417842081691,0.9200811028178192,0.908064430751758
BNS,0.23199201482666182,0.23321909512922442,0.6382825928086964,0.6369200165687086,True,True,86,93,0.4049850033602204,0.3982268585451942,1.1743385068979084,0.07130520235322628,-1.103033304544682,1.2456437092511348,-2.2773718114425905,2.419982216149043,0.9026155320921767,0.8961821164542118
ASB,0.3698060161770175,0.3835238549898805,0.6726473693001986,0.6835130365510796,True,True,81,84,0.7066720479113868,0.6756121858702366,1.8489051514766677,0.07912791918852936,-1.7697772322881382,1.9280330706651971,-3.618682383764806,3.776938222141865,0.9007134833856552,0.8601461146290021
FNB,0.25428902344733184,0.32724088320089395,0.8514241026659702,0.8013229866933121,True,True,76,88,0.488762687167944,0.5669128900707681,1.8336257031852203,0.07728969723640487,-1.7563360059488156,1.910915400421625,-3.5899617091340357,3.7445411036068457,0.9411751061396191,0.9102130593881425
