,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ASB,0.3620437136442771,0.3775814776291115,0.7141147988304706,0.7179085682554815,True,True,82,85,0.6859005466098506,0.6664132697770339,1.8493883738096162,0.07210111854737636,-1.7772872552622399,1.9214894923569925,-3.626675629071856,3.7708778661666087,0.9011308100342806,0.8614369933893877
CMA,0.30316550288015515,0.3629262179120645,0.8727897696702818,0.8225382353254171,True,True,83,88,0.5423137447203153,0.634404283869409,2.0481314552382703,0.08397831928340274,-1.9641531359548676,2.1321097745216733,-4.012284591193138,4.180241229759943,0.9106822253971798,0.8850366168950641
SBNY,0.5907047469068328,0.5865878192752954,0.4742502948623021,0.472137731490024,True,True,75,77,1.1423892596591427,1.1314541022873705,1.6467016128059542,0.1395999087309836,-1.5071017040749706,1.7863015215369378,-3.153803316880925,3.4330031343428917,0.8196516671014981,0.8526725176068272
JPM,0.2349463192805672,0.24370341324967826,0.8375891593660947,0.8271270174888965,True,True,74,80,0.47066106897908017,0.47462784928561275,1.6402347121478142,0.05644188571531414,-1.5837928264325,1.6966765978631284,-3.2240275385803145,3.3369113100109424,0.9528045516477435,0.9484186250429609
VIRT,0.47011709908487215,0.42658412743850915,-0.07527501098447109,0.02646059236493481,True,True,72,68,0.9910033243413522,0.9587641686249374,0.6817777842397931,0.09498220735233918,-0.5867955768874539,0.7767599915921323,-1.268573361127247,1.4585377758319253,0.11095768270199635,0.03635715909841286
FNB,0.26175040946447276,0.3166352891092955,0.860513435805028,0.8288207128129388,True,True,74,92,0.518052455241175,0.5394112895227788,1.8329559852455244,0.07166006204405219,-1.7612959232014722,1.9046160472895766,-3.5942519084469966,3.737572032535101,0.9290431215773789,0.9109289175475823
PNC,0.2617399847130969,0.2926326900762754,0.758142560347763,0.728211017489929,True,True,75,75,0.5117028628150537,0.5731095489911612,1.6227332419057332,0.044175304736252835,-1.5785579371694805,1.666908546641986,-3.2012911790752137,3.289641788547719,0.947075644688259,0.9368746500932288
USB,0.23146090687771315,0.2390793803436328,0.786848546006721,0.7783033365201275,True,True,73,76,0.4635481452207307,0.46011092000571574,1.6703331577199383,0.05754269118225601,-1.6127904665376822,1.7278758489021944,-3.2831236242576205,3.3982090066221327,0.9442529031755983,0.943125462397242
ZION,0.4207751770238282,0.5067253783357463,0.6901737493964055,0.6113580944002468,True,True,74,82,0.8577093345288036,0.9278563141231656,1.5353915164601217,0.051724396843574556,-1.4836671196165472,1.5871159133036963,-3.019058636076669,3.122507429763818,0.8672134989840967,0.8299385798560002
NYCB,0.3586626954074326,0.36969234789167565,0.5312935490533972,0.5161256864258812,True,True,74,74,0.7084031395283715,0.7330825544348644,1.2536003977753314,0.06631222696865322,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8495871961130763,0.843546676095539
JEF,0.3536111710418673,0.35384405428186355,0.6123137210423005,0.6141443728593631,True,True,75,72,0.7235759118065007,0.7335338096476113,1.6394880378667838,0.07713661598424235,-1.5623514218825414,1.7166246538510261,-3.2018394597493254,3.3561126917178097,0.9116521469859966,0.9084663008505065
FHN,0.3385015569242938,0.3532374028688401,0.7442004552986115,0.7266243210701067,True,True,82,87,0.6411742097191064,0.6501860329372431,1.7649488252959005,0.15038189313276398,-1.6145669321631364,1.9153307184286645,-3.379515757459037,3.680279543724565,0.8794970260875328,0.8628756934135899
CADE,0.36746004291767936,0.4082054543957195,0.7425616642015493,0.6945565628506163,True,True,79,81,0.6939169506855338,0.7405244451047914,1.5467133726945768,0.04781856149864376,-1.498894811195933,1.5945319341932205,-3.0456081838905096,3.1412453068877975,0.8463692104804279,0.8176756286885518
RY,0.1785073799422806,0.21553646059745898,0.714176106553336,0.6171476416250663,True,True,80,78,0.33733677448924604,0.39966552807097866,1.0906947739795205,0.03135625346726432,-1.0593385205122563,1.1220510274467848,-2.150033294491777,2.2127458014263053,0.9020771552987878,0.8765438460364057
FRC,0.2750426490699246,0.2798931298694206,0.723675371666427,0.7285342551809559,True,True,80,78,0.5150298966951677,0.5257362411497298,1.3569189602442948,0.05320585496639168,-1.3037131052779032,1.4101248152106864,-2.660632065522198,2.7670437754549813,0.9205630417371459,0.9138635481888158
