,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FNB,0.2693264342474599,0.31345302414081383,0.854762267998118,0.8363903264336716,True,True,85,95,0.5153172790568067,0.5307056209523228,1.8282712895555122,0.08123902427627747,-1.7470322652792347,1.9095103138317897,-3.575303554834747,3.737781603387302,0.9326928441918084,0.9115455004069632
VLY,0.3679281875520206,0.41798374568222313,0.723836912592495,0.6802627977464091,True,True,73,84,0.7480566986379313,0.7679125579204682,1.5156592841053083,0.07640497443371745,-1.4392543096715908,1.5920642585390257,-2.954913593776899,3.107723542644334,0.8644819725761537,0.8271325058738035
C,0.31731702748547375,0.3034240976623287,0.721751123948144,0.7356711668728312,True,True,77,78,0.6412251968406526,0.6256975732717379,1.9390463707714072,0.1137032252230375,-1.8253431455483697,2.052749595994445,-3.7643895163197767,3.991795966765852,0.9330636917456427,0.9339491461247075
TD,0.22675635324033705,0.2279850317942056,0.6803969533666694,0.6836513092369194,True,True,86,88,0.4137720547431571,0.4162389990718092,1.209993534409361,0.04020753672213022,-1.169785997687231,1.2502010711314913,-2.3797795320965918,2.4601946055408526,0.9028539118187854,0.8956133539770357
ASB,0.3547793053000195,0.375987069217085,0.7295401917254316,0.7271199088668454,True,True,87,86,0.6562449730290957,0.6641610847216183,1.8422805202878745,0.07678400753131279,-1.7654965127565616,1.9190645278191873,-3.607777033044436,3.761345048107062,0.8960505235909249,0.8601748581741128
CMA,0.3062184773420159,0.3731505326593267,0.8672534167943902,0.8199466950795844,True,True,86,89,0.5698445209215752,0.6556462631756926,2.040582562368092,0.10084620918286709,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9129707315699598,0.8835082883476555
PBCT,0.3907410282693205,0.4135258938751683,0.494826484623503,0.43114542869945993,False,False,71,69,0.7932109031951746,0.8726378017003418,1.4517978480546292,0.07907421426951405,-1.3727236337851152,1.5308720623241432,-2.8245214818397444,2.9826699103787724,0.8860838135988868,0.8714334865291602
FBP,0.35273476785556296,0.33796307176632856,0.804542250684867,0.8407566856287072,True,True,84,89,0.6483273977172884,0.5918736640683726,1.9673858358643528,0.056747673686427774,-1.910638162177925,2.0241335095507806,-3.878023998042278,3.991519345415133,0.8887515917164033,0.8642995732065453
STL,0.3229951747128677,0.29996161144635625,0.8694616269719977,0.8828660873459601,True,True,95,93,0.5286650696717093,0.5034287066636721,2.041715046571349,0.11877372635104243,-1.9229413202203065,2.1604887729223914,-3.9646563667916555,4.20220381949374,0.9005676147813505,0.8749371092678843
KEY,0.26912063171825024,0.29649034574944594,0.8428014065837591,0.8302037576376876,True,True,80,82,0.5077946530718345,0.5432810610138173,1.9962352092947275,0.0993289800807218,-1.8969062292140058,2.0955641893754495,-3.8931414385087333,4.091799398670177,0.9486623295979258,0.9363752620511981
