,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BXS,0.35474074562121183,0.40821724206460125,0.7469849693190741,0.6945058132770293,True,True,76,81,0.7049500229298817,0.740762484308281,1.5498336619196975,0.05188200654586219,-1.4979516553738352,1.6017156684655598,-3.047785317293533,3.151549330385257,0.8631924848267336,0.8176445793722638
PNC,0.2500388942215535,0.2926326900762643,0.7645239920761511,0.7282110174899349,True,True,72,75,0.5140448581713843,0.5731095489911444,1.6227332419057332,0.04417530473625285,-1.5785579371694805,1.666908546641986,-3.2012911790752137,3.289641788547719,0.9468416695385052,0.9368746500932279
FHN,0.3307699342842678,0.35323740286884475,0.7452249956676419,0.7266243210701028,True,True,77,87,0.6613755922674687,0.6501860329372505,1.7682993929381876,0.15482818387123587,-1.6134712090669519,1.9231275768094234,-3.3817706020051395,3.691426969747611,0.8942518287859347,0.8628756934135897
FNB,0.2489415809907559,0.31663528910930744,0.877040930112392,0.8288207128129271,True,True,76,92,0.47841907494036673,0.5394112895227993,1.8329559852455244,0.07166006204405219,-1.7612959232014722,1.9046160472895766,-3.5942519084469966,3.737572032535101,0.9360177145693663,0.9109289175475814
NYCB,0.3549490463975479,0.36969234789167826,0.5354174758402857,0.5161256864258772,True,True,72,74,0.7072003380191548,0.7330825544348709,1.2536003977753314,0.06631222696865322,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8512661694886756,0.8435466760955382
RY,0.18140493817366768,0.2155364605966629,0.7109052068907225,0.6171476416282222,True,True,81,78,0.33629894297038987,0.3996655280693305,1.0906947739795205,0.03135625346726432,-1.0593385205122563,1.1220510274467848,-2.150033294491777,2.2127458014263053,0.9027185070200939,0.8765438460364063
JEF,0.35556072262124244,0.35384405428186144,0.6172777869448791,0.6141443728593672,True,True,74,72,0.7307519491784819,0.7335338096476034,1.6302195594368496,0.07018933553764449,-1.5600302238992052,1.700408894974494,-3.190249783336055,3.3306284544113436,0.9214207838902724,0.908466300850506
JPM,0.23095154093479017,0.24370341324967973,0.8423129179605031,0.8271270174888956,True,True,76,80,0.4567842117223968,0.47462784928561297,1.6420521126283163,0.060164064321658266,-1.581888048306658,1.7022161769499746,-3.2239401609349745,3.3442682895782907,0.9525874523583013,0.9484186250429608
FBP,0.3720802693664905,0.34397907519186305,0.7822128223706132,0.8286547757312623,True,True,86,90,0.6555422817340003,0.595568112957118,1.973376517383425,0.05301510947421499,-1.92036140790921,2.02639162685764,-3.893737925292635,3.999768144241065,0.8875102527114924,0.864475697255346
FRC,0.2748048213471186,0.2798931298694259,0.7294437221518006,0.7285342551809477,True,True,83,78,0.5043804175676503,0.5257362411497405,1.3630978700882879,0.04795713057385607,-1.315140739514432,1.4110550006621438,-2.6782386096027198,2.7741528707504317,0.9200563680258312,0.9138635481888161
SBNY,0.578591320200221,0.5865878192768265,0.48543943526694877,0.47213773148847815,True,True,78,77,1.1068947090312506,1.1314541022901228,1.652982800055934,0.14551889664002937,-1.5074639034159045,1.7985016966959633,-3.1604467034718384,3.451484496751897,0.8228199233387079,0.852672517606827
CMA,0.30656391421544804,0.3629262179120471,0.8650659942149281,0.8225382353254312,True,True,79,88,0.5659946053836781,0.6344042838693823,2.044531103407148,0.08936394117871123,-1.9551671622284366,2.133895044585859,-3.9996982656355846,4.178426147993007,0.9159627600085204,0.8850366168950645
UMPQ,0.3718601787955479,0.40154510808731175,0.6696409322011478,0.6384917175695476,True,True,68,72,0.8285665378762991,0.8541793229371496,1.552422559558984,0.06331097140268767,-1.4891115881562964,1.6157335309616716,-3.0415341477152804,3.1681560905206556,0.8959229645246212,0.8903069630063417
TD,0.2087164550725805,0.21845945338738437,0.7313326795453821,0.7072294839605926,True,True,84,86,0.3761220836612268,0.399413860862839,1.2158189545548177,0.034509717218397816,-1.1813092373364198,1.2503286717732156,-2.3971281918912375,2.4661476263280333,0.904575392982279,0.8970357425300206
HBAN,0.3393841435607381,0.36194840059046607,0.7749439783564245,0.7496839628771099,True,True,82,80,0.622802911677364,0.663419407912342,1.6961395537071764,0.09521968545749826,-1.6009198682496781,1.7913592391646747,-3.2970594219568543,3.4874987928718513,0.8968668521027687,0.8791534904782125
CADE,0.35472403544759373,0.40820545439570843,0.7469166998396038,0.6945565628506295,True,True,76,81,0.7051293328744728,0.7405244451047717,1.5497840301084866,0.05208197374543795,-1.4977020563630488,1.6018660038539245,-3.0474860864715354,3.151650033962411,0.8632002673665794,0.8176756286885525
PBCT,0.38851345112510116,0.4115159538578507,0.4597540951324164,0.4111155009684355,False,False,68,69,0.8053124611931102,0.8700595186573677,1.4553128659861783,0.07391676027180906,-1.381396105714369,1.5292296262579874,-2.8367089717005474,2.9845424922441657,0.8907071255098964,0.8722765841584492
STL,0.3069612391758022,0.30564409738628223,0.8792457827027326,0.8774242534283337,True,True,94,93,0.5048233648364793,0.5107088265581746,2.051002237621122,0.11434414179998752,-1.9366580958211344,2.165346379421109,-3.9876603334422565,4.2163486170422315,0.9095605985982277,0.8750619869728833
RF,0.2680182543232949,0.3068511360350244,0.7717305578917595,0.7400692123971297,True,True,77,78,0.5302751956110612,0.6122513453180571,1.8324352106129334,0.07538371617006244,-1.757051494442871,1.9078189267829957,-3.5894867050558044,3.740254137395929,0.9297216418959584,0.9143593723376077
ISBC,0.4598528480585967,0.5003168853834106,0.33962939175447004,0.33899123558582056,False,False,69,69,1.0106168274060117,1.0827471699901583,1.3914862202541631,0.07658648142731309,-1.31489973882685,1.4680727016814763,-2.7063859590810133,2.859558921935639,0.8733971310818591,0.8228324383890226
ZION,0.4066135850853343,0.5067253783357634,0.7029428694439513,0.6113580944002253,True,True,77,82,0.8130824178811662,0.9278563141231974,1.5461323431432594,0.05208439498480852,-1.494047948158451,1.5982167381280679,-3.04018029130171,3.1443490812713275,0.871773768662315,0.8299385798560005
FITB,0.2938836724935602,0.31941316092861616,0.8300396429169069,0.7963629850324083,True,True,86,76,0.5409396498877959,0.6236292670815371,1.7891516788521742,0.10661097724830516,-1.682540701603869,1.8957626561004794,-3.471692380456043,3.6849143349526536,0.9137057168417657,0.9043503968510959
MS,0.28653290389404384,0.2866223102829768,0.77883385644552,0.775849973126217,True,True,78,80,0.5723863083164729,0.560929669553787,1.666194420886556,0.08384531706398428,-1.5823491038225717,1.7500397379505404,-3.248543524709128,3.416234158837096,0.942917751059936,0.9394783934402976
CFG,0.28239563900677195,0.32940054068471447,0.7806847023244585,0.7577372313743455,True,True,74,71,0.5815283042020656,0.6684458814536827,1.999460337881921,0.10734498180321708,-1.8921153560787038,2.106805319685138,-3.8915756939606245,4.106265657567059,0.9377886416779934,0.9172625156110337
C,0.3004232078538897,0.2794893284092592,0.7584946033556823,0.7832368688098681,True,True,76,78,0.6020538253316681,0.5664104899016906,1.9499347402406688,0.11272785323711539,-1.8372068870035534,2.0626625934777842,-3.7871416272442224,4.012597333718453,0.9399967592474021,0.9393579117893895
ASB,0.3473343601446439,0.37758147762911265,0.7234737556655888,0.7179085682554807,True,True,83,85,0.6709904795927354,0.6664132697770357,1.8513887311575725,0.07626321693107592,-1.7751255142264966,1.9276519480886485,-3.6265142453840693,3.779040679246221,0.9029148503338437,0.861436993389388
KEY,0.27086329889907657,0.29634652254521987,0.8440776212289204,0.8363028581940258,True,True,84,85,0.4923231950387608,0.5262423923385122,2.0022906590468454,0.0909857657227672,-1.9113048933240782,2.0932764247696127,-3.9135955523709236,4.095567083816458,0.9554186002242002,0.9424751899095839
GS,0.28455024550399505,0.2869388680228483,0.8008299913007249,0.7924564213322809,True,True,74,80,0.5763170863221634,0.5604008863088753,1.454772631150107,0.062322949878771544,-1.3924496812713354,1.5170955810288786,-2.8472223124214424,2.9718682121789857,0.920596182858373,0.9187157854467066
VIRT,0.46439693182877945,0.42658412743850904,-0.06030366964981004,0.026460592364935143,True,True,73,68,0.9742494922758265,0.958764168624937,0.6797326515609705,0.09588325605853493,-0.5838493955024355,0.7756159076195055,-1.263582047063406,1.455348559180476,0.10491940947237621,0.036357159098413194
WFC,0.30256567493007913,0.29353371272467654,0.8120870487061447,0.8080513836913097,True,True,78,74,0.595606450373704,0.6043883596588184,1.69423746447674,0.07899193024612228,-1.6152455342306178,1.7732293947228621,-3.3094829987073577,3.467466859199602,0.9056169882463596,0.8966100651425082
