,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BXS,0.36036505514726597,0.4082172420646006,0.7028091712384785,0.6945058132770301,True,True,77,81,0.7151697561643261,0.7407624843082797,1.5498336619196977,0.051882006545862204,-1.4979516553738355,1.60171566846556,-3.0477853172935334,3.1515493303852575,0.8533710111865553,0.8176445793722631
PNC,0.25350961013464973,0.2926326900762741,0.7579999469946463,0.7282110174899297,True,True,72,75,0.5276520424263641,0.5731095489911592,1.6227332419057332,0.04417530473625285,-1.5785579371694805,1.666908546641986,-3.2012911790752137,3.289641788547719,0.9467627728586595,0.9368746500932286
FHN,0.3316902968731869,0.35323740286884064,0.6885160486605599,0.7266243210701062,True,True,80,87,0.6733573994183115,0.650186032937244,1.7680608932490862,0.1622586558928352,-1.605802237356251,1.9303195491419214,-3.3738631306053373,3.6983804423910076,0.8862513041682422,0.8628756934135894
FNB,0.26699670858999397,0.31663528910928,0.8388724449262289,0.828820712812954,True,True,73,92,0.5283766084733129,0.5394112895227522,1.8329559852455242,0.07166006204405219,-1.761295923201472,1.9046160472895763,-3.594251908446996,3.7375720325351005,0.9327004837530706,0.9109289175475832
NYCB,0.3469276211046833,0.3696923478916746,0.5553846270024736,0.5161256864258827,True,True,74,74,0.6818845673168453,0.7330825544348619,1.2536003977753314,0.06631222696865322,-1.1872881708066783,1.3199126247439845,-2.4408885685820096,2.573513022519316,0.8541899057636305,0.8435466760955389
RY,0.17868258048928026,0.21553646059702264,0.715474503251625,0.6171476416267963,True,True,84,78,0.32919059717877514,0.3996655280700752,1.0906947739795205,0.03135625346726432,-1.0593385205122563,1.1220510274467848,-2.150033294491777,2.2127458014263053,0.9022214538599279,0.8765438460364054
JEF,0.3565618459182,0.35384405428185867,0.6070049730156459,0.6141443728593723,True,True,73,72,0.7381009828861566,0.7335338096475937,1.6302195594368496,0.0701893355376445,-1.5600302238992052,1.700408894974494,-3.190249783336055,3.3306284544113436,0.9204775171305473,0.9084663008505064
JPM,0.23274674292000702,0.24370341324967879,0.8339799899778223,0.8271270174888962,True,True,74,80,0.4701251600826468,0.47462784928561275,1.642961623872022,0.06326695080834052,-1.5796946730636814,1.7062285746803625,-3.2226562969357033,3.3491901985523844,0.9528561516561644,0.9484186250429605
FBP,0.3743321791086712,0.3439790751918648,0.7698653613761453,0.8286547757312609,True,True,85,90,0.6706032527687485,0.5955681129571205,1.9751801354980059,0.05723014526585986,-1.917949990232146,2.0324102807638655,-3.893130125730152,4.007590416261872,0.8809393031661976,0.864475697255346
FRC,0.27460376239353773,0.27989312986942794,0.7318887012971345,0.7285342551809446,True,True,74,78,0.526301235260987,0.5257362411497446,1.3569189602442948,0.05320585496639169,-1.3037131052779032,1.4101248152106864,-2.660632065522198,2.7670437754549813,0.922235776168218,0.9138635481888155
SBNY,0.5853691746240369,0.5865878192766788,0.43775875854587054,0.47213773148862725,True,True,78,77,1.128469158576995,1.1314541022898574,1.6569724364849139,0.15045054285873236,-1.5065218936261815,1.8074229793436463,-3.1634943301110954,3.46439541582856,0.8233611838436027,0.8526725176068272
CMA,0.3053593327339608,0.3629262179120549,0.8308684133693085,0.8225382353254249,True,True,80,88,0.5848984933251009,0.6344042838693942,2.044531103407148,0.08936394117871123,-1.9551671622284366,2.133895044585859,-3.9996982656355846,4.178426147993007,0.9205631075016867,0.8850366168950649
UMPQ,0.3858747109164618,0.4015451080873184,0.6103580177861204,0.638491717569538,True,True,64,72,0.9090518105607953,0.8541793229371639,1.5504068521745429,0.06700367714044413,-1.4834031750340988,1.617410529314987,-3.0338100272086415,3.16781738148953,0.893927073996267,0.8903069630063403
TD,0.2086471870482379,0.21845945338656442,0.7284350457705513,0.7072294839629836,True,True,83,86,0.3779164393941114,0.3994138608614639,1.2158189545548177,0.03450971721839783,-1.1813092373364198,1.2503286717732156,-2.3971281918912375,2.4661476263280333,0.9045740802925346,0.8970357425300194
HBAN,0.32766117885555424,0.36194840059047667,0.7500531668516812,0.7496839628770988,True,True,87,80,0.6081843319409207,0.6634194079123582,1.6961395537071764,0.09521968545749825,-1.6009198682496781,1.7913592391646747,-3.2970594219568548,3.487498792871851,0.9046220845137362,0.8791534904782139
CADE,0.3603561696108317,0.40820545439570805,0.7027288986046324,0.69455656285063,True,True,77,81,0.715371382554249,0.7405244451047709,1.5497840301084866,0.05208197374543797,-1.4977020563630488,1.6018660038539245,-3.0474860864715354,3.151650033962411,0.8533827027544016,0.8176756286885518
STL,0.3105428028572683,0.3056440973862513,0.8091555861588368,0.8774242534283552,True,True,81,93,0.5727760045470058,0.5107088265581319,2.051002237621122,0.11434414179998752,-1.9366580958211344,2.165346379421109,-3.9876603334422565,4.2163486170422315,0.911136308353791,0.8750619869728824
ONB,0.3753405024660729,0.44195882539444087,0.6364447303940974,0.5659356845465255,True,True,73,81,0.7895433366044782,0.8441819678553342,1.3683963960105798,0.05225617977338956,-1.3161402162371902,1.4206525757839694,-2.6845366122477703,2.789048971794549,0.8289425328540377,0.7980265090367724
RF,0.2875656007965341,0.306851136035018,0.7302260270586807,0.7400692123971346,True,True,71,78,0.6002231254076194,0.6122513453180464,1.8324352106129334,0.07538371617006241,-1.757051494442871,1.9078189267829957,-3.5894867050558044,3.740254137395929,0.9290873635929966,0.9143593723376082
ISBC,0.4781564092043867,0.5003168853834097,0.3311318530023628,0.3389912355858212,False,False,68,69,1.0514214221204603,1.0827471699901567,1.3910079037733558,0.08278744051707969,-1.3082204632562762,1.4737953442904355,-2.6992283670296318,2.8648032480637915,0.8640360372373115,0.8228324383890231
ZION,0.4074078570038793,0.5067253783357496,0.6831048859268151,0.6113580944002426,True,True,78,82,0.8298839141444834,0.9278563141231719,1.5411382926715187,0.060025851518505174,-1.4811124411530134,1.601164144190024,-3.0222507338245324,3.1423024368615424,0.8756087264528704,0.8299385798560006
FITB,0.2908224503152586,0.31941316092861594,0.8183562709930146,0.7963629850324088,True,True,80,76,0.5580726318919169,0.6236292670815365,1.788445758577368,0.11426078064058014,-1.6741849779367879,1.9027065392179483,-3.462630736514156,3.691152297795316,0.9153721516499236,0.9043503968510955
MS,0.2861961586319291,0.2866223102829792,0.7791291316298382,0.7758499731262117,True,True,80,80,0.5646559541747647,0.5609296695537933,1.666194420886556,0.08384531706398426,-1.5823491038225717,1.7500397379505404,-3.248543524709128,3.416234158837096,0.9432274762908546,0.9394783934402977
CFG,0.28832530309073606,0.3294005406847146,0.7653288902190841,0.7577372313743453,True,True,72,71,0.6080419565002262,0.6684458814536829,2.00106488490401,0.11147453743209428,-1.8895903474719158,2.1125394223361043,-3.890655232375926,4.113604307240115,0.9348096884872198,0.9172625156110342
C,0.29204551781091276,0.27948932840923296,0.7642372675446683,0.7832368688098994,True,True,71,78,0.6094698454851092,0.5664104899016291,1.9499347402406684,0.11272785323711539,-1.837206887003553,2.062662593477784,-3.7871416272442215,4.012597333718452,0.9397934314197259,0.9393579117893888
ASB,0.35510009241491663,0.3775814776291093,0.711714389472637,0.7179085682554832,True,True,78,85,0.7012722313789093,0.6664132697770306,1.8513887311575725,0.0762632169310759,-1.7751255142264966,1.9276519480886485,-3.6265142453840693,3.779040679246221,0.9025172005647273,0.8614369933893875
KEY,0.2730448004688281,0.29634652254522054,0.8323093505539796,0.8363028581940255,True,True,77,85,0.5236778611702796,0.5262423923385129,2.0022906590468454,0.0909857657227672,-1.9113048933240782,2.0932764247696127,-3.9135955523709236,4.095567083816458,0.9555486351513569,0.942475189909584
GS,0.2876324281795741,0.2869388680228406,0.7970877057967805,0.7924564213322909,True,True,72,80,0.5877582263115462,0.560400886308863,1.454772631150107,0.062322949878771565,-1.3924496812713354,1.5170955810288786,-2.8472223124214424,2.9718682121789857,0.9192488855151749,0.9187157854467065
VIRT,0.46772489288633473,0.42658412743850904,-0.0709495961443356,0.026460592364935143,True,True,74,68,0.9708609609977745,0.958764168624937,0.682716771304883,0.09713249799115914,-0.5855842733137238,0.7798492692960421,-1.2683010446186067,1.462566040600925,0.12169812616729336,0.036357159098413194
WFC,0.30953840443916925,0.2935337127242234,0.7860170238644445,0.8080513836918648,True,True,70,74,0.655097595764342,0.6043883596581298,1.695710089349305,0.08258233162342801,-1.613127757725877,1.7782924209727329,-3.3088378470751816,3.474002510322038,0.9083220206482947,0.8966100651425091
USB,0.23351326430168273,0.23907938034368675,0.7743265219653267,0.7783033365196623,True,True,73,76,0.48388770542515624,0.4601109200061985,1.669935885466139,0.06412200272883524,-1.6058138827373039,1.7340578881949742,-3.275749768203443,3.403993773661113,0.951209693216781,0.9431254623972409
VLY,0.3672499090035645,0.42745153632968824,0.661077218451575,0.6638924718713595,True,True,65,84,0.8231340111920191,0.7864877158344731,1.5317451137164797,0.08766164844736611,-1.4440834652691137,1.6194067621638457,-2.975828578985593,3.1511518758803256,0.8620461329472671,0.8268072425087613
BNS,0.24162252057941996,0.23937902673667838,0.6150676091705567,0.6177466435455177,True,True,92,95,0.40933193129857015,0.4071152432404406,1.1707175351259953,0.06633132050467337,-1.104386214621322,1.2370488556306687,-2.275103749747317,2.407766390756664,0.8971871197831424,0.8946575211281931
