,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
KEY,0.2727323895364158,0.2985665263491134,0.8409244386715702,0.8302471587652605,True,True,71,85,0.5449281464810423,0.5271027201925289,2.008123559903233,0.09496042248106693,-1.913163137422166,2.1030839823843,-3.921286697325399,4.1112075422875325,0.9568478181798004,0.9426962451666892
FHN,0.3518004917637872,0.3634867514580201,0.6871780135883614,0.7037155843084975,True,True,74,86,0.7090600373419061,0.6718374660718898,1.765052676163487,0.1597558672615329,-1.6052968089019541,1.92480854342502,-3.370349485065441,3.689861219588507,0.8949299371442858,0.8619886252176894
JPM,0.23423030240548526,0.24869900043283577,0.8422197650125676,0.8188285920265927,True,True,73,78,0.46475439405296337,0.48819797296353146,1.6434035357148156,0.05849466665014354,-1.584908869064672,1.7018982023649591,-3.2283124047794876,3.3453017380797747,0.9533001031282002,0.9484813042969751
C,0.2980589028217999,0.27945066047300215,0.7519797852656867,0.7746314292704736,True,True,75,77,0.597616200590721,0.5665794089533862,1.953451414883194,0.11683963115603886,-1.8366117837271552,2.070291046039233,-3.7900631986103495,4.023742460922427,0.9398238379818055,0.9393946960062977
CMA,0.290142559167411,0.36742987137906985,0.8632646404622685,0.8090525997709167,True,True,72,89,0.5834139210091777,0.6355444388060905,2.04603147867551,0.09594426224614412,-1.9500872164293659,2.141975740921654,-3.996118695104876,4.188007219597164,0.9206830915232298,0.8840829490825874
FRC,0.28358258605319153,0.2778050373696743,0.6886692301320974,0.7092298187306014,True,True,80,80,0.5228692420057699,0.5060861613318235,1.353472603374355,0.05948001722127335,-1.2939925861530817,1.4129526205956282,-2.6474651895274364,2.7664252239699834,0.9246075635652163,0.9141008649334783
JEF,0.34802707468654853,0.34048378339285273,0.5731809122293791,0.5967319002150953,True,True,68,77,0.741372771522388,0.6778548287458629,1.6269744983632464,0.084157078497225,-1.5428174198660214,1.7111315768604713,-3.1697919182292678,3.3381060752237177,0.9217451273132831,0.9101517897025616
HBAN,0.3588707145412557,0.37089209996932,0.7350125192257455,0.730950204662152,True,True,79,82,0.676183468844316,0.6678812422814983,1.6975514074676028,0.10157972456968457,-1.5959716828979182,1.7991311320372874,-3.293523090365521,3.4966825395048904,0.8998415000125081,0.8789055125560016
PBCT,0.4017021335366874,0.4157093886094717,0.38841145276617917,0.3626922521261733,False,False,70,70,0.8468821533775878,0.8653033828665277,1.4485988072385814,0.07447280824268034,-1.374125998995901,1.5230716154812618,-2.8227248062344823,2.971670422719843,0.8876359737846564,0.8721384319816532
FNB,0.2721012881106879,0.32939759361472476,0.8392801461384185,0.8052024542248581,True,True,73,89,0.5442816973869699,0.5657122562292273,1.8349305979214436,0.0771754604493283,-1.7577551374721154,1.9121060583707719,-3.592685735393559,3.7470366562922157,0.9316471364460982,0.9102128444460624
ZION,0.4246493608161562,0.502493253485708,0.6693297546007988,0.5991712498792743,True,True,77,79,0.8416259452349678,0.9238486361574941,1.530229748873109,0.0631655812188413,-1.4670641676542675,1.5933953300919503,-2.9972939165273766,3.123625078965059,0.8679864978707149,0.82988173617458
ONB,0.3885850021134667,0.453418312642873,0.604588486247718,0.5353517495945093,True,True,71,77,0.8314031293743364,0.8816316648966318,1.3552342026037405,0.05382469305662266,-1.3014095095471179,1.4090588956603631,-2.656643712150858,2.764293098264104,0.8283006516908167,0.7970157631226326
WFC,0.3193850291340498,0.30085870604203696,0.7674285286120617,0.7737641625387324,True,True,71,71,0.6728524502316988,0.6343324303288406,1.6927758937776787,0.08758110266709461,-1.6051947911105842,1.7803569964447732,-3.297970684888263,3.473132890222452,0.907925803852191,0.8963459827386094
CFG,0.27817914361904633,0.3344160841570079,0.7459577557522081,0.7404126689719412,True,True,57,69,0.6934279026657247,0.6857869789715855,2.0013637281519974,0.1137148487039081,-1.8876488794480892,2.1150785768559053,-3.889012607600087,4.116442305007903,0.9429283687273757,0.91663104624514
