,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CFG,0.2692035121284252,0.3291426094769132,0.6978629880694787,0.7423635496191554,True,True,58,71,0.6885998901150073,0.6682370053978096,1.9951677527064977,0.11370734348932798,-1.8814604092171696,2.108875096195826,-3.8766281619236675,4.104042848902323,0.9548778321414236,0.916724230543186
STL,0.3024569260279932,0.31050141469477316,0.794754039082548,0.8608410056523053,True,True,84,91,0.5625864750471775,0.5271871205799812,2.044465480916933,0.1172346367000357,-1.9272308442168975,2.161700117616969,-3.9716963251338306,4.206165598533902,0.9219106279311613,0.8742088722075961
FHN,0.34129572235986333,0.36368211083361524,0.6662039671603687,0.704489317948562,True,True,71,86,0.7231431282268734,0.6726338786033232,1.7607568167943448,0.15977335752247862,-1.6009834592718661,1.9205301743168235,-3.361740276066211,3.6812869911111683,0.9022969591053551,0.8620203751899495
MS,0.3041306371814116,0.2928907386393838,0.7511510187990746,0.7607542435642359,True,True,74,78,0.6226240266375164,0.5839260794154263,1.6643952933667614,0.08843041816283537,-1.5759648752039261,1.7528257115295967,-3.2403601685706875,3.417221004896358,0.9451672796010407,0.9393354503889226
UMPQ,0.35260102491202144,0.3957969327738899,0.6923810869725795,0.6344185798092181,True,True,67,70,0.7834958725519734,0.856145807217508,1.5494498662625296,0.0719051115388333,-1.4775447547236962,1.621354977801363,-3.0269946209862257,3.1708048440638925,0.9082530046587849,0.8906714269126347
ZION,0.4160764343360953,0.5056442284877772,0.6752820704482676,0.5940728067343894,True,True,73,81,0.8518857343710186,0.9252112030634371,1.5376381294348,0.06438335708834775,-1.4732547723464524,1.6020214865231477,-3.0108929017812525,3.1396596159579477,0.8692827623870242,0.8287876320404225
CMA,0.28653200968633924,0.36184375062685353,0.8477639225704827,0.8115492617001786,True,True,81,87,0.5390766153452894,0.6363853360463868,2.0428504243664847,0.10122343804938447,-1.9416269863171003,2.144073862415869,-3.984477410683585,4.186924286782354,0.925331957623053,0.8842419933806485
FITB,0.3034382013532801,0.32536776506055975,0.7615625235070096,0.7781196157630412,True,True,71,76,0.6357393535812447,0.6377412417246807,1.7812146734253274,0.11189213890806392,-1.6693225345172635,1.8931068123333912,-3.450537207942591,3.6743214857587185,0.9254999738920052,0.9038087098071339
FBP,0.3648723108821445,0.34859210452561556,0.7643149998391492,0.8173231368285325,True,True,89,92,0.650803342187336,0.5959740639368504,1.9674518669182985,0.05479292332331964,-1.912658943594979,2.022244790241618,-3.8801108105132776,3.9896966571599166,0.882670315860341,0.8636063766646309
RY,0.17927018377462842,0.21567686493440671,0.6992218357394543,0.5972297007553308,True,True,80,78,0.3418499475703008,0.40113286521435715,1.0905763452147879,0.034081467040469694,-1.0564948781743182,1.1246578122552575,-2.147071223389106,2.2152341574700456,0.9023797461518425,0.8768340014840722
