,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
SBNY,0.5888237893346716,0.5881124646800275,0.49054157233546725,0.48643364324596605,True,True,78,76,1.1357289840045035,1.1565180308008123,1.6502460876715461,0.14444304072840664,-1.5058030469431394,1.7946891283999529,-3.1560491346146855,3.444935216071499,0.819636537297797,0.8526234663570128
PNC,0.2587610104237994,0.2962185564854976,0.7675565148021437,0.733548770371349,True,True,73,73,0.5231828417424238,0.5898343718667421,1.6222837085906416,0.05017794179539592,-1.5721057667952456,1.6724616503860377,-3.1943894753858872,3.2947453589766793,0.9459104035847021,0.9368309242331591
C,0.29518494951018553,0.28317151655971307,0.7643341218608202,0.776970031818466,True,True,78,79,0.5885106401195098,0.5738594817771301,1.9450177339353876,0.11522280385839123,-1.8297949300769965,2.0602405377937787,-3.774812664012384,4.005258271729167,0.9396094905179406,0.9388714339708882
ZION,0.42146131228856154,0.4983419690025577,0.690820284448004,0.6188903234012864,True,True,79,82,0.827194085757822,0.9123831869144847,1.5348578835732143,0.056794154302427555,-1.4780637292707868,1.5916520378756418,-3.012921612844001,3.1265099214488563,0.8668638337510673,0.8296663072934295
WFC,0.31094371817487765,0.3009201823377229,0.8066727551840223,0.8071735006353403,True,True,80,73,0.6135851057693991,0.6322542452490647,1.6934869794447953,0.08078793139258678,-1.6126990480522085,1.774274910837382,-3.306186027497004,3.467761890282177,0.9053807692576311,0.8966376757692173
FBP,0.3706994014886088,0.3392388735930191,0.7900890577586975,0.8323350383329047,True,True,91,89,0.6475122415387448,0.5956709476165827,1.969749144843231,0.05453209906145171,-1.9152170457817792,2.0242812439046824,-3.8849661906250104,3.9940303887479134,0.8801991112570182,0.8647989284477103
FHN,0.34613520672022347,0.35565930336887225,0.7458736919709639,0.7334038373770062,True,True,81,86,0.6556825403573456,0.6574255752008924,1.763447928575166,0.15888252921175114,-1.604565399363415,1.9223304577869171,-3.368013327938581,3.685778386362083,0.8799165305877894,0.8630736024966538
PBCT,0.39579771336880115,0.4140090688399049,0.4586623970929111,0.4202347995905745,False,False,70,69,0.8203256447714328,0.8757827521688524,1.4536204429856778,0.07451282960125456,-1.3791076133844233,1.5281332725869323,-2.832728056370101,2.9817537155726104,0.8837295896255118,0.872662374905234
FRC,0.28205701765145447,0.2817986059526164,0.7264537465425389,0.7319945035263868,True,True,80,77,0.5277836059683183,0.5376200620040291,1.3569795936197355,0.05876450946151875,-1.2982150841582167,1.4157441030812543,-2.6551946777779523,2.77272369670099,0.9204218782328212,0.9135681659226224
CMA,0.30627793596151953,0.35967013350770466,0.8714309425103062,0.8261111848876687,True,True,82,88,0.5559350359551453,0.6351244549440543,2.0435171969923367,0.09351899492835641,-1.9499982020639803,2.1370361919206933,-3.993515399056317,4.1805533889130295,0.913517983293745,0.8849132989639111
