,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FNB,0.2509554734433003,0.3084367197799542,0.8729998811362322,0.8399608098689244,True,True,81,94,0.47942657278932993,0.52655913230327,1.8301242223045373,0.08134532006677929,-1.748778902237758,1.9114695423713166,-3.5789031245422955,3.7415937646758537,0.9327377041702435,0.9112321353250883
JEF,0.3446877045239355,0.3537606073164333,0.6204105077525843,0.6183010742839015,True,True,71,73,0.7365936268666814,0.7280663289686021,1.6247379347096909,0.08201193325505615,-1.5427260014546347,1.706749867964747,-3.1674639361643258,3.3314878026744377,0.9207469798597504,0.9082882532498614
CFG,0.29102645021422496,0.32424519626192067,0.781862803348864,0.7634044120974595,True,True,74,73,0.5815315135537926,0.6530191392007858,1.994402527094061,0.11445179263617346,-1.8799507344578876,2.1088543197302347,-3.8743532615519487,4.103256846824296,0.937739862321012,0.9173499455591566
MS,0.2930675375948165,0.28883016489324453,0.7706093169287429,0.7730258393302084,True,True,81,80,0.5749958768045716,0.5666191205166538,1.6620798661705285,0.09362814935286734,-1.5684517168176613,1.7557080155233957,-3.2305315829881898,3.4177878816939242,0.9424154453421482,0.9390298752138673
USB,0.23408872799010466,0.24359037519720064,0.7809136339508076,0.770668330695159,True,True,72,75,0.48375732827310514,0.4795395751409519,1.6657325332574264,0.07039954043982566,-1.5953329928176008,1.736132073697252,-3.2610655260750274,3.4018646069546783,0.9497417067147124,0.9419541781337604
HBAN,0.3455616165105336,0.36172089570174465,0.7736926378027577,0.7593117524697091,True,True,87,80,0.628060269208768,0.6694903309030321,1.6954422019906534,0.09980917039830971,-1.5956330315923437,1.7952513723889632,-3.291075233582997,3.4906935743796166,0.8956879997261308,0.8790865057570525
UMPQ,0.3760315908734121,0.39475875469327604,0.6644931120316682,0.6496392957982261,True,True,71,72,0.8239907254629557,0.8424237563102,1.5516819197844924,0.07551779617943558,-1.4761641236050569,1.627199715963928,-3.027846043389549,3.1788816357484206,0.8918375269375857,0.8907483214012891
STL,0.3214082048869479,0.3003106282781199,0.838349689993525,0.8835450745674834,True,True,91,95,0.5827435134446061,0.4987635080325274,2.0462009182247107,0.1236578493261622,-1.9225430688985485,2.169858767550873,-3.9687439871232595,4.216059685775583,0.9129329503747812,0.8757284987248608
ASB,0.35352871667010116,0.37055016555323994,0.7285607433102026,0.7317915618783128,True,True,82,85,0.6753288442371109,0.6612353013715389,1.8543096343547962,0.08674661876700109,-1.767563015587795,1.9410562531217974,-3.6218726499425915,3.7953658874765934,0.89739860565668,0.8618983162101214
FITB,0.30621552101205046,0.31313036564951147,0.8014563196097885,0.803676895595268,True,True,83,76,0.5806554246827651,0.6111751936194292,1.7826635336194532,0.11922795030737598,-1.663435583312077,1.9018914839268293,-3.4460991169315305,3.6845550175462822,0.9114200246306589,0.9043937997778267
