,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WFC,0.28255709909489835,0.28559295233015075,0.8138380328820252,0.80007453276767,True,True,76,76,0.5654340167429899,0.5728131847103204,1.6892442859034131,0.08682846053355436,-1.6024158253698588,1.7760727464369674,-3.2916601112732717,3.465317032340381,0.9129511575071209,0.8961724491002223
FBP,0.3474325422203954,0.3483695059374239,0.8014835529282694,0.8129246276822025,True,True,91,91,0.6032798706511753,0.6005240010387877,1.9722110454835415,0.058631488628346544,-1.913579556855195,2.030842534111888,-3.8857906023387367,4.00305357959543,0.8837250641363914,0.8635334827994108
GS,0.27880981397258614,0.27800702917553455,0.7855680279559758,0.7827069688810188,True,True,75,80,0.554978247257236,0.5403741611684099,1.4505129155410768,0.0647941009296029,-1.3857188146114738,1.5153070164706797,-2.8362317301525506,2.9658199320117564,0.9188273627481797,0.9181648999152021
NYCB,0.3585205109869066,0.36849512833927045,0.5054335261051521,0.4876168305258408,True,True,75,74,0.7007203577909897,0.7313182634454761,1.252024007337916,0.0693316064049728,-1.1826924009329434,1.3213556137428888,-2.4347164082708592,2.573379621080805,0.8495102085180426,0.8423969332053992
VLY,0.36269076008045054,0.43080450571869316,0.7061496719619618,0.643649769541702,True,True,74,83,0.7370378942595485,0.79121457136918,1.5265368345517774,0.08993782989381204,-1.4365990046579653,1.6164746644455894,-2.963135839209743,3.1430114989973665,0.8781826193161555,0.8255183910263482
VIRT,0.46375454544699235,0.42744268767878707,-0.06012574127899084,0.02312886647794621,True,True,72,67,0.9790132299565211,0.9656995350752076,0.6566342571041932,0.08722124375365985,-0.5694130133505334,0.743855500857853,-1.2260472704547265,1.4004897579620463,0.1377427292317427,0.03361297745779823
BXS,0.3447922021350202,0.4101361872248498,0.7421916660341157,0.6731650242183704,True,True,82,80,0.6547273881238099,0.7437257556422443,1.5467263978260954,0.05818578706525464,-1.4885406107608408,1.6049121848913501,-3.035267008586936,3.1516385827174456,0.8773196186764827,0.8162419195453144
CADE,0.344785408382043,0.4101241237281802,0.7421975609917026,0.6732189762143865,True,True,82,80,0.6547065914503158,0.7434840748144337,1.5466754905358728,0.0583871744864183,-1.4882883160494544,1.6050626650222912,-3.0349638065853273,3.151738155558164,0.87732013147619,0.8162730548309843
C,0.2862838155108636,0.2747200583900712,0.7590130437266918,0.7683322362253158,True,True,84,77,0.5444201030152894,0.5583414915778147,1.9493505668320676,0.11596167009447095,-1.8333888967375966,2.0653122369265384,-3.7827394635696643,4.014662803758606,0.9430889522379622,0.9393463623791595
BNS,0.23423643802217042,0.2330331160315905,0.6312755010539361,0.6364613235389707,True,True,89,94,0.4037096649858478,0.39659510052140795,1.173284094527593,0.06868154033527137,-1.1046025541923217,1.2419656348628645,-2.2778866487199148,2.4152497293904576,0.8998196735734867,0.896108536734549
ISBC,0.45505178700767385,0.5019353447073,0.3353219837870036,0.3174897902322106,False,False,66,69,1.0303323023352955,1.0804423093393745,1.3851458828765142,0.08144127699259895,-1.3037046058839152,1.4665871598691131,-2.6888504887604294,2.8517330427456273,0.8884389760635463,0.8216714184042883
TD,0.2033210536478443,0.21628977942496955,0.706282997254784,0.6699024930910689,True,True,85,85,0.36351208611224983,0.3946950193184679,1.214417473164115,0.03788320739604403,-1.176534265768071,1.252300680560159,-2.390951738932186,2.4667181537242744,0.9041594201638797,0.8967504858612074
MS,0.2959708803848977,0.299458734231348,0.7496082930136917,0.7455565753636385,True,True,76,76,0.613036932631643,0.6065391364112789,1.6657678229187665,0.08748640687847833,-1.578281416040288,1.7532542297972449,-3.2440492389590547,3.419022052716011,0.9432577011833262,0.9393507550734099
FNB,0.2400148693418606,0.325533149118093,0.8691711874117201,0.8011585492016717,True,True,83,88,0.4446372097820044,0.5668779665698545,1.8310819825872566,0.07661978013308225,-1.7544622024541743,1.907701762720339,-3.585544185041431,3.7387837453075954,0.9409772143365358,0.9102051204607853
FITB,0.3197413155474113,0.32817759060124346,0.783418884427469,0.7711496693567966,True,True,80,76,0.6069745465109607,0.6419303350206138,1.7855197609418902,0.11473052197783178,-1.6707892389640584,1.900250282919722,-3.4563089999059486,3.6857700438616123,0.9230967924562328,0.9036300197075511
FRC,0.2795833781916411,0.27447230247607657,0.6950581263384717,0.704349297868496,True,True,79,79,0.5118558168473766,0.5084749354993999,1.3505976095224157,0.059084416691149694,-1.291513192831266,1.4096820262135654,-2.642110802353682,2.760279635735981,0.92409899334632,0.9140969632117774
CFG,0.26774236540075375,0.33184868756639124,0.7782996963128004,0.7343736728392192,True,True,65,70,0.5874496261586629,0.6784701587321973,1.997193807612343,0.11274755400960249,-1.8844462536027404,2.1099413616219453,-3.8816400612150836,4.107135169234288,0.9521517087701444,0.9166089688264766
KEY,0.24808245062586531,0.2971853241146205,0.8612961959916094,0.8261261139663931,True,True,80,85,0.46954826288695967,0.527099657240836,2.0038444788398637,0.09467411339470297,-1.9091703654451608,2.0985185922345666,-3.9130148442850246,4.10236307107443,0.9625559051112602,0.9426851468547006
ONB,0.37092319566333537,0.44092397937530886,0.6280600494316926,0.5442241994047912,True,True,72,81,0.7794238426190723,0.8342397899080874,1.3565190240682223,0.05253223143485648,-1.303986792633366,1.4090512555030787,-2.6605058167015883,2.765570279571301,0.8397861962559601,0.7969233373426294
PNC,0.2483303345443328,0.29624782595513605,0.7515028308725614,0.7059105896057323,True,True,66,74,0.5426328097438776,0.5796449692208605,1.6210564459016243,0.04773302186954072,-1.5733234240320837,1.668789467771165,-3.194379869933708,3.2898459136727896,0.9503730167996564,0.9363449709787912
CMA,0.2780216153087281,0.36249015728692413,0.8741938225555922,0.8068876346301423,True,True,81,87,0.5205678070078332,0.6357360865751646,2.041770361733648,0.09485561004982444,-1.9469147516838237,2.1366259717834724,-3.9886851134174717,4.178396333517121,0.9279495644811644,0.8840450113182585
SBNY,0.5840786251520412,0.6091824735925536,0.448577222096468,0.4217117187445766,True,True,74,78,1.1533713826053547,1.163954788561424,1.6532943196850867,0.15024216822003877,-1.503052151465048,1.8035364879051254,-3.1563464711501346,3.456830807590212,0.8411892405202862,0.8517909085608859
JEF,0.33897176605766977,0.347771456548764,0.5863566847619641,0.5815160548720877,True,True,69,72,0.7269223789833241,0.7246228481075446,1.6269680581537385,0.0773724729108658,-1.5495955852428727,1.7043405310646043,-3.1765636433966113,3.3313085892183425,0.9241164912861821,0.9080265409256628
ZION,0.4063884129431346,0.5006856726056418,0.6797678932207488,0.5926926795784881,True,True,71,81,0.8497210818334853,0.9154680152059619,1.5340640157137648,0.06376401584682934,-1.4702999998669355,1.5978280315605942,-3.0043640155807,3.131892047274359,0.8744900355775789,0.8294497328885936
RF,0.271765099754599,0.3173086117540431,0.7492903454384872,0.7084510196389856,True,True,75,76,0.5360910100683798,0.6409704084202158,1.830709667427873,0.07952631545312351,-1.7511833519747495,1.9102359828809967,-3.5818930194026226,3.74094565030887,0.9451745472637078,0.9136277782106945
FHN,0.31598541817083636,0.3617442502407987,0.7386087810743258,0.6965483403783657,True,True,76,85,0.6204679988016434,0.6721843025543024,1.7644941655540345,0.16341249500382948,-1.601081670550205,1.927906660557864,-3.3655758361042394,3.6924008261118986,0.9272471900139904,0.8619257017897005
ASB,0.34715086985411386,0.3813496189210397,0.708250947012189,0.6855740859177881,True,True,72,84,0.6969271158102432,0.6732210243471304,1.848521486328931,0.08205460222599313,-1.7664668841029378,1.9305760885549241,-3.614988370431869,3.779097574883855,0.908414342979946,0.8600510496717538
JPM,0.2276743837965974,0.24312587501574956,0.8361323855312855,0.8160921286761431,True,True,75,79,0.45240686520923373,0.47448410195098284,1.6417398482639527,0.0622195792832564,-1.5795202689806962,1.7039594275472092,-3.221260117244649,3.3456992758111617,0.9527324979959005,0.9484527013070656
