,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FNB,0.2712125381533944,0.3084367197799629,0.8581446567419329,0.8399608098689164,True,True,77,94,0.5279130452910874,0.5265591323032838,1.8283311562044116,0.07739189189482333,-1.7509392643095882,1.9057230480992349,-3.579270420514,3.7340542043036464,0.9306627315138505,0.911232135325089
JEF,0.3541861282893315,0.3537606073164305,0.6097850605009012,0.618301074283907,True,True,71,73,0.7504467297932832,0.728066328968591,1.6247379347096909,0.08201193325505618,-1.5427260014546347,1.706749867964747,-3.1674639361643253,3.331487802674438,0.9193860231011283,0.9082882532498627
CFG,0.27099792904752307,0.32424519626192044,0.7935998405253579,0.7634044120974597,True,True,73,73,0.5732593074038742,0.6530191392007854,1.994402527094061,0.11445179263617346,-1.8799507344578876,2.1088543197302347,-3.8743532615519487,4.103256846824296,0.9350834336540957,0.9173499455591565
MS,0.28902616632715733,0.2888301648932401,0.7739099897751167,0.773025839330219,True,True,82,80,0.568231854455429,0.5666191205166401,1.6620798661705283,0.09362814935286734,-1.5684517168176608,1.7557080155233957,-3.2305315829881893,3.417787881693924,0.942495262317924,0.9390298752138674
SBNY,0.5889088617507228,0.5822849193978415,0.4938159013979765,0.49331007923202685,True,True,77,76,1.1370688050236748,1.1502637205400112,1.6431761554339321,0.1429910944807415,-1.5001850609531906,1.7861672499146737,-3.143361216387123,3.4293434053486056,0.820070202214292,0.8530132484863618
USB,0.22647927591632783,0.2435903751972005,0.7933084559693719,0.7706683306948982,True,True,72,75,0.46196625328859525,0.47953957514120826,1.6639935118584617,0.06426032020051081,-1.599733191657951,1.7282538320589724,-3.2637267035164124,3.3922473439174343,0.9517559860949177,0.9419541781337628
HBAN,0.3453687305973113,0.36172089570173227,0.7669527745655027,0.759311752469721,True,True,81,80,0.6580013981675056,0.6694903309030142,1.6916540974138157,0.09943041008734432,-1.5922236873264715,1.7910845075011599,-3.283877784740287,3.4827386049149758,0.8932719638776055,0.8790865057570533
UMPQ,0.3950561568555692,0.3947587546932748,0.6482257170249537,0.6496392957982278,True,True,71,72,0.8469225717174619,0.8424237563101973,1.5475434895795397,0.07526083777650457,-1.4722826518030352,1.6228043273560442,-3.0198261413825747,3.170347816935584,0.8930080303354989,0.8907483214012895
STL,0.3059587135903544,0.3003106282781246,0.8794074852283194,0.8835450745674805,True,True,94,95,0.5157505747030466,0.4987635080325331,2.044141544434719,0.11921573642374798,-1.9249258080109708,2.1633572808584667,-3.96906735244569,4.207498825293186,0.9033381797155582,0.8757284987248599
ASB,0.3575549868250106,0.37055016555323517,0.7273268438886104,0.7317915618783165,True,True,87,85,0.6668961724112388,0.6612353013715313,1.844535755664408,0.07705993588829868,-1.7674758197761093,1.9215956915527066,-3.6120115754405173,3.7661314472171146,0.9025791027610883,0.8618983162101217
