,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FNB,0.2658771404209366,0.30843671977996645,0.8529168827359328,0.8399608098689131,True,True,78,94,0.5246537436106987,0.5265591323032897,1.8283311562044116,0.07739189189482334,-1.7509392643095882,1.9057230480992349,-3.579270420514,3.7340542043036464,0.9382736507118856,0.9112321353250877
JEF,0.3430764412134677,0.3537606073164319,0.6180800132662931,0.6183010742839044,True,True,73,73,0.730224971583338,0.7280663289685965,1.6247379347096909,0.08201193325505615,-1.5427260014546347,1.706749867964747,-3.1674639361643258,3.3314878026744377,0.9216239021699211,0.9082882532498628
CFG,0.2735916196077632,0.3242451962619278,0.7932873025619016,0.7634044120974549,True,True,69,73,0.5865072305953843,0.6530191392007956,1.994402527094061,0.11445179263617344,-1.8799507344578876,2.1088543197302343,-3.8743532615519487,4.103256846824296,0.9392811150413574,0.9173499455591563
MS,0.29465077816242663,0.28883016489324076,0.7673739029551261,0.7730258393302174,True,True,81,80,0.5819323283862597,0.5666191205166422,1.6663656092813655,0.09866851159830668,-1.5676970976830589,1.765034120879672,-3.234062706964424,3.4313997301610377,0.9381476111149305,0.9390298752138684
SBNY,0.5711183770608401,0.5822849193961324,0.5069854213195228,0.4933100792339139,True,True,74,76,1.1465628475006122,1.1502637205364614,1.646921356631339,0.14308392077019041,-1.5038374358611486,1.7900052774015294,-3.1507587924924874,3.4369266340328686,0.8236094473831606,0.8530132484863636
USB,0.23377805120385228,0.24359037519720045,0.7817283991383517,0.7706683306948233,True,True,77,75,0.462800735726085,0.47953957514128187,1.6639935118584617,0.06426032020051081,-1.599733191657951,1.7282538320589724,-3.2637267035164124,3.3922473439174343,0.951721174683053,0.9419541781337626
HBAN,0.33773017500781227,0.3617208957017325,0.7753177291037409,0.7593117524697208,True,True,85,80,0.6365208821590602,0.6694903309030147,1.6932419266183718,0.09581871421412759,-1.5974232124042442,1.7890606408324994,-3.290665139022616,3.4823025674508714,0.9058290001924113,0.879086505757054
STL,0.3054107559828046,0.30031062827812377,0.8742435950316363,0.883545074567481,True,True,78,95,0.5512183544340804,0.49876350803253205,2.0441415444347193,0.11921573642374798,-1.9249258080109712,2.163357280858467,-3.9690673524456908,4.207498825293187,0.9198372935315747,0.8757284987248608
ASB,0.3397198311179356,0.37055016555321363,0.7495619957781727,0.731791561878333,True,True,84,85,0.6472156338901796,0.6612353013714972,1.8505122397390128,0.07862179879805321,-1.7718904409409595,1.929134038537066,-3.6224026806799725,3.7796462782760787,0.9038797859894573,0.861898316210121
FITB,0.3104338684653915,0.31313036564951674,0.8121085805303309,0.8036768955952566,True,True,81,76,0.578508078679315,0.6111751936194416,1.7803496172405966,0.11501611336403592,-1.6653335038765607,1.8953657306046325,-3.4456831211171575,3.675715347845229,0.91290063863066,0.9043937997778269
GS,0.28003629035873745,0.2832638134668417,0.8036295762933652,0.7971138607798436,True,True,78,82,0.5530973258576837,0.5474447916909589,1.4500698627046478,0.06946373899271976,-1.380606123711928,1.5195336016973675,-2.830675986416576,2.9696034644020153,0.9193170946028842,0.9185001665948859
TD,0.2238024356792566,0.22037645097413266,0.6741371113567787,0.7011877305129413,True,True,81,87,0.4242098541292666,0.4048183774322651,1.2114161149571967,0.04259422416587465,-1.1688218907913221,1.2540103391230712,-2.380238005748519,2.465426454080268,0.9036663612634676,0.8960503853302854
VLY,0.35229629645020555,0.4230789449955478,0.7575050989378127,0.6768381110538737,True,True,78,87,0.6885399998113191,0.7665965063497795,1.527790329320393,0.07960881550384928,-1.4481815138165437,1.6073991448242422,-2.9759718431369366,3.135189474144635,0.8721212279509607,0.82714037309214
PNC,0.2509206098749483,0.29763082926254114,0.7709294377700507,0.7320239793666922,True,True,78,72,0.5104981244727015,0.6004044560779291,1.6180076783820065,0.04921910545515272,-1.5687885729268538,1.6672267838371593,-3.1867962513088606,3.2852344622191656,0.9481260821763462,0.9365013640645168
WFC,0.314627647672805,0.30225549717736605,0.809807967436894,0.8105060582657742,True,True,78,72,0.6306046824343898,0.6438611193847815,1.691766280987027,0.08224182541256964,-1.6095244555744574,1.7740081063995967,-3.3012907365614845,3.465774387386624,0.9091000213450633,0.8967037474998293
ONB,0.37211832726672694,0.4435109786407338,0.6358112991344703,0.5535311769974476,True,True,72,80,0.7980746114849409,0.8644996327053022,1.3591106896060383,0.05051969888852415,-1.3085909907175142,1.4096303884945625,-2.6677016803235523,2.768741078100601,0.8356745788556909,0.7992795789477007
