,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
PNC,0.25084384894278394,0.2993949489042975,0.7739795799310553,0.73248352836001,True,True,71,73,0.5386181019516644,0.600076630467077,1.6185386405162272,0.05396374641634092,-1.5645748940998863,1.6725023869325681,-3.1831135346161137,3.291041027448795,0.9500629495848596,0.9369008595266471
CMA,0.30535196387776786,0.37315053265933007,0.8614065849797077,0.8199466950795815,True,True,77,89,0.597608836679607,0.6556462631756985,2.040582562368092,0.10084620918286706,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9163001093220053,0.8835082883476548
BXS,0.3853715547451118,0.41524210083561813,0.686819730768579,0.6595808027858213,True,True,77,79,0.7623592875352794,0.7892693815508282,1.5461587668383712,0.05914766833701258,-1.4870110985013585,1.6053064351753839,-3.0331698653397297,3.151465202013755,0.8462547551747504,0.817435091523618
FNB,0.2708153663084386,0.3134530241408174,0.8502146274423779,0.8363903264336685,True,True,73,95,0.5532212535290517,0.5307056209523281,1.8282712895555122,0.08123902427627747,-1.7470322652792347,1.9095103138317897,-3.575303554834747,3.737781603387302,0.9342791980595004,0.9115455004069646
NYCB,0.3581270683640359,0.368350587614429,0.5381560861781232,0.5203420606632393,True,True,73,75,0.7131055595054363,0.7258250683947455,1.2488900506133116,0.07211260071955101,-1.1767774498937607,1.3210026513328625,-2.425667500507072,2.5698927019461744,0.8504873207614536,0.8452396166692567
WFC,0.31592532234702203,0.3061328163361668,0.7845053000452238,0.8080033244682563,True,True,66,74,0.7144615196899977,0.6391730967953715,1.6920131570265486,0.07883927977119588,-1.6131738772553528,1.7708524367977445,-3.3051870342819014,3.462865593824293,0.9067382944188386,0.8942324765946106
ONB,0.3926089860041031,0.44066156915481225,0.6018838225563354,0.552352044877938,True,True,72,79,0.8314096308209281,0.8647765852609389,1.3542058671051345,0.05417483781093168,-1.3000310292942028,1.4083807049160662,-2.6542368963993375,2.7625865720212004,0.8253490153920945,0.7968493183675435
MS,0.29028309584127104,0.2851952057976019,0.762810422114079,0.77115013858309,True,True,80,83,0.5772736290647051,0.5520088577911564,1.6627503538759882,0.09687647852884838,-1.56587387534714,1.7596268324048365,-3.228624229223128,3.422377186280825,0.9387621082505238,0.9364288933141551
RY,0.1808627565047249,0.2188271076250864,0.7238303516388768,0.6267583614110332,True,True,79,78,0.34396664683131906,0.4050567171442756,1.0878222700147495,0.03803159690677198,-1.0497906731079776,1.1258538669215215,-2.137612943122727,2.213676136936271,0.9013290277285152,0.8747240365403912
STL,0.31499188216146723,0.2999616114463506,0.8630688583488737,0.8828660873459638,True,True,95,93,0.5332290721971205,0.5034287066636646,2.043775487699313,0.12320416260652427,-1.9205713250927887,2.166979650305837,-3.964346812792102,4.21075513800515,0.9012924301281182,0.8749371092678839
PBCT,0.40769888032443985,0.4135258938751681,0.45080175443811055,0.43114542869946015,False,False,73,69,0.82373150695544,0.8726378017003414,1.453259606774192,0.08224095035049751,-1.3710186564236946,1.5355005571246896,-2.8242782631978867,2.9887601638988817,0.8861327069232808,0.8714334865291609
FBP,0.37769633320867146,0.33796307176631585,0.7768341442895573,0.8407566856287171,True,True,84,89,0.7026062764111467,0.5918736640683552,1.9716805098291643,0.0655243536814933,-1.906156156147671,2.0372048635106577,-3.8778366659768353,4.0088853733398215,0.8828784420082132,0.8642995732065447
C,0.2937123745796665,0.30342409766164546,0.737232141802608,0.7356711668741984,True,True,71,78,0.6410524365084876,0.6256975732692965,1.9390463707714072,0.11370322522303748,-1.8253431455483697,2.052749595994445,-3.7643895163197767,3.991795966765852,0.9343037778216647,0.9339491461247087
CADE,0.3853853792949316,0.41523068753860487,0.6867578386050504,0.6596237050879876,True,True,77,79,0.7625742122694733,0.7890248107765571,1.5461086425513415,0.059345404382339234,-1.4867632381690024,1.6054540469336807,-3.032871880720344,3.151562689485022,0.8462657162837743,0.817465474654913
VIRT,0.419121493203521,0.37865623233573414,-0.06318806568826951,0.039451248807028105,True,True,78,69,0.820725720407074,0.8212599753857335,0.660377506546955,0.07650617735344153,-0.5838713291935135,0.7368836839003966,-1.2442488357404686,1.3972611904473515,0.15399343462633142,0.035873987170306765
HBAN,0.3489185125826402,0.3619697363863634,0.7544069235078432,0.7540922582551852,True,True,80,81,0.6657332194721362,0.6727618230374691,1.692217614054979,0.10277312952763294,-1.589444484527346,1.7949907435826118,-3.281662098582325,3.487208357637591,0.896656275333947,0.8765213346826747
RF,0.26743217580809,0.303541291958741,0.7533038449887111,0.744190741607091,True,True,66,80,0.6175925027166838,0.5996312167910668,1.8258290571355935,0.08393111045958808,-1.7418979466760054,1.9097601675951816,-3.567727003811599,3.735589224730775,0.9304529000607793,0.9133227536786583
VLY,0.36488938456814385,0.4179837456822226,0.7254199882060989,0.6802627977464097,True,True,74,84,0.753184134319171,0.7679125579204674,1.5221540997841687,0.08496513832082722,-1.4371889614633415,1.607119238104996,-2.9593430612475102,3.1292733378891646,0.8574879689825494,0.8271325058738034
KEY,0.26176427130259877,0.29649034574944605,0.8392396727500149,0.8302037576376877,True,True,73,82,0.5443968761111881,0.5432810610138173,1.9962352092947275,0.09932898008072183,-1.8969062292140058,2.0955641893754495,-3.8931414385087333,4.091799398670177,0.9519731708337362,0.9363752620511977
JEF,0.3591798053438882,0.35270287614636836,0.6015999948703128,0.6185796351273407,True,True,73,74,0.7509657334734298,0.7245751279218609,1.6229984988290052,0.08175825565435997,-1.5412402431746453,1.704756754483365,-3.16423874200365,3.3277552533123704,0.9167159138601639,0.9061698070193762
GS,0.28674602211665495,0.2842822771473086,0.7933826343894387,0.7985794987841575,True,True,77,83,0.5718077483716664,0.5441054629221224,1.4482049692528767,0.06923312190697559,-1.3789718473459012,1.5174380911598522,-2.8271768165987776,2.965643060412729,0.9181080967977693,0.9181610980871524
BNS,0.2333972511003233,0.2370735642545274,0.6548317843514053,0.6388727263853525,True,True,94,94,0.3907427718864983,0.40301247004250484,1.1700104192980327,0.07432873876138511,-1.0956816805366476,1.2443391580594179,-2.2656920998346806,2.4143495773574504,0.8971440421919464,0.892069265058272
UMPQ,0.39108562697231125,0.39806578325687453,0.6472437933815702,0.6454749610435728,True,True,74,75,0.8320987961827979,0.8320245772227602,1.545954042008739,0.07442125806957434,-1.4715327839391645,1.6203753000783134,-3.0174868259479037,3.166329342087052,0.8972894327079399,0.8932110398027631
ISBC,0.43178292785438055,0.4525629546990355,0.5609419027469387,0.5258289062271263,True,True,79,78,0.836292549563059,0.8883010708833058,1.3841013386115688,0.08423439772554323,-1.2998669408860255,1.4683357363371121,-2.6839682794975945,2.8524370749486807,0.8577427706767238,0.8211705597301102
FITB,0.3068586917344148,0.32074803117907497,0.7973932632221025,0.7933880690844703,True,True,84,77,0.5794955243553515,0.6180859205215996,1.7802590724369922,0.1191202020440502,-1.661138870392942,1.8993792744810425,-3.4413979428299344,3.6796383469180345,0.9031349838566712,0.8990174561848682
JPM,0.21023395997830818,0.2354755233733769,0.8688925699541998,0.840301352918184,True,True,71,81,0.42455881131356954,0.4557030299682643,1.6318325081925273,0.05949479190805519,-1.572337716284472,1.6913273001005826,-3.2041702244769996,3.3231598082931098,0.9519302903488026,0.9464940839516239
FRC,0.28791972287467177,0.2849673344204267,0.7200297255119431,0.730798803226989,True,True,81,76,0.5387874853554729,0.5496899748807305,1.354615370247468,0.062335879278610555,-1.2922794909688573,1.4169512495260785,-2.6468948612163254,2.7715666197735462,0.9175394431508064,0.9115761588164248
