,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FRC,0.2765772581579156,0.276696407874286,0.6935213190781071,0.7035762114995883,True,True,82,79,0.5019416653203711,0.5086267502004289,1.3525002140295463,0.05944690985542449,-1.293053304174122,1.4119471238849708,-2.645553518203668,2.7644473379145174,0.9203386140302072,0.9140963128383768
UMPQ,0.3833122656714119,0.3955797715779377,0.6560479422871865,0.6347067322034335,True,True,72,71,0.8000367771363317,0.8448572459360629,1.5536864558363443,0.07310949398537608,-1.4805769618509683,1.6267959498217204,-3.0342634176873124,3.180482405658065,0.8943124108186524,0.8915029804802355
CADE,0.36774485944183843,0.41101925360521385,0.7274251121604505,0.6735295900891853,True,True,79,80,0.6916924960008641,0.7435065340281717,1.5457051202340517,0.054300750071038954,-1.4914043701630129,1.6000058703050906,-3.0371094903970643,3.1457109905391425,0.8453306954549638,0.81629044484355
CFG,0.2742712997420384,0.3320955695558092,0.7756781825395074,0.7347626321856546,True,True,75,70,0.5583093182340144,0.6784806183614973,1.9999318745103676,0.11375259824438408,-1.8861792762659835,2.1136844727547515,-3.886111150776351,4.113616347265119,0.9340983399640661,0.916630825112063
USB,0.24892555439642072,0.2596864776119231,0.7251032458035199,0.7083195800708656,True,True,73,73,0.5064879497192424,0.5133411214817064,1.6723852537668034,0.0609061721081392,-1.6114790816586642,1.7332914258749426,-3.2838643354254673,3.405676679641746,0.9494747485500858,0.9425768403640913
RF,0.2853396572987923,0.31719043842940636,0.7328935454314018,0.7091564622569948,True,True,72,75,0.590840725045353,0.6434398054419876,1.8332225347004039,0.08045944289591787,-1.752763091804486,1.9136819775963216,-3.5859856265048897,3.7469045122967257,0.9259818654137938,0.9137089970419638
JEF,0.3543797423425815,0.34851098817895493,0.5708453868233185,0.5809476153656586,True,True,71,72,0.7373462871171454,0.7246057028698022,1.6275622497709783,0.08129334253973478,-1.5462689072312434,1.7088555923107132,-3.1738311570022217,3.3364178420816915,0.9194776132868021,0.9080644307517579
BNS,0.23567857363462852,0.233219095128052,0.6331791156658507,0.6369200165717359,True,True,94,93,0.39470982498832924,0.3982268585433124,1.1743385068979084,0.07130520235322628,-1.103033304544682,1.2456437092511348,-2.2773718114425905,2.419982216149043,0.8985751682639689,0.8961821164542119
ASB,0.3713570316722415,0.38352385498986113,0.6677718035855265,0.6835130365510929,True,True,82,84,0.7083399242775293,0.6756121858702109,1.853992290658853,0.07330583789089178,-1.7806864527679613,1.9272981285497448,-3.6346787434268144,3.781290419208598,0.8975269757646224,0.8601461146290024
FNB,0.2756570271573542,0.32724088320087635,0.8359783892194687,0.8013229866933326,True,True,77,88,0.5363958926683938,0.5669128900707334,1.8336257031852203,0.07728969723640487,-1.7563360059488156,1.910915400421625,-3.5899617091340357,3.7445411036068457,0.9285716723526688,0.9102130593881408
BXS,0.36775222317896467,0.4110313541761145,0.7274543492186528,0.673476071853697,True,True,79,80,0.691526328990283,0.7437482135961924,1.5457557422946693,0.054098500792152775,-1.4916572415025164,1.5998542430868221,-3.0374129837971857,3.1456099853814914,0.8453234884720412,0.8162593106717908
C,0.29584717898731083,0.2779044695420108,0.7497559417941051,0.7674100720057604,True,True,76,76,0.5887142975690655,0.5683293425809604,1.9520628038821017,0.11675632431618817,-1.8353064795659135,2.0688191281982897,-3.7873692834480153,4.020881932080392,0.939601350963109,0.9393904066303586
ONB,0.3980421928200132,0.45242530786433743,0.5944743660042564,0.5295040839921433,True,True,73,77,0.8219614600001615,0.8815019174158343,1.3592018114262658,0.05299207929753416,-1.3062097321287316,1.4121938907238,-2.6654115435549977,2.7713957021500657,0.821603959859292,0.7970073208876134
FITB,0.3179966728154903,0.3298715540204074,0.7820698826140624,0.7707520470728427,True,True,79,77,0.6119479318148141,0.6381811041846285,1.7889743263122428,0.11082354394838903,-1.6781507823638537,1.899797870260632,-3.467125108676097,3.6887721965728746,0.9067243191526104,0.9036644007073145
VLY,0.3756339368482147,0.43084390376170295,0.6921572035659473,0.644408322890194,True,True,74,82,0.7714718030806386,0.7956621893452855,1.5342716427433258,0.08603122120729548,-1.4482404215360303,1.6203028639506214,-2.9825120642793563,3.154574506693947,0.8531952168519903,0.8257428251471213
SBNY,0.6027413982665087,0.6119862478040735,0.43179206207699006,0.421463829785524,True,True,74,77,1.182799325376228,1.1710901377429768,1.6525848895408441,0.1370447546289768,-1.5155401349118673,1.789629644169821,-3.1681250244527117,3.442214533710665,0.8197442946285148,0.8519341631490078
HBAN,0.34347918614677186,0.3701973278287436,0.7473913504952301,0.7255475068787085,True,True,84,82,0.6380891785683972,0.6678201883673248,1.696346220658514,0.10143522994014025,-1.5949109907183738,1.7977814505986542,-3.291257211376888,3.4941276712571683,0.8935419601516139,0.8788964298355822
FBP,0.3523853082308519,0.3492516603576259,0.796643915822826,0.8130840878391359,True,True,87,89,0.6260598569818268,0.606177867734479,1.9743271568855543,0.05877572518969482,-1.9155514316958595,2.0331028820752493,-3.8898785885814138,4.007430038960804,0.878744150073279,0.8635439212177165
KEY,0.2692860117885615,0.29811117077063165,0.8485334383089378,0.8262633235296765,True,True,85,85,0.4908208783415265,0.5270956775080524,2.0066905292201946,0.095063503095679,-1.9116270261245156,2.1017540323158737,-3.9183175553447103,4.108444561536068,0.9545437578194249,0.9426963739632218
FHN,0.34100954933460664,0.36138048137570133,0.7172740658129334,0.6970600645678984,True,True,78,85,0.6605197274155813,0.6721941005889113,1.765436980664361,0.15618556521076557,-1.6092514154535955,1.9216225458751266,-3.3746883961179566,3.6870595265394877,0.8804749644380395,0.8619707578239256
STL,0.31241304207788456,0.31265959162426216,0.8500855261454934,0.8562279785917878,True,True,88,91,0.5431458701080311,0.5284383127660701,2.0488169334671937,0.1171878610843872,-1.9316290723828065,2.166004794551581,-3.98044600585,4.214821728018775,0.903326254607613,0.8740635943395318
JPM,0.2302130542093113,0.24460478634761845,0.8356276611710063,0.8164878601100721,True,True,77,80,0.44971371726990333,0.4723785096680895,1.643171714753376,0.06198122974665938,-1.5811904850067167,1.7051529445000353,-3.2243621997600926,3.3483246592534113,0.9527221667484035,0.9484691960299438
NYCB,0.3543782465061311,0.3677449774148041,0.5097769192288757,0.48782643253191305,True,True,72,73,0.7045442327516948,0.7358959299226401,1.2535555002309877,0.07067741475494331,-1.1828780854760443,1.324232914985931,-2.4364335857070323,2.5777884152169186,0.8486302841526697,0.8425997629708675
PBCT,0.39863576591121386,0.415699071254078,0.3951825089341622,0.35516903826311985,False,False,62,70,0.8736142347752662,0.8652576597374189,1.4529224272334356,0.08186081436724497,-1.3710616128661905,1.5347832416006806,-2.823984040099626,2.987705668834116,0.8823441238559349,0.8720896025870755
PNC,0.2556827501774976,0.29687107851080474,0.7440510952932426,0.7063942984450337,True,True,70,72,0.52823610903142,0.5875145529287545,1.627353152682293,0.04339729331259126,-1.5839558593697018,1.6707504459948843,-3.211309012051995,3.2981035986771774,0.9350855488726801,0.9363628651977586
WFC,0.2990542178961396,0.28606760628395317,0.794587176918821,0.8010647038713917,True,True,79,76,0.5883803418353015,0.5736928643484142,1.6930329367272432,0.09114872631231795,-1.6018842104149253,1.784181663039561,-3.2949171471421685,3.4772145997668042,0.9049195327260581,0.8963426852161878
GS,0.28339597205291195,0.28210107742895846,0.781958557635296,0.7800779465930558,True,True,77,80,0.5573299664851908,0.5473894696932167,1.4552310433901277,0.06908507334665702,-1.3861459700434706,1.5243161167367847,-2.8413770134335983,2.9795471601269123,0.9167748463327509,0.9181800757165084
