,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
PBCT,0.37915706071190913,0.41352589387517186,0.45487656488548367,0.43114542869945693,False,False,68,69,0.805690229998763,0.8726378017003477,1.455010350186261,0.0855866727336386,-1.3694236774526225,1.5405970229198995,-2.8244340276388833,2.9956073731061608,0.896234716121495,0.8714334865291609
ASB,0.3329090038049119,0.3759870692170996,0.7468310332439239,0.7271199088668325,True,True,82,86,0.64220505264775,0.6641610847216435,1.8477162209314342,0.08106664251028325,-1.766649578421151,1.9287828634417175,-3.6143657993525853,3.7764990843731514,0.9014773551915117,0.8601748581741121
JEF,0.3454862865913832,0.3527028761463661,0.6194207688007015,0.6185796351273444,True,True,68,74,0.7598101186640672,0.7245751279218545,1.6229984988290052,0.08175825565435998,-1.5412402431746453,1.704756754483365,-3.16423874200365,3.3277552533123704,0.9186251245257201,0.9061698070193768
RY,0.18411279712129944,0.2188271076242146,0.7171044062076521,0.6267583614145285,True,True,85,78,0.33610649595645997,0.4050567171421158,1.0888796966780414,0.041984155165353726,-1.0468955415126877,1.130863851843395,-2.135775238190729,2.2197435485214365,0.9002987629011221,0.8747240365403914
CMA,0.30654544413517554,0.37315053265933834,0.8666037079173392,0.8199466950795746,True,True,79,89,0.5989394858005351,0.6556462631757126,2.040582562368092,0.10084620918286709,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9162940231162561,0.8835082883476554
FHN,0.32647276722995777,0.3619325591004288,0.7614069704549129,0.7317652613695212,True,True,81,89,0.6303002447507418,0.6581464819649664,1.7644304453097317,0.16286623557757768,-1.601564209732154,1.9272966808873093,-3.3659946550418858,3.691727126197041,0.898425295638221,0.8633488420587484
BNS,0.2415225070306026,0.23707356425396522,0.6276571309893499,0.6388727263870116,True,True,91,94,0.4107616241569597,0.403012470041629,1.1713454794248324,0.07874414759954772,-1.0926013318252847,1.25008962702438,-2.263946811250117,2.4214351064492123,0.8952964001937405,0.8920692650582721
FBP,0.36440267204840243,0.337963071766342,0.8069343177776367,0.8407566856286965,True,True,90,89,0.6315795104320129,0.5918736640683909,1.9716805098291643,0.0655243536814933,-1.906156156147671,2.0372048635106577,-3.8778366659768353,4.0088853733398215,0.8831295552622324,0.864299573206545
FNB,0.2615428492820983,0.3134530241408309,0.867577550222279,0.8363903264336565,True,True,80,95,0.4972298177001431,0.5307056209523477,1.8282712895555122,0.08123902427627747,-1.7470322652792347,1.9095103138317897,-3.575303554834747,3.737781603387302,0.934334960052398,0.9115455004069621
ISBC,0.38979711268763567,0.4525629546990402,0.6179753783594779,0.5258289062271198,True,True,74,78,0.7785564265659153,0.8883010708833162,1.3945420531874944,0.09536125077018374,-1.2991808024173106,1.4899033039576781,-2.693722855604805,2.8844453571451725,0.8725186221938308,0.8211705597301093
CADE,0.3452382169878551,0.4152306875386265,0.7146201794508016,0.6596237050879655,True,True,72,79,0.7281793475413032,0.789024810776592,1.5539412874946288,0.06394458540411259,-1.4899967020905163,1.6178858728987413,-3.043937989585145,3.17182716039337,0.8755961753246453,0.8174654746549133
JPM,0.2189892587720854,0.23547552337338665,0.8567451017745179,0.8403013529181735,True,True,74,81,0.44447624111163103,0.45570302996827466,1.6377796482690743,0.059518532925901826,-1.5782611153431725,1.697298181194976,-3.2160407636122468,3.3350778294640504,0.9501713304861313,0.9464940839516247
USB,0.22998947038376857,0.2443210085199242,0.7793412243642605,0.7674522295696078,True,True,73,74,0.47568508709054175,0.4851290935758834,1.66400075967327,0.0713192171796441,-1.5926815424936258,1.7353199768529142,-3.256682302166896,3.399320736526184,0.9485282628312346,0.9410052948207837
GS,0.2841565070527326,0.28428227714729676,0.8037840641429235,0.7985794987841736,True,True,80,83,0.5491235405764323,0.5441054629221029,1.4496010478451147,0.0661234305896894,-1.3834776172554253,1.515724478434804,-2.83307866510054,2.9653255262799187,0.9187177959012099,0.9181610980871526
CFG,0.2827907111808677,0.32847896907156937,0.7769068116739692,0.7572228494961906,True,True,73,73,0.595292547391423,0.6630419846263089,1.9920214750081318,0.11404948008433617,-1.8779719949237956,2.106070955092468,-3.869993469931927,4.0980924301006,0.9337573100949026,0.9137963066810796
C,0.30488126021164946,0.3034240976622404,0.7364341020534081,0.7356711668730078,True,True,71,78,0.651131098118623,0.6256975732714224,1.9390463707714072,0.11370322522303754,-1.8253431455483697,2.052749595994445,-3.7643895163197767,3.991795966765852,0.9339288497504484,0.9339491461247077
KEY,0.2687590023942336,0.29649034574944644,0.8445387881698728,0.8302037576376884,True,True,75,82,0.5262759822496061,0.5432810610138172,1.9962352092947273,0.09932898008072184,-1.8969062292140055,2.095564189375449,-3.893141438508733,4.091799398670177,0.9487358561937209,0.9363752620511966
ZION,0.413864795949971,0.49323217140171166,0.6978337909372119,0.6237013553264679,True,True,74,81,0.8374102605789336,0.9192640921560855,1.5398334101942928,0.0651634736158661,-1.4746699365784266,1.604996883810159,-3.0145033467727194,3.1448302940044517,0.871901976600039,0.8263411296338714
HBAN,0.32169262594767617,0.3619697363863652,0.791306476160605,0.7540922582551836,True,True,85,81,0.5946383786040127,0.6727618230374719,1.6938046411138137,0.0991718252885068,-1.594632815825307,1.7929764664023204,-3.2884374569391204,3.4867811075161343,0.8993876778550538,0.8765213346826737
SBNY,0.5729246232735696,0.5776121432758261,0.5088358769915449,0.493177847730924,True,True,78,77,1.0981910275035045,1.1337252626369498,1.6539959507740323,0.15078610141033583,-1.5032098493636965,1.804782052184368,-3.157205800137729,3.4587780029584003,0.8201521369254002,0.85136739918908
UMPQ,0.36595509456721415,0.39806578325686864,0.6843449595462034,0.645474961043583,True,True,66,75,0.8183724464806024,0.8320245772227421,1.5478008395629472,0.07087160316063996,-1.4769292364023072,1.6186724427235872,-3.0247300759652544,3.1664732822865345,0.9051803420454522,0.8932110398027621
PNC,0.2532703383624939,0.2993949489042922,0.7666965185965305,0.7324835283600131,True,True,71,73,0.5319399832803444,0.600076630467067,1.6185386405162272,0.05396374641634094,-1.5645748940998863,1.6725023869325681,-3.1831135346161137,3.291041027448795,0.946966763208577,0.9369008595266461
NYCB,0.3564608588906153,0.3683505876144294,0.5375674540909599,0.5203420606632388,True,True,74,75,0.709375552143822,0.7258250683947464,1.2488900506133118,0.07211260071955101,-1.1767774498937609,1.3210026513328628,-2.4256675005070725,2.569892701946175,0.8553732854988815,0.8452396166692577
ONB,0.36580154231024814,0.4406615691548258,0.6217434638953983,0.5523520448779173,True,True,66,79,0.8492995700528688,0.8647765852609683,1.3674950449640688,0.05951269080638288,-1.307982354157686,1.4270077357704516,-2.6754773991217546,2.7945027807345206,0.8469591067879629,0.7968493183675434
MS,0.2886026421597008,0.2851952057976014,0.7733275018408062,0.7711501385830912,True,True,83,83,0.5593887449426722,0.5520088577911548,1.6610790098838086,0.09324682889596436,-1.5678321809878444,1.7543258387797729,-3.228911190871653,3.4154048486635817,0.9395680861514882,0.9364288933141565
STL,0.29841251387769424,0.29996161144635125,0.8781622796359159,0.8828660873459634,True,True,82,93,0.5405470047313398,0.5034287066636653,2.043775487699313,0.12320416260652424,-1.9205713250927887,2.166979650305837,-3.964346812792102,4.21075513800515,0.9122588538786579,0.8749371092678833
VIRT,0.4134300144479233,0.37865623233573414,-0.03088247101929964,0.03945124880702777,True,True,73,69,0.8302403372522187,0.8212599753857337,0.6706545628141053,0.08964908938015656,-0.5810054734339487,0.7603036521942619,-1.251660036248054,1.430958215008367,0.15120145341944424,0.0358739871703071
TD,0.22618136853126355,0.22798503179411553,0.6823542565786851,0.6836513092371683,True,True,87,88,0.409653521203759,0.4162389990716553,1.2115024316734848,0.04484346065766051,-1.1666589710158244,1.2563458923311452,-2.378161402689309,2.4678483240046303,0.9034846902081332,0.8956133539770356
BXS,0.34525065240553937,0.41524210083562674,0.714664598507984,0.6595808027858125,True,True,72,79,0.7279672140602826,0.7892693815508424,1.55399153469654,0.06374767325897479,-1.4902438614375653,1.6177392079555148,-3.0442353961341055,3.1717307426520547,0.8755641163298304,0.8174350915236182
WFC,0.3196784644446906,0.30613281633946415,0.8023886741127406,0.8080033244644984,True,True,75,74,0.6484487914846769,0.6391730968005201,1.7006912469307411,0.07198852324071549,-1.6287027236900256,1.7726797701714567,-3.329393970620767,3.4733710171021976,0.8994709436591463,0.8942324765946107
RF,0.26392815760934724,0.30354129195874796,0.7730752557313916,0.7441907416070863,True,True,73,80,0.5432466537010735,0.5996312167910774,1.8258290571355935,0.08393111045958808,-1.7418979466760054,1.9097601675951816,-3.567727003811599,3.735589224730775,0.9284516206414426,0.9133227536786603
FITB,0.29822133423730485,0.3207480311790776,0.8020469523957886,0.7933880690844652,True,True,78,77,0.5933667519830018,0.6180859205216043,1.7841048780524502,0.11119770477297958,-1.6729071732794707,1.8953025828254297,-3.4570120513319207,3.67940746087788,0.9109656870643883,0.8990174561848675
FRC,0.2793442803805665,0.2849673344204292,0.7398981681421006,0.7307988032269854,True,True,82,76,0.515247427584378,0.5496899748807356,1.354615370247468,0.06233587927861057,-1.2922794909688573,1.4169512495260785,-2.6468948612163254,2.7715666197735462,0.9232554770457196,0.9115761588164248
