,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FNB,0.2663131283401725,0.3134530241408136,0.8648371770569213,0.8363903264336718,True,True,82,95,0.5014752428954538,0.5307056209523224,1.8282712895555122,0.08123902427627748,-1.7470322652792347,1.9095103138317897,-3.575303554834747,3.737781603387302,0.9299619989749546,0.9115455004069623
VLY,0.36007716913966753,0.41798374568223984,0.7296414418024733,0.6802627977463891,True,True,73,84,0.7396782168211778,0.7679125579204938,1.525822408520565,0.06946419916377457,-1.4563582093567904,1.5952866076843395,-2.982180617877355,3.1211090162049047,0.8591644156968494,0.8271325058738037
C,0.2996310904342389,0.30342409766211786,0.7315979469151198,0.735671166873253,True,True,72,78,0.6567785980460175,0.6256975732709847,1.9402579818463253,0.1174089985439876,-1.8228489833023376,2.0576669803903127,-3.763106965148663,3.997924962236638,0.9371027498212458,0.9339491461247085
TD,0.22744304928474965,0.2279850317958626,0.6782516359951263,0.6836513092323412,True,True,86,88,0.41508522175062995,0.416238999074641,1.209993534409361,0.04020753672213021,-1.169785997687231,1.2502010711314913,-2.3797795320965918,2.4601946055408526,0.9028102118595875,0.8956133539770352
ASB,0.3525968314560759,0.3759870692170928,0.7340035532897797,0.7271199088668385,True,True,85,86,0.6579646142689882,0.6641610847216317,1.8422805202878745,0.07678400753131279,-1.7654965127565616,1.9190645278191873,-3.607777033044436,3.761345048107062,0.8971665858641559,0.8601748581741133
CMA,0.3015694159467581,0.3731505326593443,0.8704753363001461,0.8199466950795697,True,True,84,89,0.5682656960501693,0.6556462631757225,2.040582562368092,0.10084620918286706,-1.9397363531852252,2.1414287715509595,-3.980318915553317,4.182011333919052,0.9159281811796599,0.8835082883476553
PBCT,0.39601235607416974,0.4135258938751555,0.4700746707318503,0.4311454286994707,False,False,76,69,0.7736572330117374,0.8726378017003205,1.4517978480546292,0.07907421426951404,-1.3727236337851152,1.5308720623241432,-2.8245214818397444,2.9826699103787724,0.8909029291643846,0.8714334865291615
FBP,0.35214402135286166,0.33796307176631685,0.8040993323873727,0.8407566856287164,True,True,93,89,0.6244266179241045,0.5918736640683565,1.969175279303466,0.06091054673358048,-1.9082647325698856,2.0300858260370465,-3.8774400118733516,3.9992611053405125,0.8817500814483565,0.864299573206545
STL,0.27601743223960934,0.2999616114463568,0.900649016638705,0.8828660873459596,True,True,88,93,0.48202369416314544,0.5034287066636728,2.0417150465713494,0.11877372635104243,-1.922941320220307,2.160488772922392,-3.9646563667916563,4.202203819493741,0.9067813160260516,0.8749371092678848
KEY,0.27291404331567093,0.29649034574944616,0.8363023282354647,0.830203757637688,True,True,77,82,0.5384831942893579,0.5432810610138172,1.9962352092947275,0.09932898008072183,-1.8969062292140058,2.0955641893754495,-3.8931414385087333,4.091799398670177,0.9490781559947375,0.9363752620511971
ISBC,0.42820935796600146,0.452562954699037,0.5594010178651218,0.5258289062271242,True,True,73,78,0.8589220514563461,0.8883010708833091,1.3806955485329437,0.07999105544533874,-1.300704493087605,1.4606866039782824,-2.681400041620549,2.841382152511226,0.8584776788023901,0.82117055973011
BNS,0.24015608021864804,0.23707356425528361,0.6304833094177632,0.6388727263831209,True,True,95,94,0.40235534784626287,0.40301247004368285,1.1690528404832379,0.07191345950299513,-1.0971393809802428,1.240966299986233,-2.2661922214634806,2.410019140469471,0.8946701335220716,0.892069265058272
MS,0.2877759218944598,0.28519520579760294,0.7736063786260854,0.7711501385830875,True,True,82,83,0.5625656844903755,0.5520088577911594,1.6660490057653763,0.08790531511610786,-1.5781436906492685,1.753954320881484,-3.2441926964146446,3.4200033266468606,0.9377401231307815,0.9364288933141561
CFG,0.274650302021531,0.3284789690715827,0.7874031029395392,0.7572228494961817,True,True,71,73,0.5962836247103321,0.6630419846263276,1.9920214750081313,0.11404948008433613,-1.8779719949237952,2.1060709550924672,-3.8699934699319263,4.098092430100599,0.9332269429976172,0.9137963066810798
GS,0.28254277979836073,0.2842822771473048,0.8029562284375484,0.7985794987841626,True,True,79,83,0.5525860395510243,0.5441054629221161,1.4509439788155674,0.06304927453310714,-1.3878947042824603,1.5139932533486744,-2.8388386830980274,2.964937232164242,0.9178858883200841,0.9181610980871522
NYCB,0.35745374262974566,0.36835058761443845,0.535451956285852,0.5203420606632274,True,True,77,75,0.6944725963471645,0.7258250683947635,1.2488900506133116,0.07211260071955101,-1.1767774498937607,1.3210026513328625,-2.425667500507072,2.5698927019461744,0.8487731074778857,0.8452396166692566
BXS,0.37551890620005746,0.4152421008356285,0.6956827484799477,0.6595808027858108,True,True,74,79,0.7568319576266643,0.789269381550845,1.5451406077968728,0.05129485261234751,-1.4938457551845252,1.5964354604092204,-3.0389863629813982,3.141576068206093,0.8499769234143699,0.8174350915236184
CADE,0.3755192232672292,0.4152306875386185,0.6956494393331886,0.6596237050879736,True,True,74,79,0.7570372480109662,0.7890248107765793,1.5450914568628387,0.05149258865767417,-1.4935988682051644,1.596584045520513,-3.038690325068003,3.1416755023833516,0.8499969298030359,0.8174654746549133
RY,0.18370711604488957,0.2188271076245509,0.7171303575769117,0.6267583614131802,True,True,84,78,0.3377624971242287,0.40505671714294894,1.087235306012345,0.0360087041499589,-1.0512266018623861,1.1232440101623038,-2.138461907874731,2.210479316174649,0.8996606539704014,0.8747240365403913
UMPQ,0.3886154870574636,0.3980657832568799,0.6545358671744133,0.6454749610435634,True,True,75,75,0.8190987008641739,0.8320245772227769,1.545954042008739,0.07442125806957432,-1.4715327839391648,1.6203753000783132,-3.0174868259479037,3.166329342087052,0.8985363948943279,0.8932110398027635
RF,0.27300955639966656,0.3035412919587601,0.7662212675276665,0.7441907416070783,True,True,74,80,0.5579214729374911,0.599631216791096,1.8258290571355935,0.08393111045958808,-1.7418979466760054,1.9097601675951816,-3.567727003811599,3.735589224730775,0.9295050134916729,0.9133227536786596
ZION,0.42331393504673887,0.4932321714017182,0.680947805492925,0.6237013553264603,True,True,72,81,0.8688044106779313,0.9192640921560971,1.5239386191112685,0.05470393322519614,-1.4692346858860723,1.5786425523364647,-2.993173304997341,3.102581171447733,0.86834267225299,0.8263411296338712
FHN,0.3415870672908962,0.36193255910042554,0.7503863011888898,0.7317652613695242,True,True,80,89,0.648706952708128,0.6581464819649608,1.761510418825461,0.15824108351585103,-1.6032693353096101,1.919751502341312,-3.3647797541350712,3.681261921166773,0.8922372916463421,0.8633488420587476
