,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
RF,0.275896333518783,0.31360946112891813,0.7482030561232477,0.7149703327285579,True,True,73,76,0.5697877288336015,0.6358042872388614,1.8311233926147223,0.08612868875896178,-1.7449947038557605,1.9172520813736842,-3.576118096470483,3.7483754739884065,0.9274567545148149,0.9137534939129193
CFG,0.2844249079283342,0.32914260947691865,0.7617913869376594,0.7423635496191511,True,True,75,71,0.5706193262051403,0.6682370053978185,1.9951677527064977,0.11370734348932798,-1.8814604092171696,2.108875096195826,-3.8766281619236675,4.104042848902323,0.9389833779710132,0.9167242305431866
STL,0.30504951758192544,0.31050141469480025,0.8562470657904695,0.8608410056522857,True,True,88,91,0.5399468746152799,0.5271871205800159,2.046557351881244,0.12174201293402216,-1.924815338947222,2.168299364815266,-3.971372690828466,4.21485671669651,0.9081929757512978,0.8742088722075965
FHN,0.3407668757597767,0.36368211083360064,0.7283283513616037,0.7044893179485741,True,True,80,86,0.6550210881673572,0.6726338786033008,1.7638107794214006,0.1644287958158494,-1.5993819836055512,1.92823957523725,-3.363192763026952,3.6920503546586505,0.8861141683341859,0.8620203751899491
MS,0.2909853220634412,0.2928907386393835,0.7643263435134546,0.7607542435642365,True,True,76,78,0.5952763599891263,0.5839260794154254,1.6643952933667612,0.08843041816283538,-1.5759648752039257,1.7528257115295967,-3.240360168570687,3.4172210048963576,0.9429479133990759,0.9393354503889237
UMPQ,0.36449189157321016,0.3957969327738914,0.6686657933188991,0.6344185798092158,True,True,72,70,0.7838825410132496,0.8561458072175119,1.5513129774960672,0.06829868649905409,-1.4830142909970132,1.6196116639951212,-3.0343272684930804,3.1709246414911885,0.8963292597770315,0.8906714269126358
CMA,0.30376210209846444,0.3618437506268383,0.8582116637111801,0.8115492617001916,True,True,79,87,0.572843667367724,0.6363853360463653,2.0428504243664847,0.10122343804938447,-1.9416269863171003,2.144073862415869,-3.984477410683585,4.186924286782354,0.9197096148176049,0.8842419933806476
FITB,0.3035892301047483,0.3253677650605634,0.8065219949629079,0.7781196157630339,True,True,87,76,0.5561943984761623,0.6377412417246898,1.785439885995685,0.11218546893247022,-1.6732544170632149,1.8976253549281552,-3.4586943030588997,3.6830652409238405,0.9103836243579563,0.9038087098071333
FBP,0.3893533932456708,0.34859210452562167,0.7556099331265488,0.8173231368285265,True,True,81,92,0.7105534704872881,0.5959740639368603,1.9883666100238422,0.06996455723407027,-1.9184020527897718,2.0583311672579123,-3.9067686628136142,4.0466977772817545,0.8719985334965993,0.8636063766646309
RY,0.17763945267236783,0.21567686493453345,0.7099957030009951,0.597229700754825,True,True,82,78,0.32924786333187095,0.4011328652146156,1.0905763452147879,0.03408146704046968,-1.0564948781743182,1.1246578122552575,-2.147071223389106,2.2152341574700456,0.9028581665696997,0.8768340014840723
FNB,0.25243353447528083,0.3186196083216325,0.8586095894579394,0.818610582776486,True,True,74,90,0.49098689543935753,0.5467530950719086,1.8294631663151741,0.07778066564664604,-1.7516825006685282,1.9072438319618201,-3.5811456669837023,3.7367069982769943,0.9326704025043213,0.9103298832077127
