,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
KEY,0.26994948380829237,0.2985665263491139,0.8519835022704331,0.83024715876526,True,True,83,85,0.49445727899789127,0.5271027201925295,2.008123559903233,0.0949604224810669,-1.913163137422166,2.1030839823843,-3.921286697325399,4.1112075422875325,0.9542990504215042,0.9426962451666886
FHN,0.34627655155915976,0.36348675145800563,0.7220141053433297,0.7037155843085094,True,True,83,86,0.6504515305237699,0.6718374660718678,1.7650526761634866,0.15975586726153296,-1.6052968089019537,1.9248085434250195,-3.3703494850654403,3.689861219588506,0.8789315718236088,0.8619886252176898
JPM,0.23386056548123885,0.24869900043283422,0.8395364548935293,0.8188285920265916,True,True,77,78,0.4576296508043764,0.4881979729635337,1.6434035357148158,0.058494666650143516,-1.5849088690646722,1.7018982023649594,-3.228312404779488,3.345301738079775,0.9525896150896711,0.9484813042969753
C,0.29616257235655225,0.2794506604734663,0.7581622578897016,0.7746314292699396,True,True,77,77,0.5843404487562947,0.5665794089545453,1.9534514148831938,0.11683963115603886,-1.836611783727155,2.0702910460392325,-3.790063198610349,4.023742460922427,0.9395768136230198,0.9393946960062989
CMA,0.30511442481618567,0.3674298713790639,0.8632314530172276,0.8090525997709218,True,True,81,89,0.5518472678404143,0.6355444388060822,2.0460314786755105,0.09594426224614412,-1.9500872164293663,2.1419757409216547,-3.996118695104877,4.188007219597165,0.9125947422878844,0.8840829490825873
FRC,0.27856616280486873,0.2778050373696714,0.6982597267540034,0.7092298187306056,True,True,80,80,0.5104922375669112,0.5060861613318177,1.353472603374355,0.05948001722127337,-1.2939925861530817,1.4129526205956282,-2.6474651895274364,2.7664252239699834,0.920191549928006,0.9141008649334781
JEF,0.34476178413297087,0.340483783392851,0.5842811756530797,0.5967319002151013,True,True,72,77,0.7105894127742167,0.6778548287458565,1.6269744983632466,0.084157078497225,-1.5428174198660216,1.7111315768604716,-3.169791918229268,3.338106075223718,0.921207790299532,0.910151789702562
HBAN,0.34749387775220797,0.37089209996931755,0.7500553780034944,0.7309502046621545,True,True,80,82,0.6569575616115261,0.6678812422814949,1.6975514074676028,0.10157972456968462,-1.5959716828979182,1.7991311320372874,-3.293523090365521,3.4966825395048904,0.8929294107891275,0.8789055125560016
PBCT,0.40078386965911456,0.41570938860947293,0.3993270363578383,0.3626922521261725,False,False,64,70,0.8670039752861083,0.8653033828665296,1.4485988072385814,0.07447280824268034,-1.374125998995901,1.5230716154812618,-2.8227248062344823,2.971670422719843,0.8827880925842554,0.8721384319816524
FNB,0.2699280063560444,0.3293975936147385,0.8444309220408346,0.8052024542248426,True,True,75,89,0.5312641798210829,0.5657122562292543,1.8349305979214436,0.0771754604493283,-1.7577551374721154,1.9121060583707719,-3.592685735393559,3.7470366562922157,0.928543798373124,0.9102128444460628
ZION,0.4236819302914443,0.502493253485721,0.672398042642301,0.5991712498792579,True,True,73,79,0.8590177832912671,0.9238486361575177,1.5302297488731087,0.0631655812188413,-1.4670641676542675,1.59339533009195,-2.997293916527376,3.1236250789650586,0.8666818592285298,0.829881736174579
ONB,0.3976628890750586,0.4534183126428655,0.6004117595355157,0.5353517495945208,True,True,70,77,0.8368673585701214,0.8816316648966174,1.3552342026037403,0.05382469305662266,-1.3014095095471176,1.409058895660363,-2.6566437121508577,2.7642930982641034,0.8257200137148202,0.7970157631226317
WFC,0.3126537014571315,0.3008587060422146,0.7754172950163987,0.7737641625385034,True,True,74,71,0.6430720219904585,0.6343324303291134,1.6927758937776787,0.0875811026670946,-1.6051947911105842,1.7803569964447732,-3.297970684888263,3.473132890222452,0.9046242605753453,0.8963459827386087
CFG,0.27609319289966444,0.33441608415699337,0.7787736327299959,0.7404126689719527,True,True,70,69,0.5818022070399437,0.6857869789715629,2.0013637281519974,0.11371484870390808,-1.8876488794480892,2.1150785768559053,-3.889012607600087,4.116442305007903,0.9334217620830605,0.9166310462451395
STL,0.31585422863917145,0.3145140699263143,0.8521964984520377,0.8590668611192219,True,True,89,91,0.5456483679305943,0.5325454258549821,2.05023362912858,0.11766975124750027,-1.9325638778810796,2.1679033803760803,-3.9827975070096593,4.21813700950466,0.9025277278542732,0.8741109679343559
