,RF,CFG,STL,FHN,MS,UMPQ,ZION,CMA,FITB,FBP,RY,FNB,USB,JPM,BXS,VIRT,TD,PNC,ISBC,ONB,FRC,HBAN,KEY,ASB,C,NYCB,JEF,WFC,CADE,SBNY,VLY,BNS,PBCT,GS
RF,1,0.8652345602039284,0.849988144330949,0.9437246944998688,0.9692075482718595,1.0774596512703034,0.9733741920177603,0.8410825751377807,0.9674334772585962,0.7953240182961936,1.471120681297934,0.9205199688521656,1.028089694204511,1.0280078019376773,1.0519945965714594,0.3000110245596817,1.3377782713054693,1.0634409925197832,1.057522889104131,1.1116679098379456,1.161933602107603,1.0005503275690677,0.8722396351416883,0.8922005134328861,0.8708173353293275,1.2207966909333432,0.9003370495738515,0.9666842453288559,1.0520245920610098,0.9202055589203282,1.0389392987875203,1.3825693653193065,1.0225512846990954,1.1355753933717643
CFG,1.0366660145116462,1,0.9300600438757238,1.0528789432365715,1.0529336803466482,1.1618724533808344,1.0739957782916847,0.9186263281875342,1.0558406647602017,0.8808130251889257,1.6132046646807834,1.0232479652503443,1.1241502098543745,1.1311503801936196,1.1304733099783244,0.36954565536250555,1.4584499116833431,1.1561619860826047,1.1401450897631276,1.2173894811293038,1.2626166462652246,1.1052982194817815,0.9569164272749981,0.9600484689264962,0.9583857712996154,1.324740467041675,0.972853037811314,1.0571917160632782,1.130541961249032,1.0156087492556096,1.138985291416287,1.5213857926448207,1.115912544581346,1.2280479347791007
STL,1.0366409003147585,0.9535292203919673,1,1.071498513853183,1.0404799749133475,1.2010793345488073,1.0830967414579797,0.9300770566573896,1.0676271949108176,0.881484468537073,1.6043948443627143,1.0295286176419411,1.1173682634826805,1.1219987537059928,1.189147839002813,0.35503562515936204,1.447124567182914,1.1565198708432527,1.1873139844230673,1.235070595686415,1.2703293001305818,1.1130445659870507,0.9544471100898018,0.9927878021473716,0.9629556345951514,1.3571894606043922,0.989041795806815,1.0689088399506563,1.1891934740000414,1.0441262503338637,1.1707723783907282,1.5175995388320591,1.148117248011703,1.2230546813540297
FHN,0.8816952776752962,0.8195069656768283,0.816752569577437,1,0.8814049798220839,1.0172007776578496,0.9097052126738998,0.7946228678914095,0.9143027444429288,0.760394250627752,1.3760709376505722,0.8830769304977472,0.9629663188922619,0.9579942156828598,1.005144823765508,0.3089023656537269,1.2471969685766824,0.9934419061673463,1.0122683455156467,1.06578800456221,1.0838710060811036,0.9531034653695065,0.8158796622460016,0.8275824281366421,0.818999731871213,1.1465623253646013,0.8443306578434864,0.9111311476998758,1.0052148287517502,0.8866409614380198,1.0042217347718347,1.2875570358129464,0.966420479758126,1.0437534079228319
MS,0.8304026019249449,0.7574319607857938,0.7293182560487481,0.8187387863776916,1,0.9351108171043314,0.8510334138564448,0.7255159098537632,0.8478273623921568,0.7057982678408988,1.3852597646620615,0.8108185679175668,0.9144775320329575,0.9474549499566983,0.911859394829801,0.2772578187563008,1.233485648734879,0.9491334467267661,0.8989147719902602,0.9659378542313476,1.0516934933071247,0.8826359515526491,0.7629391297463459,0.7787773727113539,0.8006259938572755,1.0860927702621117,0.826983597854978,0.8579144171565262,0.911928704025789,0.8076977189661332,0.8972739936542905,1.266802670582617,0.9027744750640079,1.0881871228972428
UMPQ,0.7789471978617742,0.7052138870924739,0.703115444561821,0.7913318281371312,0.7898818873755246,1,0.8152141503018727,0.6910971505820267,0.7936422685793674,0.6685432985145444,1.2399647978981923,0.7730404903144519,0.8482611302041377,0.8471794561874552,0.8860174087702575,0.252714275298288,1.1236487765052119,0.8676149862114483,0.8737691303681965,0.9279482746775723,0.966427563693701,0.8359162314416316,0.7148992433970567,0.7444672253747984,0.7214732200978775,1.0226010286763032,0.7458038311359417,0.8003474278563594,0.8860719527540887,0.7691593165039876,0.8789516692233734,1.1592384538462288,0.8428131382245192,0.9350617498199462
ZION,0.7471474268324417,0.6825988982739629,0.676402262976676,0.7529567844452891,0.754044769441323,0.8609608226977751,1,0.6803464372895278,0.7644501336210079,0.6627058490794497,1.1267649915708648,0.7387761555510196,0.8138765538193785,0.8274706463957264,0.8560728020408997,0.2489409138575932,1.0256713095099588,0.8271630430687009,0.8657896845431214,0.9134270201646096,0.9529312670529301,0.8198632799530995,0.6893875580032018,0.7044174033622908,0.6831904906984867,0.993521370767868,0.7168768867616662,0.7706518173760436,0.8561036010277643,0.7553649107495687,0.8515588611969405,1.072527984024898,0.8477856905220987,0.8823989422149737
CMA,1.037031845240365,0.9503425281680001,0.9368103037578056,1.0517506873409108,1.0425600198776246,1.1879683222623294,1.0986352439453704,1,1.0588067522021263,0.8989431127343521,1.6035884228661037,1.0256520371163327,1.1372712524085737,1.1343800355048483,1.1565075826040394,0.3726117481413966,1.4503951752147115,1.1620506291916857,1.1812836975261132,1.2193810379510523,1.2804746503985345,1.1203848812352737,0.9649773178419845,0.9656062481611009,0.960469195129424,1.3840309276904903,0.9898066905421787,1.0684484907105973,1.1565509015423292,1.0330199630157189,1.1510213269750125,1.509340485401708,1.1480910502975394,1.228319684679865
FITB,0.9054249553727142,0.8272534699783867,0.8139087058867874,0.9172249292615503,0.923156754748502,1.0262006950380866,0.9257530060874445,0.8039522135527515,1,0.7726558697702094,1.4360641987714369,0.8881260649699195,0.982936110568408,0.9912242010575023,0.9947098672571968,0.2921644169047547,1.2866713691542917,1.0028557635814932,1.0092303415765247,1.077047502728357,1.1130013373810246,0.9726702074792289,0.8390963040029242,0.8456320337821974,0.8420959726980134,1.1830031812149677,0.8671073653354313,0.9190836344697197,0.9947626257021233,0.8970716478231451,1.003444586196949,1.3415850152394582,0.9984495801532902,1.0903495532287182
FBP,0.9599445797179379,0.8826825229242257,0.8672837043751984,0.9816328741138224,0.9842156230163911,1.1139193259897031,1.0374609178170877,0.8782682276175257,0.9925390276784157,1,1.5521376982265074,0.9918335460456994,1.0800864523703657,1.0782672752791924,1.10370118456705,0.41577428030844077,1.3879486712094784,1.0867987362144764,1.1250797879109682,1.1832619864283678,1.195424585522539,1.0557680701667238,0.9106580817675902,0.8860098340597234,0.9112488795183736,1.343268104628572,0.9397492322397857,1.005629037695134,1.1037315744021547,0.9746130085824145,1.082706195660954,1.4519399699679247,1.0660435225122393,1.1691777559822427
