,ONB,VIRT,CMA,JPM,BNS,ZION,STL,SBNY,HBAN,UMPQ,PNC,ASB,FBP,JEF,WFC,FITB,RF,BXS,KEY,FNB,TD,FRC,C,GS,CFG,FHN,VLY,PBCT,CADE,USB,NYCB,ISBC,MS,RY
ONB,1,0.11210804403506631,0.8886831986648578,0.8710344029396638,0.8311516954987809,0.8564657750354857,0.8970426819378695,0.8341240115890398,0.8824900878654877,0.876291620372547,0.8945426106237131,0.8710404237797136,0.869866677615938,0.8269326448339714,0.8536217350176967,0.8996360305464883,0.8914934315275157,0.9110624017037532,0.8937850341057431,0.8963658652996142,0.8240285693024864,0.8698705728009988,0.8800678766306576,0.8795650159106578,0.8811160575406052,0.8787930474857204,0.8964593163614168,0.835617864750955,0.9067036545853775,0.8785624537191916,0.8492838261756586,0.8297525285173336,0.8681993025700597,0.8234374887375924
VIRT,0.24899472398026484,1,0.28088189863803525,0.24135462329139026,0.22576820512240628,0.2375589219053742,0.26134647800471256,0.29443694245556506,0.27299146224846516,0.24975354711023579,0.2258843867014008,0.12338965292534872,0.28866831026359135,0.20397347049350384,0.24366813176042024,0.24213014191051718,0.23737311038869346,0.22061761934065172,0.26435862763735785,0.2566570552046993,0.21039771019021225,0.21539043520345819,0.23496014108304644,0.24928245842428226,0.26151112583832775,0.26340515351256405,0.2455780958428866,0.25700841275699143,0.2155059487885305,0.22487765803335033,0.2856637526706187,0.30476142231021147,0.19886532068182267,0.19344702337954015
CMA,0.8578192276458131,0.1979686724816093,1,0.9297373376505622,0.8882438086462668,0.8941425201324018,0.944861471544799,0.8807575097475144,0.9422323814278932,0.9248515476769334,0.9430207972978364,0.8925014256225536,0.9002341796976944,0.8538715093353886,0.9209208456522348,0.9393320654422315,0.9468026884544198,0.9133206475974616,0.9552171051113129,0.9367774436411822,0.8819254397008607,0.8960321959177747,0.9288468384463268,0.9063022209892619,0.9462361683249003,0.9287456884952204,0.9041941831214445,0.889826175282809,0.910132503432367,0.9448662974896405,0.8897693604886281,0.8694015210953634,0.8928041409406113,0.8804635358653231
JPM,0.8417577277094968,0.15623406644269794,0.9241135148775731,1,0.9120030079004765,0.8593490132318503,0.917608486020882,0.8543836018408623,0.9293613134451613,0.9087428289784096,0.9504905533737511,0.8974676924831921,0.8938198327972298,0.8517902005526631,0.9237253511540652,0.9298340311058751,0.9344322622665601,0.8822782165946791,0.9491093559811645,0.9281638816289401,0.9104032483208457,0.9089490404527799,0.953936336173625,0.9377487839892168,0.9356329026754787,0.9022448739890839,0.8881446220031992,0.868259933554757,0.8785864439359563,0.9589026667754044,0.8767795441925827,0.8382949533127502,0.9312465929384676,0.9176017349262646
BNS,0.8163128481075831,0.1783029290419224,0.879193260203404,0.9082188359538468,1,0.8007605327590139,0.8885887052316822,0.8411927461080575,0.882916071547852,0.8854414964429447,0.9057169556633454,0.8730877768177538,0.8640614064761806,0.8339595211075006,0.8761662458222631,0.9069733614190976,0.902159370428424,0.8506344203840049,0.9215535864731994,0.899660426285626,0.9590859755463527,0.8619090335025883,0.919773935757618,0.890041712982548,0.9000505776492059,0.8655306596861578,0.8525681889879406,0.8187910126052657,0.8475212722819657,0.9212149428551782,0.861909563056754,0.807534597447101,0.8925486550337578,0.9578990989971303
ZION,0.8541806162393405,0.17255124983437858,0.9246301798708997,0.9005063796534037,0.8459763988439405,1,0.9130562025701434,0.859983747185868,0.922435544057503,0.8949467085424728,0.9097616615844449,0.8709420114527496,0.8753514335354707,0.8424462315656412,0.8959894553841855,0.912406475486789,0.9153461154633061,0.899590302626924,0.9190459932157359,0.9095948085198392,0.8402561037504258,0.8862920119529032,0.8959159578389528,0.8886469321435786,0.9104126030848121,0.891595741465601,0.887325403202071,0.8723863481207597,0.8963806576536203,0.905541015003483,0.8522870378548769,0.8462193469208117,0.882185061099061,0.8399070266403211
STL,0.8709772930769777,0.20033421408158666,0.9404079805937504,0.9165787236240222,0.8885253972864192,0.8786392371202961,1,0.8831851301693342,0.9339176332218155,0.9283138918442114,0.9350081656288137,0.9111268573985496,0.8801565270402224,0.8548325542091808,0.9184519397134089,0.9427739336464153,0.9496912840815287,0.9338769444298826,0.9462690792695988,0.9362080253252167,0.8732323336708057,0.8909559975107452,0.9328133559734324,0.8961925769142235,0.9448999288318921,0.9398836040355578,0.9140769887027622,0.8849891078503156,0.9292542177944653,0.9291144737514281,0.8711033579657337,0.8712901644386432,0.8929009266756027,0.8774829300077619
SBNY,0.8440377379356045,0.22383354072806755,0.9073934217478145,0.9002296272642575,0.8788895721570265,0.8493278222074754,0.9202927090420011,1,0.904736286690852,0.8882890358787661,0.9038682781389832,0.8610588700139574,0.8795660407522538,0.8301286786909678,0.8916812571256586,0.9158579104159928,0.9050004244742293,0.8738656188775905,0.9221433694525921,0.909094517907483,0.8654187460936936,0.8734600922802482,0.9142209047336869,0.8897399405808067,0.9053082360290494,0.8985795279098127,0.8776257452206918,0.8619800255710992,0.8708901851893974,0.908083152865796,0.8672388254399356,0.8402210760933521,0.8770384126444225,0.876791621903808
HBAN,0.852922028354384,0.20816626055240126,0.9402544696304533,0.9241854567528637,0.8845743054637063,0.8841264243289318,0.9360308916382702,0.8635989671925147,1,0.9178976185919682,0.9347282900298156,0.869260077741099,0.898080535548324,0.8470484776696885,0.9085971055733648,0.9419977823603929,0.9365414321872426,0.8982589844280546,0.953336609561758,0.9297319516497059,0.8777842527265929,0.8895533034684505,0.9262013959716546,0.9014893993136053,0.9358690176889742,0.9188418060883624,0.894589480906615,0.8869079504444353,0.8949220782446778,0.9362606847270794,0.8814299546833751,0.8671256198010636,0.8985781905803033,0.884333081903271
UMPQ,0.8697273408847955,0.17782625253776557,0.9337866631664391,0.9241118740761685,0.8985734273768783,0.8765732162801088,0.9408399065437333,0.8628194729483002,0.9304311014540133,1,0.9326662040558179,0.913307491372444,0.8923162755603642,0.8605442258635244,0.9140788459775674,0.9322339456352627,0.9472365161192496,0.9181309108243707,0.944829526027264,0.9330732381592133,0.8951406842562538,0.8971185423699645,0.9304650711136603,0.9086355164934415,0.9345104673419696,0.9235083078380795,0.914052303953507,0.8652190010818922,0.913459396773082,0.9346872468588425,0.8742791153671272,0.8535101302154995,0.8975641153648899,0.8960565722655013
