,XLF,DIA,XLI,XLE,SPY,TLT,QQQ
PNC,0.9679599844978233,0.9108741600324954,0.9120891644228999,0.8412525731301554,0.8726999849350721,-0.7373899014141078,0.7155140070907732
CMA,0.9400720958123284,0.8767015940437134,0.889057836166226,0.8327772510409573,0.8252252551931447,-0.6967312815006751,0.6693506154441247
BXS,0.904170080225539,0.8726438612044264,0.8884345873961281,0.8119966177372703,0.8238220591181507,-0.7188891150848598,0.6695539179005089
FNB,0.954837532610163,0.8904594125834987,0.9002492038072222,0.824780753224212,0.8402515227200569,-0.7262871660502159,0.6839298573813629
NYCB,0.9199092667361656,0.8630827926303559,0.8733670590557598,0.7918228309149172,0.8190188188677038,-0.657107811196681,0.6704174674693081
WFC,0.9457148887163811,0.8952350473610232,0.899768395960189,0.8329454482465859,0.8605451793701041,-0.6771001293838205,0.7314191219229257
ONB,0.8926940570243941,0.844847224151498,0.859634537319747,0.7988367195529893,0.8069094132729586,-0.7170666723720258,0.6428917448447277
MS,0.9678982137285843,0.940254048581735,0.9242150932803942,0.8309155167354281,0.9185196263928577,-0.7211550972504178,0.7892425499631271
RY,0.9352671609794038,0.9413609093559018,0.9296795936710157,0.843148262091054,0.9250730183052559,-0.6549679584292184,0.8141199619372527
STL,0.9356809817937172,0.879577024353024,0.9005218008108627,0.83221960540146,0.8317667040837592,-0.7154031929303619,0.6927796616282649
PBCT,0.933975915793103,0.883904312299056,0.8964585670658212,0.816235047705938,0.8392508720767443,-0.7060798464898612,0.6860238530683426
FBP,0.929699567806547,0.8823400468059069,0.8810200188061399,0.7812750391468937,0.8337276274736095,-0.6456752759548808,0.6815637494471447
C,0.9666560211173588,0.9179718707218643,0.9198667832491434,0.8344274439557499,0.8875828972183433,-0.7013254625249317,0.7542271263346201
CADE,0.904187903546749,0.8726571937456052,0.8884431280580883,0.8119900636829702,0.8238351057011077,-0.7188368486462675,0.6695655870581312
VIRT,0.23029044041002747,0.2114801600575665,0.20502489680935365,0.1579788641043533,0.17923906913416449,0.02772989936855979,0.15606631954527847
USB,0.9700968582398167,0.9179922486401323,0.9177597690076906,0.8433399376066393,0.8793353833561395,-0.6950764821661012,0.7279642110988062
HBAN,0.936564869017806,0.8860904788150823,0.88678678150928,0.800458510520712,0.8340258545508129,-0.6806472437954523,0.6890146256872189
RF,0.9557571466329151,0.9028297612964747,0.9129289712075893,0.8483695246625862,0.8610202018769113,-0.7298803087680892,0.7153961646085014
VLY,0.9097675115522904,0.8634656436165378,0.8823792118223074,0.8288179087114979,0.8106077243971351,-0.7376707170694355,0.6615420272873622
KEY,0.9677912003843886,0.9117352482884835,0.9141900971662975,0.8408449415805453,0.8660370501774498,-0.7118831286547852,0.7146236650787566
JEF,0.9520899690871739,0.9218722110609876,0.9351512995519284,0.8250099126941269,0.8979546610204872,-0.719489880952212,0.7711834921777321
GS,0.958269447909567,0.9246088258851773,0.9060089299240646,0.8178973316189231,0.898813064215239,-0.7166926668567564,0.7631805550651853
BNS,0.9448695768892273,0.925969187792597,0.922155402335094,0.8547864960778395,0.9069247959704774,-0.6431366495734303,0.7913653358217168
UMPQ,0.9451976283306138,0.8999291132083905,0.9081426039690587,0.8359696912516803,0.8602322711418442,-0.7171560553641545,0.7199314545887304
ISBC,0.9066722051661436,0.85720375531224,0.8764864058058011,0.8093203223319823,0.7970910464203389,-0.6483292505216439,0.6426518697714783
FITB,0.9486149379026986,0.9037495803794157,0.9093554895750686,0.8322093074793048,0.8692792852129603,-0.7071378361846535,0.7253782324688968
JPM,0.9729173616130795,0.9231789582363978,0.9067749855875549,0.8267985944680516,0.88840606422851,-0.7243638096164307,0.7473467086071024
FRC,0.9548890394174314,0.9143744425645493,0.9217381060715044,0.8261384611376673,0.877403738872793,-0.743760667910725,0.7348013652499513
CFG,0.9562071424198132,0.9008105025388643,0.9076893664540586,0.8463714569969046,0.858381815556428,-0.7277413416626627,0.7092231642064148
ZION,0.9090559354623032,0.8555104056310947,0.86694744011668,0.7979608363705496,0.7987824462887224,-0.7028376037550951,0.630906197890613
SBNY,0.9237642844587455,0.8851477168776684,0.8908932080945434,0.8085652915428968,0.8473141756816875,-0.6695270232703263,0.7015400543069973
FHN,0.9311159395279777,0.8870129437964821,0.898056993933371,0.8351203818423928,0.8373059771892537,-0.6891447726135912,0.6902129088537385
ASB,0.9274989878961171,0.8671780583093427,0.8844483187930913,0.8632653115068742,0.8293872121820044,-0.7465394474434787,0.6766323470028249
TD,0.9463716301161007,0.9319804016970543,0.9240317692860768,0.8676562587208736,0.9116142740832017,-0.6623828886237844,0.7973908830756156
