,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
JD,0.6628553654964559,0.7012440034455447,0.3009003124791235,0.29728283625854746,False,False,False,False,False,False,False,False,40,41,1.4526973132509928,1.4910394723211533,1.8850821835653973,0.051726165293446286,-1.833356018271951,1.9368083488588435,-3.718438201837348,3.821890532424241,0.5904768210868616,0.581662339689575
API,1.2050653933449094,1.1672049266428872,0.0615798993593043,0.23732097638234706,False,False,False,False,False,False,False,False,32,40,3.136661439960317,2.544455583861942,2.5559381158010255,-0.01089568178020816,-2.5668337975812334,2.5450424340208175,-5.122771913382259,5.100980549821843,,
VIPS,1.07428481755817,1.0765919909321804,0.35217369661968956,0.35044475619045046,False,False,False,False,False,False,False,False,39,39,2.284535894744482,2.290673933063763,1.6323767648679552,-0.037859844111809385,-1.6702366089797647,1.5945169207561458,-3.30261337384772,3.226893685624101,,
TCOM,0.8567724911200634,0.8147183145269739,0.27769362255949315,0.35610539131107244,False,False,False,True,False,False,False,True,42,43,1.7012780073219478,1.595825493442672,1.3313951163422129,0.21332390159617268,-1.11807121474604,1.5447190179383856,-2.449466331088253,2.8761141342805985,0.24960235512829176,0.2755301634561559
LI,1.009133115557486,1.102431184366626,0.6409157470061504,0.5831517131549255,False,False,False,True,False,False,False,True,47,51,1.8543283615630937,1.9468955372559935,2.3683835487723908,0.09280603527353251,-2.2755775134988583,2.4611895840459233,-4.643961062271249,4.8295731328183145,,
WB,0.8472956839153376,0.8432904344470286,0.12270029091455537,0.13699784097872614,False,False,False,False,False,False,False,False,24,28,2.7709620083097675,2.371265718378869,1.3285972163808784,-0.004106749521717407,-1.3327039659025957,1.324490466859161,-2.661301182283474,2.6530876832400394,0.44358395263172135,0.42349448302801007
PDD,1.023672222798031,0.9392404845737017,0.33998547538071655,0.40506406140195195,False,False,False,False,False,False,False,False,33,30,2.548479611284749,2.5862043110412163,2.6183752082721243,0.28994027290850316,-2.3284349353636213,2.9083154811806273,-4.946810143635745,5.526690689452752,,
GDS,1.0460958089422332,0.9933319408675662,0.4635365404525761,0.5063324213780239,False,False,False,False,False,False,False,False,33,36,2.659483916991445,2.390542059110368,1.7424901597922224,0.1287145591746196,-1.6137756006176027,1.8712047189668422,-3.3562657604098254,3.6136948787590644,,
BIDU,0.6794899422574879,0.7325748797566403,0.11173820414188307,0.09173980142302574,False,False,False,False,False,False,False,False,34,37,1.606476106007688,1.6410210583081206,1.9186478623369834,0.2527528522832539,-1.6658950100537295,2.1714007146202374,-3.584542872390713,4.090048576957221,0.4881718461282215,0.4449259572019456
XPEV,1.2937942574546744,1.3857607142997774,0.4459241977723404,0.4201491577678188,False,False,False,True,False,False,False,True,40,49,2.6450008459812837,2.4335628905951783,2.6943729364346662,0.18153592739654809,-2.512837009038118,2.8759088638312145,-5.207209945472784,5.570281800265881,,
KC,1.094825074413373,1.1775858029790773,0.5628450294306548,0.5269302142797232,False,False,False,False,False,False,False,False,38,41,2.464343819520009,2.5011245521936147,2.5650938152718017,0.12453766121900749,-2.440556154052794,2.6896314764908094,-5.005649969324596,5.254725291762611,,
