,API,QFIN,XPEV,TUYA,LI,BILI,VIPS,BIDU,CD,BABA,PDD,IQ,GDS,HTHT,JD,DADA,NIO,ZTO,TCOM,KC,WB
API,1,0.33335889441945893,0.34881815959790924,0.15013403558981703,0.5162884200964785,0.46714797604761865,0.5695338186367876,0.8814727238039655,0.5993274095637794,0.6655554880502534,0.48440150705025226,0.5381180160001501,0.447587507179857,0.49208345264068504,0.7685020539169466,0.1801314678420851,0.5049791027466385,0.5542720394685051,0.6522439401093474,0.1371779238675187,0.5238107107534419
QFIN,0.5608546733742944,1,0.7668879443615217,0.48013193700360546,0.9368146325153937,0.5891774749200289,0.6245059006948337,1.1810950297965488,0.72165038522222,0.8681320514012155,0.7011312581171115,0.8552695782314562,0.6743274830215944,1.0784526740598614,1.033739182325193,0.4825412285619911,0.9121475019160185,0.9986577796303777,0.8739711205539556,0.4974142344959299,0.6329946111063203
XPEV,0.3854376322115267,0.3779983476997869,1,0.39254235887602296,0.9141385271187855,0.35044973626366355,0.46911225794669503,0.7666051305075808,0.6776658584509855,0.49510284482776623,0.49420129428696447,0.6356506817891542,0.6471139867800846,0.8287873942767644,0.6323903850771231,0.5078438043660463,0.9406265463272875,0.6631690420830587,0.6442211606959987,0.4095642524474774,0.2814027225857948
TUYA,0.33168024490292,0.43922694032052445,0.6520870216137706,1,0.8092369983438545,0.34316545601452814,0.5728802199385679,0.712445482803619,0.5043680652330663,0.5765828961545292,0.3646629508817581,0.4565526167874033,0.780392171033389,0.9971308515555873,0.6246525910861032,0.6480843006941255,0.8884234283577462,0.6386144048634448,0.6037966357594712,0.6445042358880779,0.15045077666205267
LI,0.452031057972877,0.43815060603038747,0.8020488381748778,0.429133096537231,1,0.35068619130862433,0.4322247400095742,0.7506149061498829,0.6240513008790362,0.4780843472923565,0.44856636872825495,0.5924928280859066,0.6229387342358509,0.8976951782504176,0.6196158510775421,0.5205905667979404,0.8848835609352628,0.6504066385386736,0.5993381426846957,0.4362909690374227,0.27148012675666855
BILI,0.5963080981125808,0.4459756012762846,0.43210279597748696,0.2067287447723903,0.5173734402479291,1,0.7369301209028652,1.3628022270787912,0.9302762708668925,1.164046264011237,0.7719220315828467,1.051667120752232,0.6381849490519615,0.7233232733768026,1.1883847518269897,0.27610583203580547,0.5565487424393482,0.6201439166761954,1.039859970424669,0.3801131610617842,0.6760494404567834
VIPS,0.3738088436381366,0.26390547233277556,0.32294805451837283,0.23398346399699876,0.3499855831803871,0.4110198691808219,1,0.8087997244369891,0.6634735001682754,0.7381968310621999,0.572488140954194,0.7170076762704337,0.4357517672126545,0.4450248122757912,0.8417910089686045,0.21638159895129996,0.44347803706726513,0.45483742817617157,0.8034047325321423,0.24551349565179098,0.4020509333572769
BIDU,0.35204589966668964,0.2686698765873005,0.2891553601439853,0.1585958884029528,0.34211773681696833,0.4299468932005163,0.470439312343722,1,0.6233982708058572,0.6769685147987577,0.49915710154384063,0.6694775989710892,0.4291739664931519,0.4488947714986162,0.7543744034484468,0.1779221320282994,0.3397464443699705,0.5454649414698679,0.6314018541432931,0.18067918392952767,0.377518976813539
CD,0.2246154163487717,0.20056095511171182,0.2779596288320219,0.08699234116829754,0.2750888462213313,0.32258197125113347,0.3570962341435578,0.6437261749757804,1,0.4953288671096021,0.3900187531910091,0.539533812732876,0.34815018706403655,0.4414594577564408,0.6178782294282626,0.12395109515401388,0.21486333247867626,0.37900180085065965,0.6407413910513547,0.1957309632981708,0.3586249160041465
BABA,0.29535935161163646,0.25212412152720415,0.26665412907299196,0.14237272127899087,0.27012938388932684,0.42313816245714536,0.5042519037451871,0.7524593970538147,0.5448729446820785,1,0.4876751424841504,0.6456230416849766,0.3929608996745639,0.4005834865049285,0.7119071852314272,0.14571893582001,0.30606518830485974,0.4447501305132828,0.5647395929774097,0.23319191102816902,0.4346981321035808
