,QQQ,KWEB,MCHI
API,0.49960362800119124,0.510867802635297,0.4258481181069744
JD,0.522018462775023,0.7627611675086859,0.7213790947070271
GDS,0.6427782010984969,0.8010256428719068,0.7396123897495636
VIPS,0.41014534510066913,0.6655806628850668,0.5897385178740087
PDD,0.5409359630793484,0.7268401404225658,0.6582399618071966
LI,0.6280454862757412,0.6825046531052725,0.6348089752041819
DADA,0.6220285466777612,0.7710747022809356,0.7243321388551613
WB,0.5196840715724858,0.6519127664741098,0.5913166606909854
KC,0.5995632592410944,0.7394743872288683,0.7012379081592458
BILI,0.46476659880758087,0.7277666498555316,0.6974119248207895
HTHT,0.554740332031558,0.7416851537477968,0.7079615436493126
IQ,0.36394222363038636,0.5820264020503633,0.48421216967268194
TCOM,0.2916769288960989,0.5419077734869725,0.48799374293027464
BABA,0.36775774744590056,0.6730522539503854,0.6300895798219245
QFIN,0.5545659032571891,0.7483231234582123,0.7151993493359792
ZTO,0.5814663345637845,0.6972400345318602,0.676547245496375
NIO,0.6604138989472427,0.6937234425799753,0.639982472115732
XPEV,0.6184634987795465,0.612028296335408,0.586462288795042
CD,0.32721291962377747,0.5548561185529326,0.515205250372329
BIDU,0.5286632706232152,0.6767279834966837,0.6570639219846807
