,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
DIS,0.36620394076270985,0.35445450081669383,0.31805088142027216,0.3405349453184089,False,False,False,True,False,False,False,True,33,34,0.9012113410540273,0.8713959957742489,1.379302068908882,0.06584623994471278,-1.3134558289641691,1.4451483088535948,-2.6927578978730513,2.8244503777624765,0.7918399143618751,0.7965746304333171
MMM,0.3306289709916379,0.3327890754161625,0.24901814549497014,0.25552810570926343,False,False,False,False,False,False,False,False,29,28,0.8939085711185997,0.9135327275730761,1.030674331078373,0.08697693973775028,-0.9436973913406228,1.1176512708161233,-1.9743717224189958,2.1483256018944963,0.7104143453899252,0.7485762120322077
MCD,0.2637237993804803,0.2657233841078377,0.04309456292293645,0.06351949069489826,False,False,False,True,False,False,False,True,39,39,0.5503775168732155,0.5506549431723188,1.089760957491324,0.07326161027452019,-1.0164993472168038,1.1630225677658443,-2.106260304708128,2.2527835252571684,0.8281623170571661,0.8433436290756406
PG,0.30089838648647493,0.29607786983364726,-0.18090894845799488,-0.06109632477416982,False,False,False,True,False,False,False,True,47,42,0.5851154509925298,0.5816599502813795,0.8492322172196514,-0.021516193853694528,-0.8707484110733459,0.8277160233659568,-1.7199806282929972,1.6769482405856082,0.641144558013307,0.6330842178475724
HD,0.3007100125395315,0.2959057679245372,0.2771892751501578,0.3496195933350622,False,False,False,True,False,False,False,True,39,35,0.6312409630168399,0.6643735920177243,1.1909552010321602,0.046884264238292686,-1.1440709367938675,1.237839465270453,-2.335026137826028,2.428794666302613,0.8446635034063884,0.8505639478885585
DOW,0.4048577709477183,0.40175911476170845,0.5983400420915745,0.5976229773393491,False,False,False,True,False,False,False,True,40,41,0.8194274474423306,0.8042524944960282,1.9160457929023023,0.11318241746715915,-1.802863375435143,2.029228210369461,-3.7189091683374453,3.9452740032717637,0.746615280864616,0.7509904904808422
V,0.2737099785648573,0.2943261892313653,0.30908382726109207,0.3146679666647164,False,False,False,True,False,False,False,True,37,44,0.6073311409393549,0.5859797300118761,1.3199863674257797,0.10347120326933203,-1.2165151641564476,1.4234575706951118,-2.5365015315822275,2.7434439381208913,0.8884980048158423,0.8850263806249107
VZ,0.22242163897423045,0.21953205344307652,0.22277240928069875,0.23475406317996317,False,False,False,True,False,False,False,True,41,40,0.4782117408560028,0.47809018633877776,0.6595911300296282,-0.005770669677585607,-0.6653617997072139,0.6538204603520426,-1.324952929736842,1.3134115903816708,0.6082824310540533,0.6255091643398549
MA,0.37396273593003165,0.4013228921460402,0.11256664902787028,0.14605282578639767,False,False,False,False,False,False,False,False,33,31,0.9209668493753848,0.9645175806731312,1.5056143791175534,0.11963331778350413,-1.3859810613340493,1.6252476969010574,-2.8915954404516024,3.130862076018611,0.8373943351290215,0.8609610824956934
BA,0.6285085107056497,0.5589601508720092,0.23561472380946913,0.24630578337154618,False,False,False,True,False,False,False,True,29,30,1.6325593791877981,1.4844776197117662,2.4929340518830996,0.1759271865243098,-2.3170068653587896,2.6688612384074095,-4.80994091724189,5.161795290290509,0.7242151665557266,0.6970616760328419
AXP,0.4360600241993339,0.4446310012018111,0.19607095638550465,0.15832519771170372,False,False,False,False,False,False,False,False,31,33,1.1633605108041716,1.1450275355174682,1.786770654708706,0.08436038002035545,-1.7024102746883507,1.8711310347290615,-3.489180929397057,3.6579016894377676,0.8485153566472003,0.8650383434451524
JNJ,0.30446713248269486,0.3053099613988991,0.2245417717433238,0.20928878736966927,False,False,False,True,False,False,False,True,36,35,0.6698506797772963,0.677679649282063,0.8592827426254577,0.04870554115356024,-0.8105772014718975,0.9079882837790179,-1.6698599440973552,1.7672710264044755,0.6255672191228543,0.6578540344595674
HON,0.374033011848528,0.3612856061149408,0.27940157758547746,0.3398278652999325,False,False,False,True,False,False,False,True,40,37,0.793514344802311,0.78924650525082,1.3587527489225575,0.04532631193089553,-1.313426436991662,1.404079060853453,-2.6721791859142194,2.7628318097760105,0.8729703052280141,0.8831754372767414
