,MA,VZ,BA,HD,DIS,AXP,MCD,JNJ,MMM,HON,DOW,V,PG
MA,1,1.1929595015605068,0.40877376597066134,0.9517190485958931,0.7202771460491328,0.6822686851036129,1.1083185672775206,0.9681312377375451,0.7805983357352874,0.8947331495647203,0.5678181738289483,1.0755214820879757,1.0225240776560396
VZ,0.28269830574229227,1,0.1246228370659738,0.36493218540716704,0.25681181028710454,0.23001024696901057,0.4118092832651602,0.4717330269843669,0.3341161932573924,0.36208714800663655,0.23422545473306375,0.3475214821368807,0.5330453712512409
BA,1.178835786907358,1.4462740591836398,1,1.3601913095357827,1.1295186173571439,1.0553437460836894,1.6226475313412356,1.3120571345649796,1.2066601454082042,1.2907284826382392,0.8956131202087445,1.353225354476359,1.3153042345177357
HD,0.6317193149075835,1.0076823022339736,0.30747988580809366,1,0.5375861027333052,0.5095569819478752,0.9107427953563779,0.7850750218379194,0.6417398322470665,0.6803600448165276,0.4488977385605356,0.7428982158878783,0.905229202565754
DIS,0.7143598799415352,1.10292105447726,0.3831765668463815,0.8076275159453717,1,0.5890965855472968,0.949210577607508,0.9299949650204927,0.7838174487314084,0.8346482562175329,0.5539641647446919,0.8436053364754936,0.9109616530822933
AXP,0.9747747736033602,1.381782425985689,0.5179929314140865,1.0931644980434985,0.8345505869018883,1,1.3393431036285532,1.0442936058650558,0.9286596680659008,1.101956967623208,0.7018021950155588,1.1110057702806961,1.1350400759637005
MCD,0.5836760538932916,0.9365786771834228,0.29863327632449715,0.736064868755982,0.5097361878419543,0.4973737624217535,1,0.7616360208646483,0.594453135484712,0.6660458745032714,0.4041730999109634,0.6787135509599914,0.7996928935954294
JNJ,0.374846566902036,0.7662370483615484,0.161889671418392,0.4405422968150196,0.3502789656591523,0.26763041866429477,0.5287175535863611,1,0.4624368605590785,0.483886210712528,0.28443734385677416,0.46484817524124566,0.6729678131145198
MMM,0.44370026655501865,0.8094379057987516,0.24789823289935625,0.5680916257914053,0.454057963253945,0.3961131849040828,0.6517855927596968,0.6970891138230708,1,0.6040091697108553,0.3984482224298645,0.5550305675608103,0.6388628845282764
HON,0.7270643059099029,1.2172653489541772,0.3750766865801305,0.8314987726031198,0.6797300605317473,0.6212855652723618,1.0242038840253562,1.0515012944776898,0.8523872517845016,1,0.5517625077517643,0.8761868201797498,1.0073682242503013
DOW,0.8863803108052585,1.5222226337851703,0.4983965542378751,1.0885798584768718,0.8759071554816026,0.7687635488659332,1.2260516887053172,1.1762740407122156,1.0745319810629577,1.0699196933261728,1,1.0746608006906555,1.2499749330394614
V,0.8234914932435469,1.110239768317362,0.35801582824114786,0.8592431574986023,0.6380710169316453,0.595173978651861,0.9885477598698882,0.9374952228079386,0.7348196812327661,0.8176506832582551,0.5153892389863589,1,0.9593361853074779
PG,0.3731488961880917,0.8284412319161499,0.16101454375095212,0.49540621701989374,0.3330632575744117,0.2819972695328049,0.5429798135406037,0.6438498725467456,0.3980139268488195,0.44783348408209106,0.28803288995271675,0.45831651310130533,1
