,PG,BA,HD,DIS,JNJ,V,MCD,HON,MA,VZ,AXP,DOW,MMM
PG,1,0.5072536823342758,0.7486069070588067,0.6106982424760676,0.7329764028652345,0.7478162577495759,0.7288048987360803,0.7604489571427291,0.6929876744575015,0.7433478516955017,0.6287145889874469,0.6834205076259205,0.5746283121534922
BA,0.5388607541570706,1,0.7889707944414311,0.7080727551750104,0.5811765796389733,0.7630363646990896,0.751439395867907,0.7815355928965941,0.7592543586296918,0.5126639964651266,0.7879946849001563,0.7576414547492704,0.6338963031896065
HD,0.7619849455922623,0.7061202903562183,1,0.7138635779854191,0.6688783868652727,0.8659213371623103,0.8828009142503404,0.8143737550857485,0.8395797284928871,0.7012952720366548,0.8090814784205144,0.7531203668752461,0.6616469401770707
DIS,0.6759409301202192,0.7385024087848113,0.7805930517674946,1,0.6895812557366185,0.8666801094596372,0.7951061129460802,0.8715489999021092,0.8297072420515847,0.6694928277670794,0.8007003366510413,0.7915024043307808,0.7077777071023622
JNJ,0.7353354115546922,0.5029926896159934,0.6780128584720201,0.639002076330614,1,0.7749528412681514,0.702341940460561,0.788211765504162,0.6841921462605834,0.6720974009931823,0.5904599057897991,0.6558051048091981,0.6359196393834202
V,0.7291356534034781,0.7365155711174289,0.8607669629327549,0.7616437321902129,0.7142647114692591,1,0.8656284625921323,0.8789591280352752,0.9530316793028017,0.6923431136015151,0.8547970174551927,0.7834342924457952,0.6769685705169597
MCD,0.7128381566116373,0.7332977094165917,0.8677702212482716,0.7305025555553178,0.6933921170332874,0.8611643652656893,1,0.85368434550628,0.8357513217684412,0.6838043963198367,0.85376583975798,0.7359088875833943,0.657097510121549
HON,0.7293562024170727,0.7336875251846985,0.8296792882653967,0.774323283562024,0.7608615305394932,0.8944165483629418,0.8548817459401361,1,0.8366163764526554,0.716695412635396,0.8543753719747997,0.8002382707472235,0.7500347685757287
MA,0.6827298331198751,0.7470278139280303,0.8485360851691366,0.7513811904708414,0.6577370246000084,0.9569700997474223,0.852311655369812,0.8470805476003557,1,0.6571885892775057,0.8537887972353796,0.7620452391937521,0.6440904177500856
VZ,0.7560363294654395,0.5201121792598609,0.7099353467662771,0.6170315970285266,0.6816075544668972,0.7281125099445559,0.7122851422436389,0.7817319341989049,0.6650486167253772,1,0.6600745692927664,0.716377466707349,0.6118327261121925
AXP,0.6638846974000074,0.77988386427144,0.8470483111924936,0.7321882576527095,0.6132876371427709,0.8878300377427283,0.8610772202405041,0.8659391736812548,0.8710114789769221,0.6442511794349737,1,0.7742233257417782,0.6471360460556425
DOW,0.6588248903394942,0.7413051202504305,0.7362145912356425,0.7597756172387734,0.6658644262057961,0.7808637794281552,0.7833069434636091,0.8329758781288259,0.7775624900193355,0.6954315171970511,0.7957127601414488,1,0.7252227702416021
MMM,0.6041397550992341,0.6433269997583834,0.7287750040367114,0.689165344549866,0.6657673531986918,0.7629783753888938,0.7130854785244256,0.8249919879752606,0.6803999797575802,0.6290009991754115,0.7234829389052363,0.7639759132889007,1
