,DIA,SPY
JNJ,0.8117156549356933,0.7968818196104223
HD,0.9224568188948444,0.9155112477221725
AXP,0.9299972230997984,0.8548483356163955
DIS,0.8923981154323616,0.877364959402648
MA,0.9282746113962199,0.9128464916184926
DOW,0.8657091270784907,0.842171495189991
BA,0.8354908183815913,0.8266754700540401
PG,0.7987320114338663,0.8139381267443638
HON,0.939966058436553,0.9078771940856827
VZ,0.7934903026265836,0.7769039799465313
V,0.941253329210567,0.9400497945170196
MMM,0.8641140241626989,0.8139731677536307
MCD,0.9191679685516615,0.8859889809370864
