,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
AU,0.8004065366253869,0.7670894529999129,0.5947045201879637,0.6065622599417626,True,True,73,73,1.6760307968222212,1.6118933494423429,2.2737585324149703,0.12617641904057234,-2.1475821133743977,2.399934951455543,-4.4213406457893685,4.673693483870513,0.7135383304719682,0.6924719170300867
HL,0.9626974870449421,0.9857390725970389,0.5329084284815973,0.523711832063626,False,False,67,65,2.111079913116814,2.186562901287877,2.4391336819263043,0.2990415921853967,-2.1400920897409077,2.738175274111701,-4.579225771667212,5.177308956038005,0.6597971999744479,0.6457948205637385
WPM,0.3229342616498838,0.3498276895945078,0.7575692183124537,0.7554825072940266,False,True,67,72,0.6981439791824403,0.7246494928875494,1.8024622263006005,0.060000815759641876,-1.7424614105409586,1.8624630420602424,-3.5449236368415593,3.6649252683608426,0.8038106062099241,0.7652853545140396
KGC,0.3629636827386997,0.3375275551735649,0.8661197312532569,0.8774827792968374,True,True,73,84,0.6943070664843188,0.6196304190932047,1.8941535642625877,0.12961634790661303,-1.7645372163559747,2.0237699121692008,-3.6586907806185627,3.9179234764317883,0.8850276449257719,0.8619780523644656
NEM,0.2594634883385468,0.2847132806100462,0.8553493528686589,0.8346486123730905,True,True,82,83,0.47241180515389275,0.5049567135938878,1.3115638018379825,0.03157307681893481,-1.2799907250190476,1.3431368786569173,-2.5915545268570304,2.6547006804948996,0.8564066437044688,0.8108288613533102
EQX,0.5860904466960645,0.5760104624363507,0.5902116525832122,0.5924450245278572,True,True,87,84,1.045577567724314,1.0648853716351523,1.6715910130776186,0.31633527746429657,-1.355255735613322,1.9879262905419153,-3.0268467486909407,3.6595173036195336,0.5322416438712185,0.5129542990608414
KL,0.3747388617438864,0.4165390464997764,0.7127570082775962,0.6735105142232375,True,True,73,78,0.7500885286208959,0.7961572057669465,1.7804449451133306,0.11445171319367466,-1.665993231919656,1.8948966583070053,-3.4464381770329866,3.675341603420336,0.8723721973955824,0.8496347965884017
SSRM,0.4265294271219215,0.446212862056177,0.8129470686277575,0.80619810319898,True,True,71,79,0.8840279116508852,0.8727261512964869,1.7841108058370134,0.1335131109493494,-1.650597694887664,1.917623916786363,-3.4347085007246774,3.7017347226233763,0.8493166266950404,0.8343034031334584
AGI,0.3911632000590476,0.38906575649137315,0.7929103939274946,0.8047843694640243,True,True,74,79,0.7689575960199414,0.7271962616183214,1.7084527929637805,0.1564911874859819,-1.5519616054777985,1.8649439804497625,-3.260414398441579,3.573396773413543,0.8687012141816286,0.846152340340146
PVG,0.5062266090533847,0.5164847251688741,0.41677687760619775,0.41986151382491244,False,False,53,58,1.3511934705843973,1.2626427649423926,1.7959299619930527,0.07676295734428708,-1.7191670046487655,1.8726929193373398,-3.5150969666418184,3.6686228813303923,0.7934857490043659,0.7532449629224021
