,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
AU,0.8036019736924733,0.7670894529999123,0.5923928181909308,0.6065622599417624,True,True,71,73,1.705018910019465,1.6118933494423417,2.2989402418950835,0.13331389720767503,-2.1656263446874084,2.4322541391027586,-4.464566586582492,4.731194380997842,0.7020163302263223,0.6924719170300868
HL,0.9600069704352728,0.9857390725969887,0.5334276504802673,0.5237118320636582,False,False,68,65,2.0912867982835874,2.1865629012877683,2.423060926379427,0.3058845033325449,-2.117176423046882,2.7289454297119717,-4.540237349426309,5.152006356091399,0.6614668506575475,0.6457948205637392
WPM,0.3424277663832201,0.3498276895952094,0.7603274879733993,0.7554825072944136,False,True,72,72,0.711657653232143,0.7246494928882261,1.7949064379970066,0.06168585014319817,-1.7332205878538083,1.8565922881402048,-3.528127025850815,3.6514987261372114,0.7720538813055933,0.7652853545140405
KGC,0.36036502115422375,0.3375275551756688,0.8643514182600012,0.8774827792953385,True,True,81,84,0.6631339521317191,0.6196304190976375,1.8941535642625877,0.129616347906613,-1.7645372163559747,2.0237699121692008,-3.6586907806185627,3.9179234764317883,0.872665790240703,0.8619780523644655
AEM,0.318644551988385,0.3208069150136065,0.8698834533898732,0.8674401972836484,True,True,87,84,0.561831362536068,0.575144481063141,1.4516466483593562,0.08768922471993637,-1.3639574236394199,1.5393358730792925,-2.815604071998776,2.990982521438649,0.8697264627250082,0.8553459525543803
NEM,0.2850593518608012,0.28471328061009926,0.8316977280236804,0.8346486123729526,True,True,84,83,0.5055723786523846,0.5049567135940403,1.3074882889527895,0.038613330241752584,-1.2688749587110368,1.346101619194542,-2.5763632476638265,2.6535899081473313,0.8176786066045928,0.8108288613533104
KL,0.40337566716319817,0.4165390465002948,0.6829336520386469,0.6735105142228559,True,True,76,78,0.775841064582281,0.7961572057679452,1.7808953255829336,0.12345062861499302,-1.6574446969679406,1.9043459541979266,-3.4383400225508742,3.6852412797808602,0.8542952702478088,0.8496347965884021
SSRM,0.4447624826071527,0.44621286205632316,0.8066328775514396,0.806198103198809,True,True,70,79,0.9162461925835351,0.8727261512967978,1.7841108058370134,0.1335131109493494,-1.650597694887664,1.917623916786363,-3.4347085007246774,3.7017347226233763,0.838294714435745,0.8343034031334592
AGI,0.4164497000042675,0.3890657564913702,0.7784400282615904,0.8047843694640247,True,True,78,79,0.7749431188399752,0.7271962616183175,1.7086695110413648,0.15658957788750255,-1.5520799331538622,1.8652590889288674,-3.260749444195227,3.573928599970232,0.8594348514664324,0.8461523403401462
PVG,0.5352030293631813,0.5164847251689536,0.40742849181948815,0.4198615138249483,False,False,58,58,1.3141911377000488,1.262642764942394,1.9917485859549962,0.04404021560086616,-1.94770837035413,2.0357888015558623,-3.939456956309126,4.027537387510859,0.6055691339185281,0.7532449629224021
