,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
EQX,0.5985740639727611,0.5727892348278399,0.5437953475095303,0.5890405113875992,True,True,83,85,1.1092407839558385,1.0499587619746273,1.666625112859109,0.33307328685213733,-1.3335518260069716,1.9996983997112463,-3.0001769388660806,3.6663235125703553,0.5314131090990901,0.5101842782357641
AGI,0.43050100017291004,0.38875161551330323,0.7496826537092333,0.8039021634272765,True,True,74,78,0.8410161898928978,0.7265223289952818,1.716070696958372,0.17145680706406086,-1.5446138898943111,1.887527504022433,-3.2606845868526833,3.603598200980805,0.8586080719210455,0.8455394662605584
KGC,0.38407916228501326,0.33831913614361236,0.849770710875286,0.8762076294169916,True,True,75,84,0.7226578377376943,0.6183651651933398,1.902126187728226,0.1321482352016981,-1.769977952526528,2.0342744229299243,-3.672104140254754,3.93640061065815,0.8662641198638115,0.8614697857452445
AU,0.824205269978048,0.7791694478374225,0.5827214398126135,0.6095946274266208,True,True,70,74,1.7450771938901477,1.6043727162237078,2.271337875256857,0.12758872304679028,-2.143749152210067,2.3989265983036474,-4.415087027466924,4.670264473560505,0.7113254853319735,0.6921608127462324
NEM,0.28378048248433213,0.27575833682460366,0.8224451595257195,0.8417346930131755,True,True,79,80,0.520314943009721,0.49652097765479297,1.3159670793722305,0.04085317096705319,-1.2751139084051772,1.3568202503392837,-2.5910809877774077,2.672787329711514,0.8182566930367964,0.8115422238419997
AEM,0.3191854146306566,0.314264220140788,0.8648663383904281,0.8689025524875544,True,True,84,80,0.5756460648796322,0.5757924548729583,1.452208803349942,0.09877144891886602,-1.353437354431076,1.550980252268808,-2.805646157781018,3.0031890556187504,0.8675246868957998,0.8548055159890555
PVG,0.52278485411577,0.5102656554054259,0.41757003785450375,0.426136118567765,False,False,58,57,1.2809773975885574,1.2596436057803753,1.8062059089937856,0.07638682735133495,-1.7298190816424506,1.8825927363451207,-3.5360249906362364,3.688798645338906,0.7647767736884309,0.7539673974795704
SSRM,0.4162333316106653,0.44525571902481065,0.8452374518008858,0.8054760945464511,True,True,76,76,0.8087612556210697,0.8832500247129128,1.7997294752893653,0.17274801194461117,-1.6269814633447541,1.9724774872339765,-3.4267109386341197,3.7722069625233416,0.8498251024566386,0.8365922003524514
KL,0.39880303307437526,0.4196775184853264,0.6866401665241411,0.6653445373347637,True,True,73,76,0.7762025655922185,0.8066049321492509,1.7922196324115809,0.1417783984040061,-1.6504412340075747,1.933998030815587,-3.4426608664191556,3.726217663227168,0.8328021171233602,0.8494003742948348
WPM,0.3417987411845954,0.3464381765715907,0.7621899568733612,0.7574954667900775,False,False,71,71,0.714968029841294,0.7215356460745873,1.8202062298244608,0.07671110874762908,-1.7434951210768317,1.8969173385720899,-3.5637013509012925,3.7171235683965507,0.7840792222284504,0.7650765128956823
