,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
EQX,0.5765090636339713,0.5701199555713677,0.5959278492555702,0.5891820782233737,True,True,87,86,1.041490939366927,1.0443816190095505,1.6654753953980634,0.3324029454853882,-1.3330724499126752,1.9978783408834517,-2.9985478453107386,3.663353736281515,0.5457682933277221,0.510236595427245
AU,0.8047158851356393,0.7779178860013906,0.5993868190048073,0.6092784102111696,True,True,73,74,1.6738841317378295,1.6053069488190055,2.2900846187690864,0.13859653730892552,-2.151488081460161,2.428681156078012,-4.441572700229248,4.718765774847098,0.7072206136885728,0.6920834603305399
AEM,0.30280973358333413,0.3164713733033869,0.870591356105552,0.8679885037786116,True,True,80,80,0.5703956457927235,0.5792156607967438,1.4413475868521473,0.10049430682963467,-1.3408532800225126,1.541841893681782,-2.7822008668746596,2.9831894805339294,0.896001623607583,0.8553727393195146
AGI,0.4064363403850462,0.3890040451226838,0.7890008134605113,0.8036035465157239,True,True,81,79,0.7592396979849377,0.7229209610724634,1.7044342435609037,0.159092878638308,-1.5453413649225958,1.8635271221992116,-3.2497756084834992,3.5679613657601155,0.8721802173517044,0.845484728270734
NEM,0.27823707142676646,0.27523956603633365,0.8269854354868369,0.8416797799829233,True,True,81,80,0.5162603519956567,0.4965209776556744,1.3032912370138412,0.037184972900874344,-1.2661062641129668,1.3404762099147156,-2.569397501126808,2.643767446928557,0.8499373246283267,0.8113109458080986
WPM,0.35299172851135896,0.3468459702652027,0.7371810736471249,0.7573665140012684,False,False,67,71,0.777833721901514,0.7227466481082309,1.7989440702464312,0.06548170130331014,-1.733462368943121,1.8644257715497414,-3.532406439189552,3.6633698417961726,0.8216505642299256,0.7650387122105122
PVG,0.5122279190993059,0.5084881550197788,0.4193239323122292,0.42628945854041844,False,False,56,57,1.285541030946382,1.2596436057801317,1.8013128274853412,0.08094583544983039,-1.7203669920355107,1.8822586629351716,-3.521679819520852,3.683571490420513,0.7807681514049976,0.7539752016917334
KL,0.36841110145409606,0.4200069011238997,0.6853795092506134,0.6651367721456724,True,True,65,77,0.7955815437307963,0.8024636490759031,1.7741455422189492,0.1269664090787784,-1.6471791331401708,1.9011119512977275,-3.42132467535912,3.6752574935166766,0.8708262441700523,0.8493263770395222
SSRM,0.4265444536247746,0.44258897397452307,0.8132693942278626,0.806485436497425,True,True,72,77,0.8685640807923627,0.8744295344944263,1.7766664882989622,0.15268189766032908,-1.6239845906386332,1.9293483859592913,-3.4006510789375954,3.7060148742582535,0.8475906140799728,0.8368015991165845
HL,0.9554041236024291,0.9726255719424932,0.5303305848185792,0.5256797672177836,False,False,64,65,2.152206964485444,2.151782515833633,2.427554928389972,0.31513280926174553,-2.112422119128227,2.7426877376517176,-4.539977047518199,5.17024266604169,0.6564395060249145,0.6459473072255826
