,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
AU,0.8051998695347835,0.7655256363478363,0.5946507164796457,0.6086474163347162,True,True,71,73,1.6968056683421777,1.6064256775633137,2.2843889263163852,0.13643756810645852,-2.1479513582099266,2.420826494422844,-4.432340284526312,4.705215420739229,0.7109959807938598,0.6929162090503276
AEM,0.2872800194885867,0.319018219887646,0.8870388619785039,0.8679389457018005,True,True,74,82,0.562565054711802,0.5777672171970802,1.4637838421867921,0.09096694398170922,-1.372816898205083,1.5547507861685013,-2.836600740391875,3.0185346283552934,0.9149051371113902,0.8554829169258029
AGI,0.3983575986757798,0.3905542552660412,0.8111184333456088,0.8039482549702299,True,True,72,80,0.7664677177825605,0.7230719846856235,1.7208668726166123,0.16843867790395964,-1.5524281947126526,1.889305550520572,-3.273295067329265,3.6101724231371843,0.8715633450266127,0.8460624987442311
KL,0.37298704569718427,0.41527246281276187,0.6900612262521773,0.6735814247263321,True,True,74,79,0.7595571908020499,0.7881487897805106,1.7825317088139383,0.12416003615879052,-1.6583716726551478,1.9066917449727288,-3.440903381469086,3.689223453786667,0.8794637575985714,0.8497624660535312
EQX,0.5794261104018068,0.5740161744391783,0.5907806171821707,0.5911561315129519,True,True,84,85,1.0682370998239872,1.0591160402342001,1.6972499961502552,0.34105167959900307,-1.3561983165512521,2.038301675749258,-3.0534483127015073,3.7355516718995134,0.5324753212813707,0.5125347818194376
PVG,0.5326269901889421,0.5138046840096296,0.40773604148898646,0.4204412559400308,False,False,61,58,1.2764078539706338,1.2575614970129168,1.7983505700214357,0.07719967489776611,-1.7211508951236696,1.8755502449192019,-3.5195014651451055,3.6739008149406374,0.8010849500477503,0.7535407404219754
WPM,0.36259118184863753,0.34524262299496455,0.7241570519846785,0.757041131167984,False,False,69,72,0.7830277710478377,0.7175141887538721,1.8114938820324322,0.060416536850008494,-1.7510773451824238,1.8719104188824407,-3.562571227214856,3.683404300914873,0.8278664400414606,0.7655628420328455
SSRM,0.42455906513021846,0.4451276182882217,0.8128128273852925,0.8067626598586947,True,True,73,78,0.8761199906551078,0.875934128255955,1.7876206241903778,0.14495392901350745,-1.6426666951768705,1.9325745532038852,-3.430287319367248,3.720195177394263,0.8487536355840426,0.8346064701113316
KGC,0.3597321907697554,0.33861888492792264,0.8570051885694986,0.8766672367964721,True,True,77,85,0.6883466471279529,0.6187658389371563,1.895906219466121,0.12995440451683776,-1.7659518149492832,2.025860623982959,-3.661858034415404,3.9217668434490798,0.8927145165907712,0.8618590856946542
HL,0.9572597403710008,0.9777929981477393,0.5329773555391633,0.5265706297074675,False,False,65,66,2.1287830191484174,2.143076345156736,2.463621046722425,0.31301794604979466,-2.15060310067263,2.7766389927722197,-4.614224147395055,5.240260039494644,0.6620833331999074,0.6477539528891436
