,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
EQX,0.6020086576628387,0.5725609797088372,0.553943451657567,0.5898744502659432,True,True,84,85,1.1133732771324771,1.0499870691167217,1.6863615427588003,0.34209170058355964,-1.3442698421752408,2.02845324334236,-3.030631384934041,3.7148147861011602,0.5159448515352245,0.5100757089388385
AGI,0.4083232296731889,0.3896141566932687,0.7870649151398259,0.8057569970834556,True,True,76,79,0.7721089910379263,0.7237122229640763,1.7064556742138104,0.1591933543559651,-1.5472623198578452,1.8656490285697755,-3.2537179940716556,3.572104702783586,0.8604149820957041,0.8455588438883247
KGC,0.3742477180297193,0.34072403446924004,0.8529524326148538,0.8744793032011594,True,True,80,85,0.697130610563205,0.6202092024750016,1.8977514298406932,0.1358834399953349,-1.7618679898453584,2.0336348698360283,-3.6596194196860514,3.9313862996767215,0.8709586302934612,0.8613869693484335
KL,0.40573959314645186,0.42028227770380117,0.668390051190949,0.6659796848842464,True,True,72,76,0.8103656979315255,0.8079639538564759,1.7763778245853044,0.12735578375787956,-1.6490220408274248,1.903733608343184,-3.425399865412729,3.6801114329284883,0.8596538644880151,0.8495408920245087
NEM,0.27884524331168425,0.2738761853687887,0.8328906693937641,0.8456631605124066,True,True,79,79,0.5066886533701611,0.49460550712543117,1.3072476366487478,0.040759112820378904,-1.266488523828369,1.3480067494691266,-2.5737361604771167,2.6552543861178743,0.8247317202096418,0.8118852770147609
AEM,0.320921430308617,0.31650108645644154,0.8677850449425971,0.8696810885308499,True,True,88,80,0.5563717881844495,0.5793580850974589,1.4429764182055842,0.10077393336809716,-1.342202484837487,1.5437503515736815,-2.785178903043071,2.9867267697792657,0.874483737461451,0.8548367077798373
WPM,0.347989670269894,0.34632866366578796,0.7392251944501861,0.7583499737328125,False,False,64,71,0.7920012970610658,0.7215506383809409,1.800963828268239,0.06495176870221767,-1.7360120595660213,1.8659155969704566,-3.5369758878342603,3.6668794252386956,0.7857698687281996,0.7649762804609938
SSRM,0.44165121216962466,0.4412336675699851,0.8073569468675912,0.8079275445804713,True,True,72,76,0.8938304224211934,0.8795652770504739,1.7856251941391759,0.15277627182512615,-1.6328489223140497,1.938401465964302,-3.4184741164532255,3.724026660103478,0.8441735613949133,0.8341182577998976
HL,0.9625013539531667,0.974024383010248,0.5328175867039582,0.5259251866145288,False,False,67,65,2.0939217551403626,2.1511353626751117,2.458975203300648,0.30724376989663676,-2.151731433404011,2.766218973197285,-4.610706636704659,5.225194176497933,0.6510550082384259,0.6459482216190084
AU,0.8168461038630981,0.7823292750868046,0.5986869696236514,0.6115886562503053,True,True,72,75,1.6988494150801303,1.5949407023265822,2.2724332260218563,0.12549762477271986,-2.1469356012491363,2.3979308507945762,-4.419368827270993,4.6703640768164325,0.7109624791334829,0.6919061542536218
