,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NEM,0.27637584916225083,0.28471328061020695,0.8351568072252709,0.834648612372672,True,True,85,83,0.4953032474777435,0.5049567135943502,1.3044144386323657,0.03474263494288237,-1.2696718036894834,1.339157073575248,-2.574086242321849,2.6435715122076138,0.826578136368009,0.8108288613533106
KGC,0.3567577956080415,0.3375275551727806,0.8663766113846988,0.8774827792973962,True,True,76,84,0.6799858639262263,0.6196304190915519,1.8941535642625877,0.129616347906613,-1.7645372163559747,2.0237699121692008,-3.6586907806185627,3.9179234764317883,0.8743118402261467,0.8619780523644671
AEM,0.3164962836545076,0.3208069150136148,0.870082033665536,0.867440197283637,True,True,85,84,0.5647439901437711,0.5751444810631718,1.4516466483593562,0.08768922471993638,-1.3639574236394199,1.5393358730792925,-2.815604071998776,2.990982521438649,0.8820733324571826,0.8553459525543793
HL,0.937251540943147,0.9857390725970182,0.5606621006226504,0.5237118320636391,False,False,60,65,2.181600086853168,2.1865629012878327,2.482723674131337,0.34156128590815765,-2.1411623882231794,2.8242849600394946,-4.623886062354516,5.307008634170832,0.6749779440215986,0.6457948205637385
EQX,0.5775411075159607,0.5760104624369774,0.5950233995062226,0.5924450245273478,True,True,83,84,1.0737366455887702,1.0648853716361866,1.6715910130776186,0.3163352774642965,-1.3552557356133221,1.987926290541915,-3.0268467486909407,3.6595173036195336,0.5327689660597036,0.512954299060841
KL,0.39109018663621953,0.4165390465013476,0.6792047488018241,0.673510514222081,True,True,69,78,0.8141544329871636,0.7961572057699744,1.7784223597236501,0.11906998003932014,-1.65935237968433,1.8974923397629704,-3.4377747394079803,3.6759146994866203,0.8575508626116384,0.8496347965884007
AGI,0.40313392930853886,0.3890657564913686,0.7952933387905141,0.8047843694640249,True,True,75,79,0.7643062784080129,0.7271962616183154,1.7099916864227764,0.15715496578474428,-1.5528367206380322,1.8671466522075206,-3.2628284070608085,3.5771383386302973,0.8692818080161571,0.846152340340148
AU,0.8047558822314187,0.7670894529999098,0.590301026016112,0.6065622599417614,True,True,69,73,1.7314306406673388,1.6118933494423378,2.265446911560052,0.1181052439154212,-2.147341667644631,2.3835521554754733,-4.412788579204683,4.6489990670355255,0.7109002546811453,0.6924719170300866
PVG,0.556644995635156,0.5164847251686895,0.4063120075416614,0.4198615138248286,False,False,60,58,1.3422841611814076,1.2626427649423897,1.7959299619930527,0.07676295734428708,-1.7191670046487655,1.8726929193373398,-3.5150969666418184,3.6686228813303923,0.8029005946568919,0.7532449629224014
WPM,0.3216872011769086,0.34982768959554517,0.8273340072566163,0.7554825072945988,True,True,79,72,0.615216084401943,0.7246494928885497,1.8163140451736701,0.08079157368798778,-1.7355224714856823,1.897105618861658,-3.5518365166593524,3.713419664035328,0.8073762072390289,0.7652853545140401
