,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
HL,0.962903529829791,0.9777929981477825,0.5365650585419827,0.5265706297074395,False,False,68,66,2.0781304055459344,2.1430763451568287,2.486633259036757,0.3293444045508716,-2.157288854485885,2.8159776635876286,-4.643922113522642,5.302610922624385,0.675713538081625,0.6477539528891445
SSRM,0.3991810920264995,0.4451276182874566,0.8626116057090238,0.8067626598595525,True,True,73,78,0.78665463375103,0.875934128254324,1.801220507516296,0.157528855027144,-1.6436916524891518,1.95874936254344,-3.444912160005448,3.7599698700597357,0.8696775558559735,0.8346064701113327
KGC,0.36493733059807004,0.3386188849281301,0.8248946716410164,0.8766672367963246,True,True,66,85,0.7626531698581167,0.6187658389375922,1.895906219466121,0.12995440451683776,-1.7659518149492832,2.025860623982959,-3.661858034415404,3.9217668434490798,0.8977185538017277,0.8618590856946535
NEM,0.28078524117821546,0.2796153782214191,0.7649923096086001,0.8392145782436942,True,True,75,81,0.5556135556631497,0.501490913234061,1.31549435359959,0.034655063378694645,-1.2808392902208954,1.3501494169782846,-2.5963336438204854,2.6656437705778746,0.8617667971216583,0.8117514022584197
PVG,0.5550741407136353,0.5138046840097159,0.3580349971635436,0.4204412559400611,False,False,53,58,1.4630752206216624,1.2575614970129418,1.7983505700214355,0.07719967489776611,-1.7211508951236694,1.8755502449192016,-3.519501465145105,3.673900814940637,0.8198111425782527,0.7535407404219754
AGI,0.41088735342646127,0.390554255266037,0.7798816364619497,0.8039482549702306,True,True,73,80,0.793141585803229,0.723071984685618,1.7116430168843786,0.1577812124308065,-1.5538618044535721,1.869424229315185,-3.2655048213379505,3.581067246199564,0.8630110291818066,0.8460624987442298
EQX,0.5938732397062523,0.5740161744364608,0.5835716959721251,0.5911561315151355,True,True,85,85,1.0762310485399693,1.0591160402296094,1.6676397896630188,0.32363189401422676,-1.344007895648792,1.9912716836772457,-3.011647685311811,3.6589114733402646,0.5375823653106528,0.5125347818194377
KL,0.3886263652254159,0.41527246281671965,0.6207015406801406,0.6735814247233933,True,True,63,79,0.8705902328854455,0.7881487897882431,1.7798721590003639,0.11966985135749152,-1.6602023076428725,1.8995420103578553,-3.440074466643236,3.6794141693582194,0.8769531729229127,0.8497624660535311
AEM,0.30839306513743703,0.3190182198876449,0.842024451102581,0.8679389457018021,True,True,76,82,0.5891463573074088,0.577767217197076,1.4561452928432919,0.0905709655728285,-1.3655743272704635,1.5467162584161203,-2.8217196201137553,3.002861551259412,0.9012733072196104,0.8554829169258034
AU,0.8044530107479276,0.7655256363478318,0.6038828549231829,0.6086474163347143,True,True,70,73,1.702547586673547,1.606425677563307,2.2764070017379114,0.12847239397590182,-2.14793460776201,2.404879395713813,-4.424341609499921,4.681286397451725,0.71941540596444,0.6929162090503269
