,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
HL,0.9657861164067797,0.9777929981477524,0.5335121600336385,0.5265706297074589,False,False,67,66,2.101009754179649,2.1430763451567643,2.4252504815164038,0.3099870657180317,-2.1152634157983723,2.7352375472344352,-4.540513897314776,5.160488028750839,0.6573724352247096,0.6477539528891442
SSRM,0.44644938073342977,0.4451276182884187,0.805812623227603,0.8067626598584738,True,True,74,78,0.8916318475983577,0.8759341282563751,1.7820767905254853,0.13905302317370444,-1.643023767351781,1.9211298136991897,-3.425100557877266,3.703206604224675,0.8370419430058372,0.8346064701113329
KGC,0.37117585179428975,0.338618884926531,0.8582720292173214,0.8766672367974605,True,True,80,85,0.6839006446892422,0.6187658389342322,1.895906219466121,0.12995440451683776,-1.7659518149492832,2.025860623982959,-3.661858034415404,3.9217668434490798,0.8686936428245485,0.8618590856946546
NEM,0.28364609441791716,0.27961537822133015,0.8338237277653741,0.8392145782439382,True,True,80,81,0.5117039849621149,0.5014909132338082,1.3061049425065643,0.034445496613024,-1.2716594458935402,1.3405504391195884,-2.5777643884001047,2.6466553816261524,0.8152701967001746,0.8117514022584198
PVG,0.5272145139909102,0.5138046840098952,0.4100833110463824,0.4204412559401237,False,False,60,58,1.273459323072323,1.2575614970129931,1.7983505700214355,0.07719967489776608,-1.7211508951236694,1.8755502449192016,-3.519501465145105,3.673900814940637,0.763214637909333,0.7535407404219748
WPM,0.3413171345318887,0.345242622993818,0.7596206178366011,0.7570411311673121,False,False,72,72,0.7129044423734873,0.7175141887528328,1.797152263700992,0.060488367671504346,-1.7366638960294876,1.8576406313724965,-3.53381615973048,3.6547928950734883,0.7699392961283924,0.7655628420328455
AGI,0.4206988678387047,0.39055425526604287,0.774050558749195,0.8039482549702297,True,True,73,80,0.8075887053136104,0.7230719846856257,1.7055265086843112,0.15181249781061,-1.5537140108737013,1.8573390064949211,-3.2592405195580123,3.5628655151792326,0.8561505214238974,0.8460624987442303
EQX,0.5881439344319195,0.5740161744407327,0.5805363753309319,0.5911561315117027,True,True,83,85,1.086283834595125,1.0591160402368263,1.6676397896630188,0.3236318940142268,-1.344007895648792,1.9912716836772457,-3.011647685311811,3.6589114733402646,0.5239577515058288,0.5125347818194375
KL,0.40669049478659275,0.4152724628208323,0.6795488318862685,0.6735814247203398,True,True,75,79,0.7893882246840964,0.7881487897962774,1.7743976491982432,0.11940717981318505,-1.6549904693850581,1.8938048290114282,-3.4293881185833013,3.6682024782096714,0.8517573867813697,0.8497624660535328
AEM,0.31964090046511967,0.3190182198876488,0.8674652989044074,0.8679389457017967,True,True,88,82,0.5631065405741296,0.5777672171970903,1.4499378615290455,0.09026960604420745,-1.359668255484838,1.5402074675732529,-2.8096061170138835,2.9901453291022984,0.8672692926985136,0.8554829169258031
AU,0.8029057106693283,0.765525636347836,0.5949129879617114,0.6086474163347162,True,True,73,73,1.6717977417646044,1.6064256775633132,2.268092973891328,0.12038115164014934,-2.1477118222511784,2.388474125531477,-4.415804796142506,4.656567099422805,0.7114716864432147,0.6929162090503267
