,SSRM,PVG,KL,HL,WPM,AEM,EQX,KGC,NEM,AGI
SSRM,1,0.5132752179365163,0.7810857870474728,0.5590531509019938,0.8689677715629953,1.0002024276401145,0.393803146240685,0.8179329704423982,1.1457844593528173,0.9151656397114633
PVG,0.8404747748218712,1,0.7752701137393422,0.48727805918953726,0.8465479197939728,0.9901570579269237,0.34301137558070033,0.794791493981578,1.1597946683772193,0.8831397618823117
KL,0.8171096378858363,0.5113056684067016,1,0.4702951322195553,0.843379882236079,1.004785514859889,0.4246987237391573,0.832348925399671,1.1895648964242707,0.8957597316005763
HL,1.0452009671132836,0.5484325647357615,0.839840066880518,1,1.0341702274172606,1.1250720462154584,0.47327003567859194,0.9562982992207243,1.3420521522866846,1.0756145783243583
WPM,0.8532626649738765,0.5167954791854267,0.7877459240397436,0.541947330995759,1,1.0000535778189577,0.3927237164770951,0.8364402931872493,1.202267324184573,0.8675597952359849
AEM,0.6876109127025655,0.420456433062207,0.6692378170233668,0.41559787333927134,0.7004399361781146,1,0.35035937215154966,0.6952143350468655,1.0101044912469272,0.7457180836422872
EQX,0.610320202245684,0.3212391407809178,0.5909997228327939,0.40415120483095585,0.6129349608995854,0.731807079746551,1,0.636231199774442,0.8871286477323076,0.6948921718005032
KGC,0.8792379937180479,0.5278462054955126,0.846355105005815,0.5436856340651103,0.9153008243387803,1.0771654109191233,0.4585520774133733,1,1.269049170407884,0.9702455696029598
NEM,0.5976766569102304,0.37273566955952203,0.5885402504559503,0.36640797559073335,0.6309126442655231,0.7578204214166941,0.31684469869043563,0.6148680834560424,1,0.6637713946276271
AGI,0.8072178551935151,0.4893217175558316,0.7477669950180512,0.510083870728377,0.7805335598889176,0.9607331773106231,0.41009311480629357,0.8049443869197253,1.1358689130108595,1
