,APPS,TTD,MTCH,MGNI,SNAP,GOOG,TWTR,GLBE,GOOGL,PINS
APPS,1,0.4616016209109716,0.3788332905499308,0.43161651681771723,0.3832060898040509,0.6480004542214856,0.522674769731431,0.6014288051455761,0.6227712545706995,0.2990553602422746
TTD,0.5177934702583578,1,0.3898526612818591,0.5903370162764905,0.6891438710505718,0.7183377282830634,0.5671571804747891,0.6742364315967214,0.6847660284228112,0.3479263228228247
MTCH,0.47386516063068124,0.34215015332643484,1,0.48707150524276566,0.45265657114249724,0.6758044150482723,0.5917729962127327,0.4924860999846131,0.6568066717062805,0.3849818521135451
MGNI,0.6358127469409406,0.5571879484900703,0.4325016122743701,1,0.572290529719628,0.7267820745513743,0.5330795901709359,0.6057587565287402,0.7073746457981391,0.2903598685666955
SNAP,0.5685744786074739,0.39933243774657395,0.3491634669197179,0.4024649494476649,1,0.5968810677312425,0.5245458182654398,0.5639550082313983,0.5702446837349467,0.28793319284202396
GOOG,0.5360892005145577,0.4765217178404847,0.385093212985987,0.43236609229688855,0.6228776397903231,1,0.6094375751421451,0.5082952772331093,0.9360673635882578,0.3342977895526299
TWTR,0.47743895998253577,0.49365642113331587,0.46055357785686973,0.5256934737566994,0.6827497437676094,0.7615243652616566,1,0.5535285867471188,0.6123706702928884,0.4243728943000934
GLBE,0.38059720113332385,0.40916595498105973,0.1900476749245047,0.391862412397787,0.15252936690623936,0.5214735456201085,0.35801560917704917,1,0.5048006872292031,0.3893292800450048
GOOGL,0.5543867434432463,0.5108238523664551,0.42043889191728306,0.4915134328346656,0.6344041009867487,0.9343184803421251,0.6629870398184392,0.5734435905297034,1,0.33776044193788635
PINS,0.45836557557395974,0.4332059763860025,0.3411882103452842,0.4262627543029666,0.6331909895903584,0.6425401254902238,0.5274751290355687,0.3821771107829668,0.612791160299728,1
