,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
LBRT,0.8947707613963342,0.9382109183268694,0.5682275595018464,0.5417149319390794,False,False,72,73,1.8167864143712,1.92884445441095,2.3314745364376503,0.11840726286634523,-2.2130672735713053,2.4498817993039954,-4.544541810008956,4.781356335741646,0.7734871738618403,0.698101710387812
FTI,1.0312032377620994,1.011857102741515,0.45081577425789443,0.483423624544038,True,True,80,83,1.9477887547712285,1.8440596132936329,2.7759992171134735,-0.013924311759506109,-2.7899235288729796,2.7620749053539675,-5.5659227459864535,5.538074122467441,0.5314130481530317,0.507695997818805
CPE,0.9001691829661016,0.7599313805690617,0.8055165306770988,0.8481840322624998,True,True,77,78,1.7529456941203354,1.4647408307461556,4.990347591653735,0.5191528670674744,-4.47119472458626,5.5095004587212095,-9.461542316239996,10.499848050374943,0.750928881553929,0.7658619035381714
MRO,0.43599378225654617,0.42814104411616105,0.8943255292123536,0.9011278173878257,True,True,87,82,0.781424251437326,0.760551173021283,3.0136318599512713,0.20246996494352743,-2.8111618950077437,3.216101824894799,-5.824793754959015,6.22973368484607,0.9230293003214206,0.9197562029251347
OVV,0.7807452865043697,0.74559220306826,0.684504256310567,0.7075802557673623,True,True,89,84,1.3844136044309892,1.3648336099587102,3.968346428391873,0.267202092294786,-3.7011443360970873,4.235548520686659,-7.66949076448896,8.203894949078531,0.8773049868119613,0.8292502000692119
CRK,0.6368539524479773,0.7074686377724465,0.6084883260921725,0.5554723161954832,True,True,73,77,1.3407141340003803,1.3877453963831137,2.2968997023638438,0.029543871744784254,-2.2673558306190595,2.326443574108628,-4.564255532982903,4.623343276472472,0.4611724884652737,0.6117239738482831
SLB,0.3970278708728424,0.4348890558829198,0.8545868434601335,0.837992775079511,True,True,80,84,0.7456803066810974,0.7784740082198809,2.2119591375421113,0.08840914023248464,-2.1235499973096266,2.300368277774596,-4.335509134851738,4.512327415316707,0.9256299700600771,0.8383627936135026
CNQ,0.3809170246756894,0.35224901988317076,0.8377288750770145,0.862334661157532,True,True,83,89,0.702746749688526,0.6201244103569862,2.24973705151911,0.09881824310942555,-2.1509188084096844,2.3485552946285355,-4.400655859928794,4.5982923461476455,0.9104409451160043,0.8584914950582231
HES,0.3450481759325596,0.3303433214872008,0.8865715611501263,0.8982984942674715,True,True,76,88,0.6681513481652679,0.6015889730646109,2.276509680477766,0.10065934838278799,-2.1758503320949782,2.377169028860554,-4.452360012572744,4.65367870933832,0.9323163751122103,0.8609640105090174
MTDR,0.7836872483216555,0.7521264795473377,0.6830231545969063,0.6971273992309182,True,True,78,81,1.5216952171637828,1.441124024173852,4.214541032805787,0.26813139009626263,-3.9464096427095243,4.482672422902049,-8.160950675515311,8.697213455707837,0.8696048705131569,0.8744459136496845
