,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
LBRT,0.8576783932605417,0.9382109183268518,0.5895735231806782,0.5417149319390915,False,False,73,73,1.7401309909567295,1.9288444544109098,2.330886012387586,0.13374261595576528,-2.1971433964318208,2.4646286283433514,-4.528029408819407,4.7955146407309375,0.7917519322931604,0.6981017103878115
FTI,0.9903513195317134,1.0118571027415273,0.4792285957284953,0.483423624544028,True,True,80,83,1.8803558106629115,1.8440596132936524,2.7802837510874165,-0.006909876715955075,-2.7871936278033718,2.7733738743714613,-5.567477378890788,5.553657625458878,0.5610515879239198,0.5076959978188047
CPE,0.8913963534588039,0.7599313805807374,0.8064039902582119,0.8481840322613904,True,True,78,78,1.7367511551481385,1.4647408307578111,4.922725856254145,0.5221455475493887,-4.400580308704756,5.444871403803534,-9.3233061649589,10.367597260057678,0.7567137850391437,0.7658619035381713
MRO,0.45203281935955264,0.42814104410977566,0.8877267773484322,0.9011278173905984,True,True,80,82,0.8341728419742538,0.7605511730098219,3.010645982350154,0.19589315080366002,-2.814752831546494,3.206539133153814,-5.825398813896648,6.217185115503968,0.9193867960489016,0.9197562029251337
OVV,0.7760008646679514,0.7455922031019498,0.6876696357721908,0.7075802557445907,True,True,89,84,1.3775159841555444,1.3648336100188136,3.9683464283918735,0.267202092294786,-3.7011443360970873,4.23554852068666,-7.669490764488961,8.203894949078533,0.8776020919801775,0.8292502000692128
CRK,0.6388053724062093,0.7074686377725171,0.6047974572906808,0.5554723161954238,True,True,72,77,1.3437826677022047,1.3877453963832356,2.2870449461172297,0.027083734699021682,-2.259961211418208,2.3141286808162516,-4.547006157535438,4.601173626933481,0.4607569928253803,0.6117239738482836
SLB,0.3882376754676747,0.4348890558829325,0.862422162854203,0.8379927750795042,True,True,83,84,0.7117933014556621,0.7784740082198935,2.211959137542111,0.08840914023248463,-2.123549997309626,2.3003682777745955,-4.335509134851737,4.512327415316706,0.9319723079851924,0.8383627936135011
CNQ,0.38453689292820553,0.3522490198842792,0.8360865916737974,0.8623346611565768,True,True,79,89,0.7207237712052957,0.6201244103595058,2.2475169470450345,0.10370279403674572,-2.1438141530082886,2.3512197410817803,-4.391331100053323,4.598736688126815,0.9099113324075657,0.8584914950582239
HES,0.34038612269536866,0.3303433214871695,0.8880546033976893,0.898298494267486,True,True,82,88,0.6490015587051399,0.6015889730645694,2.2765096804777665,0.100659348382788,-2.1758503320949787,2.3771690288605543,-4.452360012572745,4.653678709338321,0.9331126554119432,0.860964010509017
MTDR,0.8029084859054436,0.752126479548167,0.6739337671549883,0.697127399230506,True,True,78,81,1.5449208038609834,1.4411240241751282,4.2076747239689904,0.2789107409179672,-3.9287639830510233,4.486585464886957,-8.136438707020014,8.694260188855948,0.8714933541705185,0.874445913649684
APA,0.59787457838535,0.547813505212053,0.8321473029944803,0.8511510052858943,True,True,85,85,1.0985302391326452,1.022769670698092,3.2768312335440766,0.2559267448000497,-3.020904488744027,3.5327579783441263,-6.297735722288103,6.809589211888203,0.83174312184223,0.8252004376045236
MGY,0.615121796056537,0.6570611964089231,0.6822472082714462,0.6628153298758681,False,False,70,68,1.3292151504874061,1.4225641843490209,2.5181790282547025,0.1694150746545802,-2.3487639536001224,2.6875941029092827,-4.866942981854825,5.205773131163985,0.8369379726930398,0.7708947417800087
SM,0.855374060995744,0.7891248373158805,0.755603409167455,0.7721701536236795,False,False,76,74,1.746445844223096,1.6641901470562672,4.273674644614238,0.2675273237818533,-4.006147320832385,4.541201968396091,-8.279821965446622,8.81487661301033,0.9019735247056565,0.9016886485623306
OXY,0.5085711236887782,0.49789121177786555,0.8703823987564764,0.8765162193160659,True,True,85,85,0.9515430731625704,0.9235989717236225,3.038328564637586,0.11836676839924196,-2.919961796238344,3.156695333036828,-5.95829036087593,6.195023897674414,0.8908237101382569,0.8544567080990619
CHX,0.7597069090250538,0.8227629189954986,0.6499136856374903,0.6244784196618771,True,True,75,74,1.556700457946261,1.6437731940540656,2.5528434869813683,0.05877528804836598,-2.4940681989330025,2.611618775029734,-5.04691168591437,5.164462262011103,0.7510286766579357,0.7016812396583507
HAL,0.35927625989241324,0.4073486654492329,0.8822954877392662,0.8608264663439755,True,True,75,84,0.7157944546000492,0.7380137275336228,2.6169563379126517,0.13960552571706317,-2.4773508121955885,2.756561863629715,-5.09430715010824,5.373518201542367,0.9146686568356741,0.8576983152225631
NOV,0.42142059919536834,0.47678176938921146,0.8462972461357992,0.808763132556289,True,True,79,83,0.8052262168475379,0.8909306259364718,2.3496377184686623,0.04667632312757412,-2.302961395341088,2.3963140415962365,-4.65259911380975,4.745951760064899,0.9275172437341366,0.8031881874843791
COP,0.3550125219309361,0.3710594522250706,0.852600342544292,0.8255804974670533,True,True,78,81,0.685967803645165,0.7285955165007044,2.0996380927054656,0.09770355456516293,-2.001934538140303,2.1973416472706284,-4.1015726308457685,4.296979739976094,0.9342097301549749,0.8128920018463399
CLR,0.5753029851107968,0.5885776776233611,0.6644029825095559,0.6742450608601149,False,False,62,71,1.343211869334488,1.2620406464466118,3.053114326591423,0.1391103201931702,-2.914004006398253,3.1922246467845934,-5.967118332989676,6.2453389733760165,0.8692645265145682,0.8524158089868008
ERF,0.556142066167026,0.6085046229919969,0.8127092074067997,0.7815703768128682,True,True,83,84,1.0540718752499394,1.1488617909092227,2.3759376601324425,0.20834240774501855,-2.167595252387424,2.584280067877461,-4.543532912519867,4.960217728009903,0.8692825238689554,0.838523342650429
FANG,0.507045023462139,0.46559803505170183,0.834345032180391,0.8639928575810074,True,True,82,89,0.9352299842031859,0.8469298890939787,2.718733744007359,0.13813603562117252,-2.5805977083861866,2.8568697796285316,-5.299331452393545,5.575603523635891,0.9053246821911541,0.8286323008533054
PXD,0.45655910681312123,0.40975090012285864,0.7244837607859886,0.7639917014392735,True,True,69,71,0.9537659216188,0.853007219334375,2.2650333499383484,0.08816990213412508,-2.1768634478042235,2.3532032520724733,-4.441896797742571,4.618236602010822,0.9045033465340684,0.7999425723847223
MUR,0.5321584563742744,0.5652045507957524,0.8841461371037235,0.8655654373938896,True,True,90,85,0.8938907494599475,0.9993155252075536,2.7471718507883454,0.15519695372263648,-2.591974897065709,2.902368804510982,-5.339146747854055,5.649540655299327,0.9094718047111783,0.8235048464219095
