,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CPG,0.5978148648655671,0.5841338105462627,0.7811777531353347,0.7818769156877393,True,True,77,80,1.1944779881838568,1.1460974171362381,3.218109130358759,0.3227826290029539,-2.895326501355805,3.540891759361713,-6.113435631714564,6.759000889720472,0.7562910537508776,0.8145099203048057
MUR,0.5292097995951445,0.5738681942615765,0.8838448799650946,0.8626407113556799,True,True,85,86,0.9290804940747621,1.0176690337591834,2.7568991713636515,0.16628716761468096,-2.5906120037489706,2.9231863389783324,-5.347511175112622,5.680085510341984,0.9096158873275002,0.8232656719583603
BKR,0.3807508185518034,0.4449588479285753,0.8394913122179821,0.7970572150343076,True,True,79,85,0.7226272852242606,0.8039574953906141,1.98283029775351,0.03431726647938492,-1.948513031274125,2.0171475642328947,-3.931343329027635,3.999977861986405,0.8784387075941669,0.7590599839456036
MRO,0.46610552168074865,0.41928850324835154,0.8787898755914954,0.9054453109428525,True,True,78,84,0.8814214470066286,0.7369718095750248,3.0121750784661603,0.20011249139358162,-2.8120625870725786,3.212287569859742,-5.824237665538739,6.224462648325902,0.9216735242960553,0.9200084059693007
MTDR,0.8135915492637449,0.7473207805595954,0.6385938196235796,0.6999675116799192,False,True,73,82,1.6605638041002737,1.4293325924490823,4.228654839007555,0.2790707591352835,-3.9495840798722712,4.507725598142838,-8.178238918879826,8.736380437150393,0.8637160271583354,0.8742405927338253
LBRT,0.858240459758766,0.9343732123124521,0.5885652499161351,0.5482718227119433,False,False,70,73,1.7930752746701875,1.9226618450476425,2.3298376881305174,0.12568373613746894,-2.2041539519930486,2.455521424267986,-4.533991640123566,4.7853591123985035,0.7832955680100706,0.6986151226961186
CNQ,0.3886387643404486,0.352707077959636,0.8360189408023475,0.8649675896497137,True,True,83,91,0.7078870712129884,0.6135055933212712,2.2496607955214074,0.10904425952873413,-2.1406165359926734,2.3587050550501414,-4.39027733151408,4.608365850571549,0.9110538102928081,0.8586259433618709
CLR,0.5921616351226268,0.5871752254062124,0.6652988335443442,0.6784314326733327,False,False,65,72,1.3363529183439729,1.2536844519590586,3.05874290485396,0.13887680039720665,-2.9198661044567533,3.1976197052511663,-5.978609009310713,6.256362610105127,0.8697475204127043,0.8525388022970837
SLB,0.3981191448537985,0.43072706726384163,0.8544386402501737,0.8400981040641657,True,True,81,83,0.7475209917796033,0.7778152193439972,2.215214022758622,0.08656127625298371,-2.1286527465056384,2.301775299011606,-4.3438667692642605,4.516989321770228,0.9242875752544356,0.8385824052777701
FTI,1.0157882263985494,0.9940128672279743,0.45949577352475435,0.49321380935350856,True,True,80,82,1.9319928799746013,1.8381556099029848,2.7710452443652924,-0.00969358738267381,-2.7807388317479664,2.7613516569826184,-5.551784076113258,5.532396901347911,0.5339141565720116,0.508111157783797
