,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
LBRT,0.907527234318113,0.9382109183268522,0.563425098414938,0.541714931939091,False,False,75,73,1.793471177863651,1.928844454410911,2.3314745364376503,0.1184072628663452,-2.2130672735713053,2.4498817993039954,-4.544541810008956,4.781356335741646,0.7744227570413982,0.6981017103878121
FTI,1.0307153277928875,1.0118571027415482,0.44743399527634853,0.48342362454401044,True,True,80,83,1.9518506022867477,1.844059613293685,2.792060000242376,-0.01763559663549546,-2.8096955968778716,2.7744244036068806,-5.601755597120247,5.566484403849257,0.5302717771651644,0.5076959978188048
CPE,0.9595990897438683,0.7599313805720919,0.7741241295080797,0.8481840322622118,True,True,81,78,1.8378036608602761,1.4647408307491805,4.942134250554753,0.5038337659572922,-4.438300484597461,5.445968016512046,-9.380434735152214,10.388102267066799,0.7497148998697734,0.765861903538171
MRO,0.44065844209282823,0.42814104411493437,0.8932766619624458,0.9011278173883583,True,True,81,82,0.8144412129151404,0.7605511730190815,3.0041554211647217,0.18735421250447917,-2.8168012086602423,3.191509633669201,-5.820956629824964,6.195665054833922,0.9215940567574351,0.919756202925135
OVV,0.7745072867827149,0.7455922030707379,0.6878136720087882,0.7075802557656874,True,True,89,84,1.3768922761180944,1.3648336099631304,3.9665720614306474,0.2600465378984522,-3.7065255235321954,4.2266185993290994,-7.673097584962843,8.193190660759747,0.8772530999866461,0.8292502000692116
CRK,0.6444279206873148,0.7074686377725349,0.6022797602500682,0.5554723161954089,True,True,74,77,1.3354302647841245,1.3877453963832664,2.2895495286248186,0.02189684080204233,-2.2676526878227765,2.3114463694268608,-4.557202216447595,4.600995898051679,0.4597056194803397,0.6117239738482828
SLB,0.40776264694442976,0.4348890558829174,0.8466424718043772,0.8379927750795123,True,True,79,84,0.775848759675629,0.7784740082198786,2.2119591375421113,0.08840914023248465,-2.1235499973096266,2.300368277774596,-4.335509134851738,4.512327415316707,0.9247157727991375,0.8383627936135023
CNQ,0.3806205761247065,0.3522490198892418,0.8394925009960548,0.8623346611523,True,True,80,89,0.7133652696901296,0.620124410370786,2.251425319174777,0.10334592512887203,-2.148079394045905,2.3547712443036493,-4.399504713220682,4.606196563478426,0.9107275345846777,0.8584914950582239
HES,0.3398933996172343,0.3303433214872178,0.8907519242462114,0.8982984942674638,True,True,75,88,0.6571431109216244,0.6015889730646333,2.2794299711881303,0.09529147442919539,-2.184138496758935,2.374721445617326,-4.4635684679470655,4.654151416805456,0.9334950495909744,0.8609640105090156
MTDR,0.7913974398069584,0.7521264795264423,0.6760548219009054,0.6971273992413012,True,True,79,81,1.533612593444696,1.4411240241417003,4.2163872458058815,0.2605935083203583,-3.955793737485523,4.47698075412624,-8.172180983291405,8.693367999932121,0.8688737293717493,0.8744459136496843
