,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CRK,0.6536141386428589,0.6985371270116749,0.5631402707181845,0.5293986362929703,True,True,75,73,1.350396452651151,1.4111897218221185,2.2832763508429306,0.024001289931842865,-2.259275060911088,2.3072776407747733,-4.542551411754018,4.590553991617704,0.4583158569166752,0.6087924193266459
FTI,1.0435934409559757,1.0210627759684043,0.42710102289953367,0.4638582804210184,True,True,79,84,1.97307789866787,1.8417239699094867,2.787302278705206,-0.02221259146706915,-2.809514870172275,2.7650896872381368,-5.596817148877481,5.552391965943343,0.5269200839622067,0.5060399181303499
PXD,0.4281148184106044,0.4024075543930019,0.7260682865755015,0.7573339161537238,True,True,72,76,0.8754989802471691,0.801394589414921,2.264110772086968,0.0788331167830727,-2.1852776553038957,2.3429438888700407,-4.449388427390864,4.607054660957009,0.9086271046551183,0.7990391536704097
LBRT,0.8765483804536165,0.9188976737149434,0.5312613119220051,0.5030834902384131,False,False,72,70,1.7696326800306172,1.9241038115786246,2.304207420532256,0.1246154501103148,-2.1795919704219413,2.4288228706425707,-4.483799390954197,4.733030291174827,0.7747557989682053,0.697169704593328
APA,0.5752154778796644,0.5429587541004743,0.8172522887754026,0.8324286901143324,True,True,83,85,1.0854282497553105,1.0129361118733362,3.268846715045047,0.24288000245985902,-3.025966712585188,3.511726717504906,-6.294813427630235,6.780573432549954,0.8321740630740687,0.8228790838313018
HAL,0.369542730769009,0.4039114819472882,0.8563096283665392,0.8423296575696141,True,True,76,83,0.7190683326939474,0.7379104356668311,2.614733182723603,0.13308581572878733,-2.4816473669948156,2.7478189984523906,-5.096380549718419,5.362552181175993,0.9107734594364683,0.8550939037456707
MUR,0.5238602744058943,0.5640535385815857,0.8688014714355177,0.845027040102909,True,True,89,82,0.9002890742001539,1.0183531648585022,2.7080568986436524,0.14945436000482112,-2.5586025386388314,2.8575112586484734,-5.266659437282484,5.565568157292126,0.912140144546994,0.8205088265520082
BKR,0.3695212603696118,0.42811635500376355,0.8246612106049904,0.7840122241779657,True,True,83,87,0.6787731878183769,0.7525153623365134,1.968471282872319,0.03361502337010971,-1.9348562595022092,2.0020863062424286,-3.9033275423745284,3.9705575891147475,0.8781674036121991,0.75647008451127
CPE,0.8926392829173933,0.7565090537783833,0.7770130290403067,0.8252824237072828,True,True,79,78,1.7054473330958342,1.4459395352346767,4.928290052334697,0.5217894299351084,-4.406500622399589,5.450079482269805,-9.334790674734286,10.378369534604502,0.7420112865943931,0.7629966661253862
SM,0.8439100078236225,0.7858255483663886,0.7246199906642392,0.7447342857584378,False,False,81,72,1.649504650778734,1.6610436944664246,4.273546895136393,0.26242873625893953,-4.011118158877453,4.535975631395333,-8.284665054013846,8.809522526531726,0.9016240618453543,0.9005145181676582
